genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005790186054592025,0.0059766907557190635,1000,-0.0001865047011270389,0.903096903096903
Danklied des Einzelnen,0.042623708895528065,0.042640399053728704,1000,-1.669015820063985e-05,0.5104895104895105
Fluch,0.0022675736961451248,0.00231238629666773,1000,-4.4812600522605144e-05,0.7892107892107892
Hymnus,0.130815018245418,0.13066185832353827,1000,0.00015315992187972527,0.25574425574425574
Klagelied des Einzelnen,0.19363061784299415,0.19358283765230982,1000,4.7780190684326707e-05,0.45254745254745254
Klagelied des Volkes,0.047516286205199876,0.04748262331338337,1000,3.3662891816506335e-05,0.48151848151848153
Königspsalm,0.03371748374607871,0.03242972244011739,1000,0.001287761305961324,0.34465534465534464
Liturgie,0.03884651952930425,0.03820084758293416,1000,0.0006456719463700869,0.1978021978021978
Mischgedicht,0.029534677851063958,0.02889001520030729,1000,0.000644662650756668,0.2937062937062937
Thronbesteigungslied,0.01062655776271992,0.010437088620337752,1000,0.00018946914238216796,0.2037962037962038
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.015175066882387829,0.01511430710032405,1000,6.075978206377883e-05,0.31868131868131866
Zionslied,0.010859509008721345,0.010693346179208021,1000,0.00016616282951332356,0.3866133866133866
prophetische Gerichtsrede,0.0023584905660377358,0.002389904369644234,1000,-3.1413803606498286e-05,0.7932067932067932
"prophetische Schelt-, Droh- und Mahnrede",0.009832546786406162,0.009973165424805416,1000,-0.00014061863839925394,0.8761238761238761
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.013423523917124236,0.013053589052350557,1000,0.0003699348647736786,0.11988011988011989
