genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005060103301360297,0.005088353188738674,1000,-2.8249887378377532e-05,0.41358641358641357
Danklied des Einzelnen,0.04196253719717174,0.043976905661556556,1000,-0.002014368464384818,0.9790209790209791
Fluch,0.0036900369003690036,0.0038463411037361972,1000,-0.00015630420336719365,0.7832167832167832
Hymnus,0.1754161063575247,0.17483904708003764,1000,0.000577059277487052,0.3836163836163836
Klagelied des Einzelnen,0.2120006774572627,0.21089593629868722,1000,0.0011047411585754785,0.3386613386613387
Klagelied des Volkes,0.04200102461649066,0.041980692809508814,1000,2.0331806981847833e-05,0.47052947052947053
Königspsalm,0.013774392970638713,0.013627827562356703,1000,0.00014656540828201017,0.37462537462537465
Liturgie,0.02627813508523177,0.024618454623524536,1000,0.0016596804617072351,0.03296703296703297
Mischgedicht,0.01750481916666351,0.01766171383160744,1000,-0.00015689466494393095,0.5554445554445554
Thronbesteigungslied,0.013919177406629984,0.013696622974902506,1000,0.00022255443172747823,0.3026973026973027
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.016844682081709268,0.016322857081349333,1000,0.0005218250003599344,0.15584415584415584
Zionslied,0.0059354127067873935,0.006069941006151796,1000,-0.00013452829936440227,0.7012987012987013
prophetische Gerichtsrede,0.002364066193853428,0.002286704601538329,1000,7.736159231509863e-05,0.2997002997002997
"prophetische Schelt-, Droh- und Mahnrede",0.01008974218632648,0.010224610133159864,1000,-0.00013486794683338285,0.5584415584415584
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.015248600302423483,0.01473320081716819,1000,0.000515399485255294,0.32667332667332666
