genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004377468927116756,0.004471985841740622,1000,-9.451691462386645e-05,0.8811188811188811
Danklied des Einzelnen,0.04294373348307051,0.04323210118884516,1000,-0.00028836770577464477,0.8531468531468531
Fluch,0.0017421602787456446,0.0017694873566307266,1000,-2.7327077885082015e-05,1.0
Hymnus,0.1398107328608602,0.13905978623720777,1000,0.0007509466236524376,0.05194805194805195
Klagelied des Einzelnen,0.20645836304102733,0.20664975295673516,1000,-0.00019138991570782915,0.6053946053946054
Klagelied des Volkes,0.04176160379737529,0.041676922446410615,1000,8.46813509646771e-05,0.3116883116883117
Königspsalm,0.035265722067840635,0.03343957607328124,1000,0.0018261459945593944,0.25674325674325676
Liturgie,0.0261502042418126,0.026128432462351577,1000,2.1771779461023794e-05,0.43956043956043955
Mischgedicht,0.02002080386130502,0.019513301413373922,1000,0.0005075024479310984,0.2597402597402597
Thronbesteigungslied,0.010228623904281219,0.010126735073453198,1000,0.0001018888308280206,0.3166833166833167
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01456600378772479,0.014594480305695037,1000,-2.847651797024779e-05,0.4955044955044955
Zionslied,0.00872554255516809,0.00871112279194887,1000,1.4419763219220352e-05,0.4085914085914086
prophetische Gerichtsrede,0.002136752136752137,0.002287248890959607,1000,-0.00015049675420746988,0.903096903096903
"prophetische Schelt-, Droh- und Mahnrede",0.015175285331755935,0.015414681129843271,1000,-0.0002393957980873357,0.906093906093906
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.017210318400966474,0.017087752258007072,1000,0.0001225661429594023,0.3856143856143856
