genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004255160256916819,0.004246466364148671,1000,8.693892768147325e-06,0.4695304695304695
Danklied des Einzelnen,0.049462806105848744,0.05127982420472249,1000,-0.001817018098873746,0.984015984015984
Fluch,0.0025575447570332483,0.00262102541231989,1000,-6.348065528664166e-05,0.7322677322677322
Hymnus,0.16690933102556438,0.17233911331588633,1000,-0.005429782290321955,0.977022977022977
Klagelied des Einzelnen,0.22942178877248504,0.22246796833953167,1000,0.006953820432953367,0.000999000999000999
Klagelied des Volkes,0.04257676985836028,0.04240169847867515,1000,0.00017507137968512942,0.32667332667332666
Königspsalm,0.013514145790408522,0.01339142518946924,1000,0.00012272060093928075,0.2997002997002997
Liturgie,0.023612537016313787,0.02265327063440526,1000,0.0009592663819085259,0.11788211788211789
Mischgedicht,0.017020146958095946,0.016827822216504997,1000,0.00019232474159094903,0.36863136863136864
Thronbesteigungslied,0.11932257817955336,0.0758320690960019,1000,0.043490509083551454,0.057942057942057944
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.015062217756748056,0.01664492759984592,1000,-0.001582709843097864,0.9410589410589411
Zionslied,0.009881351311783427,0.009310188092990921,1000,0.0005711632187925062,0.1888111888111888
prophetische Gerichtsrede,0.0031545741324921135,0.0033279568425273755,1000,-0.00017338271003526206,0.7312687312687313
"prophetische Schelt-, Droh- und Mahnrede",0.028011617532377978,0.018674578963427408,1000,0.00933703856895057,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.013843013283332836,0.013961413336283578,1000,-0.00011840005295074216,0.5024975024975025
