genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005899425259113203,0.007203398442391285,1000,-0.0013039731832780819,0.3776223776223776
Danklied des Einzelnen,0.035119637837180376,0.035720912645463614,1000,-0.0006012748082832378,0.5514485514485514
Fluch,0.002066115702479339,0.0020718756171235497,1000,-5.759914644210776e-06,0.5214785214785215
Hymnus,0.13582570104624267,0.1299592048270988,1000,0.0058664962191438685,0.03196803196803197
Klagelied des Einzelnen,0.151025004753282,0.14925587626292483,1000,0.0017691284903571802,0.2137862137862138
Klagelied des Volkes,0.048905740701271204,0.04683523275335599,1000,0.002070507947915211,0.12087912087912088
Königspsalm,0.01998466113913961,0.02390403271248804,1000,-0.003919371573348429,0.935064935064935
Liturgie,0.035456665758260675,0.03950383466216748,1000,-0.004047168903906807,0.8881118881118881
Mischgedicht,0.02676821782870238,0.034455407362718855,1000,-0.007687189534016474,0.9110889110889111
Thronbesteigungslied,0.013975879464248036,0.014054843763118125,1000,-7.896429887008921e-05,0.3966033966033966
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.01991303846737976,0.024437460506043784,1000,-0.0045244220386640235,0.9590409590409591
Zionslied,0.010520729956134251,0.01437219705748875,1000,-0.0038514671013544985,0.906093906093906
prophetische Gerichtsrede,0.0038022813688212928,0.005027182550332285,1000,-0.001224901181510992,0.7632367632367633
"prophetische Schelt-, Droh- und Mahnrede",0.010543397116160386,0.009612851200496576,1000,0.00093054591566381,0.2177822177822178
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01423997281415395,0.013398580429388001,1000,0.0008413923847659481,0.26673326673326675
