genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006910459602374549,0.006599017431659556,1000,0.00031144217071499367,0.2097902097902098
Danklied des Einzelnen,0.047254338131731494,0.047817240714450315,1000,-0.0005629025827188217,0.5774225774225774
Fluch,0.002824858757062147,0.002942138437998185,1000,-0.0001172796809360381,0.4645354645354645
Hymnus,0.19106869721785313,0.19576204277512782,1000,-0.004693345557274686,0.8311688311688312
Klagelied des Einzelnen,0.1830035068657139,0.18860405530437138,1000,-0.005600548438657482,0.9080919080919081
Klagelied des Volkes,0.04168189175545031,0.04250574628779175,1000,-0.0008238545323414406,0.6823176823176823
Königspsalm,0.013013307073662907,0.01465039264107587,1000,-0.001637085567412962,0.8971028971028971
Liturgie,0.02668915695768754,0.02519195639379184,1000,0.0014972005638956981,0.15784215784215785
Mischgedicht,0.01678695452207927,0.016803433566189886,1000,-1.6479044110617735e-05,0.36363636363636365
Thronbesteigungslied,0.05607386828310464,0.0602151513680801,1000,-0.00414128308497546,0.9170829170829171
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.016475331621811293,0.015261415296838953,1000,0.0012139163249723396,0.1938061938061938
Zionslied,0.02286702253018296,0.008744533409034427,1000,0.014122489121148534,0.01998001998001998
prophetische Gerichtsrede,0.0026109660574412533,0.0034268340889389475,1000,-0.0008158680314976942,0.5484515484515484
"prophetische Schelt-, Droh- und Mahnrede",0.02622265344165501,0.023988608571352137,1000,0.0022340448703028724,0.2017982017982018
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012644462066349189,0.015322077578283395,1000,-0.0026776155119342063,0.929070929070929
