genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005664659935955635,0.005349274825693346,1000,0.0003153851102622885,0.2047952047952048
Danklied des Einzelnen,0.04242185979818328,0.04512552630718298,1000,-0.002703666508999697,0.983016983016983
Fluch,0.002824858757062147,0.002316168127011056,1000,0.0005086906300510907,0.056943056943056944
Hymnus,0.11374852284556662,0.11639615572993461,1000,-0.0026476328843679925,1.0
Klagelied des Einzelnen,0.1882473746582013,0.1821415807478017,1000,0.006105793910399587,0.003996003996003996
Klagelied des Volkes,0.048314127676233144,0.04648020096193093,1000,0.0018339267143022142,0.004995004995004995
Königspsalm,0.030127950742085484,0.029928424308880586,1000,0.00019952643320489752,0.4385614385614386
Liturgie,0.03465724522352156,0.03494674953382247,1000,-0.0002895043103009129,0.6013986013986014
Mischgedicht,0.04072905135411248,0.040496089687924626,1000,0.0002329616661878517,0.45554445554445555
Thronbesteigungslied,0.012719045537061406,0.01307623425605465,1000,-0.00035718871899324475,0.5334665334665335
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.025657195571108668,0.024941913368822136,1000,0.0007152822022865324,0.25674325674325676
Zionslied,0.021040856236844,0.0233497026467657,1000,-0.0023088464099217006,0.6343656343656343
prophetische Gerichtsrede,0.004484304932735426,0.005218822366237422,1000,-0.0007345174335019961,0.7322677322677322
"prophetische Schelt-, Droh- und Mahnrede",0.03201990089350029,0.011330221608772704,1000,0.020689679284727588,0.003996003996003996
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.00916490972908255,0.009172852991355989,1000,-7.943262273438917e-06,0.5064935064935064
