genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004320338028720722,0.0038431211388621914,1000,0.00047721688985853054,0.013986013986013986
Danklied des Einzelnen,0.051440021700440826,0.0535652477429583,1000,-0.0021252260425174765,0.97002997002997
Fluch,0.00273224043715847,0.0029365199876045882,1000,-0.0002042795504461183,0.8901098901098901
Hymnus,0.16780572540743285,0.17517861807236912,1000,-0.007372892664936265,0.999000999000999
Klagelied des Einzelnen,0.22784394623249207,0.22499760936173283,1000,0.0028463368707592474,0.26873126873126874
Klagelied des Volkes,0.04185526353247265,0.040491226975454125,1000,0.0013640365570185276,0.017982017982017984
Königspsalm,0.01361262458647757,0.013150089198789863,1000,0.0004625353876877066,0.14185814185814186
Liturgie,0.01992222759159262,0.01981429091957674,1000,0.00010793667201587989,0.31868131868131866
Mischgedicht,0.015936319056994108,0.0159061318157848,1000,3.0187241209306964e-05,0.3996003996003996
Thronbesteigungslied,0.0565593257214022,0.05638280933462289,1000,0.00017651638677931153,0.22677322677322678
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.013837513591333877,0.014469095533103087,1000,-0.0006315819417692103,0.6943056943056943
Zionslied,0.007327665256797643,0.007608795035378218,1000,-0.00028112977858057563,0.6263736263736264
prophetische Gerichtsrede,0.002777777777777778,0.0027481283827773596,1000,2.9649395000418306e-05,0.45354645354645357
"prophetische Schelt-, Droh- und Mahnrede",0.019552413457341072,0.022393182204464804,1000,-0.0028407687471237314,0.6083916083916084
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.012736894419121948,0.01522706067509122,1000,-0.002490166255969272,0.6413586413586414
