model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
homograph_binary,Danklied Israels,6,2097,0.0028530670470756064,0.0043768154468181815,0.001731716888162158,0.01521182126798096,0.5795580988714036,0.2656387698742162,0.9361402980463607,0.25027852437382,0.24237881059470265,0.9525237381309345,2000,0.9232755152049757,1.0,0.8944099378881987,1.0,1.0,1.0
homograph_binary,Danklied des Einzelnen,1596,26866,0.056074766355140186,0.05777529543732853,0.044595480906602536,0.07606223167354258,0.500096937516127,0.4539123774647609,0.5499643841829494,0.494799997876026,0.4852573713143428,1.0,2000,0.8246666631267101,1.0,0.7949871218237037,1.0,1.0,1.0
homograph_binary,Fluch,15,3142,0.004751346214760849,0.004001657291511824,0.0017647523665013203,0.008819476732057019,0.39434542754084445,0.19376370871854168,0.6635212502134511,0.9215873031821413,0.8910544727636182,1.0,2000,0.9762933903375984,1.0,0.961032088997518,1.0,1.0,1.0
homograph_binary,Hymnus,11026,56707,0.16278623418422336,0.15738285511356398,0.13058063492052543,0.18506175179992618,0.4886179787764148,0.450981169725085,0.5255488783869637,0.9999244516956544,0.743128435782109,1.0,2000,1.0,1.0,0.9995002498750625,1.0,1.0,1.0
homograph_binary,Klagelied des Einzelnen,5565,44872,0.11033566627674128,0.13438342614378973,0.09781281911913767,0.17112887562628717,0.5442940262384753,0.49642967373998653,0.6082504210684313,1.748830185837092e-27,0.020989505247376312,0.9970014992503748,2000,2.5284291843427833e-27,1.3574803264636784e-26,0.02623688155922039,0.14086236136234548,1.0,1.0
homograph_binary,Klagelied des Volkes,496,15918,0.030218106494455953,0.033695652796400105,0.021349435901808978,0.05150438170591928,0.5463498159924451,0.4788280819947924,0.6629983355375925,0.0002146461572860014,0.0879560219890055,0.9950024987506247,2000,0.005151507774864034,0.027657766724521967,0.6596701649175413,1.0,1.0,1.0
homograph_binary,Königspsalm,325,13088,0.024230224409155298,0.028068635326449307,0.016059667237635848,0.045655664913731554,0.5093915741959751,0.42808684625952603,0.6322375865935542,0.2811656548983092,0.39480259870064965,1.0,2000,0.8229238679950512,1.0,0.9595202398800599,1.0,1.0,1.0
homograph_binary,Legende,3,1579,0.0018963337547408343,0.3472222222222222,0.32241716223257605,1.0,0.997677855182605,0.9959288794043047,1.0,0.001433450868006809,0.0004997501249375312,0.0009995002498750624,2000,0.0024412141573387103,0.013106557271973943,0.000644838870887137,0.003462054964358721,0.006814774430966335,0.036587626327881935
homograph_binary,Liturgie,153,9176,0.01640047164755065,0.02846387382802311,0.016755107584900578,0.050070061255215285,0.7010786877959554,0.6299772638844885,0.8020772869373108,6.453578892838405e-18,0.0004997501249375312,0.46476761619190404,2000,2.498159571421318e-17,1.3412289699752262e-16,0.0013036959780979075,0.006999371993160023,1.0,1.0
homograph_binary,Mischgedicht,45,5099,0.008748055987558321,0.03011758520164621,0.013336446370917713,0.06337850828148583,0.8345405417184197,0.7351100162781288,0.9124143852072375,5.004624823024865e-15,0.0004997501249375312,0.1294352823588206,2000,3.258816635965696e-13,1.74961572911359e-12,0.0013326669998334165,0.0071549135930080235,0.7503940337523547,1.0
homograph_binary,Segensspruch,253,11656,0.021244436980434964,0.030419734993678067,0.016747468309025352,0.06568886788622419,0.6334156559175956,0.5212377970346671,0.7722440983663653,1.7374436359819898e-13,0.0029985007496251873,0.7641179410294853,2000,1.1582957573213265e-12,6.218737358858455e-12,0.01999000499750125,0.10732370389512035,1.0,1.0
homograph_binary,Segenswunsch,45,5196,0.008586147681740127,0.009903030092755507,0.003423745888272941,0.029476066818727074,0.5248738345736036,0.3429952405228929,0.7260688684585885,0.2824641021187787,0.34132933533233384,1.0,2000,0.5801030065375771,1.0,0.6832649249145919,1.0,1.0,1.0
homograph_binary,Siegeslied,10,2622,0.003799392097264438,0.0032957508656386346,0.0017406685022934535,0.011305981720271266,0.34057971014492755,0.22823116112928707,0.8676265937695572,0.9593492738043404,0.95952023988006,1.0,2000,0.9740159140872243,1.0,0.9780109945027486,1.0,1.0,1.0
homograph_binary,Thronbesteigungslied,36,4685,0.007625503071383181,0.019022986121809343,0.006652978293612297,0.05149650660901265,0.7324143246768647,0.6376106280794793,0.8443843783888846,7.485170283153326e-07,0.0024987506246876563,0.3658170914542729,2000,2.211138952708615e-06,1.1871313802129081e-05,0.005997001499250375,0.0321971111685361,0.9830378928182968,1.0
homograph_binary,Tora,3,1578,0.0018975332068311196,0.005808088875839952,0.004662037474466818,0.01198562161468657,0.7157794676806084,0.6791889504014565,0.773055040371034,0.0980303552204913,0.08395802098950525,0.41629185407296354,2000,0.1704875742965066,0.9153253310283201,0.14816121351089162,0.7954580406344215,0.7239858331703714,1.0
homograph_binary,Wallfahrtslied,0,528,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0004997501249375312,2000,nan,nan,nan,nan,0.0004997501249375312,0.0026830925973780084
homograph_binary,Weisheitsgedicht,465,15452,0.029214047873342967,0.029017439289628168,0.01924060689160422,0.04595393352771119,0.4909159547847096,0.43422330296369765,0.5562605936800696,0.7481482325492829,0.585207396301849,1.0,2000,0.8888889891674647,1.0,0.6939387449132577,1.0,1.0,1.0
homograph_binary,Zionslied,15,3140,0.004754358161648178,0.015105881287482359,0.00519509941560859,0.08695295310925946,0.8213269639065818,0.7051450115354332,0.9461528088973962,8.541018325347568e-06,0.0014992503748125937,0.15242378810594703,2000,4.4561834740943836e-05,0.00023924662136693618,0.004997501249375313,0.026830925973780086,0.6702531087397477,1.0
homograph_binary,prophetische Gerichtsrede,1,1050,0.0009514747859181732,0.008333333333333333,nan,nan,0.8876190476190476,nan,nan,0.09015066773292862,0.04467871485943775,0.057971014492753624,2000,0.226329040926762,1.0,0.15218769816106534,0.8170757063822542,0.18937899471316974,1.0
homograph_binary,prophetische Redeweise,91,7217,0.012452107279693486,0.01105712768568353,0.005591230783892037,0.02350473366292911,0.4640325726649684,0.3654483493016262,0.5937914070099318,0.8812587784425703,0.7466266866566716,1.0,2000,0.998130317127273,1.0,0.9589322985566041,1.0,1.0,1.0
homograph_binary,"prophetische Schelt-, Droh- und Mahnrede",21,3656,0.005711177590426979,0.030032827192113132,0.0037156687893595153,0.5,0.5247408044180473,0.265389128213595,0.7287906406468835,0.3477126896398806,0.36431784107946025,1.0,2000,0.4438885399658051,1.0,0.4544119692730954,1.0,1.0,1.0
homograph_binary,prophetische Tora,0,525,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0004997501249375312,2000,nan,nan,nan,nan,0.0004997501249375312,0.0026830925973780084
homograph_binary,prophetisches Stück,28,4173,0.006665079742918353,0.005672867128265853,0.0023761847059210464,0.01232382163259733,0.42175464722193695,0.21117086274287414,0.6436232231296143,0.9235723254050804,0.8615692153923038,1.0,2000,0.9990433327809034,1.0,0.9955022488755623,1.0,1.0,1.0
homograph_binary_psalm,Danklied Israels,6,2097,0.0028530670470756064,0.011529746061371903,0.001576110474932341,0.125,0.5274201239866476,0.19979560047272796,0.9960050167472836,0.4082831679243224,0.39580209895052476,1.0,2000,0.9232755152049757,1.0,0.8944099378881987,1.0,1.0,1.0
homograph_binary_psalm,Danklied des Einzelnen,1596,26866,0.056074766355140186,0.06878999238205083,0.049178654004182025,0.10110357132818698,0.5661465904208149,0.5123742808899089,0.6244066901739656,2.95770028261278e-19,0.0034982508745627187,0.9655172413793104,2000,1.774620169567668e-18,9.527701950489559e-18,0.020989505247376312,0.11268988908987637,1.0,1.0
homograph_binary_psalm,Fluch,15,3142,0.004751346214760849,0.005203796434170365,0.0018065154773215476,0.014568526659971817,0.5395713982601316,0.2921631334726057,0.8141819645417996,0.2982506872458027,0.2928535732133933,0.9970014992503748,2000,0.9762933903375984,1.0,0.961032088997518,1.0,1.0,1.0
homograph_binary_psalm,Hymnus,11026,56707,0.16278623418422336,0.19092231812807411,0.1588338125598171,0.22075434188256238,0.548436926925497,0.5178973501698009,0.5814213458316502,9.067246376670459e-59,0.0004997501249375312,0.9910044977511244,2000,2.8633409610538292e-58,1.5372900481681897e-57,0.0017638239703677572,0.009469738578981207,1.0,1.0
homograph_binary_psalm,Klagelied des Einzelnen,5565,44872,0.11033566627674128,0.15435687306518586,0.10095700175442636,0.2431052813136241,0.5935472319627502,0.5534301148053251,0.6621652017006338,2.19008813288779e-115,0.0004997501249375312,0.9045477261369316,2000,2.628105759465348e-114,1.410995366780432e-113,0.0018740629685157421,0.010061597240167532,1.0,1.0
homograph_binary_psalm,Klagelied des Volkes,496,15918,0.030218106494455953,0.02879430511773811,0.013841476724275034,0.04210689496654527,0.47276902238893687,0.4089906597996052,0.519100376767074,0.9807179657405972,0.8350824587706147,1.0,2000,0.999999999999859,1.0,1.0,1.0,1.0,1.0
homograph_binary_psalm,Königspsalm,325,13088,0.024230224409155298,0.025792635640543665,0.01292889167111872,0.043054176703225526,0.5129934643596012,0.4265577595948322,0.6024828633809397,0.21141659638601934,0.3308345827086457,1.0,2000,0.819971481340969,1.0,0.9595202398800599,1.0,1.0,1.0
homograph_binary_psalm,Legende,3,1579,0.0018963337547408343,0.13115916341722794,0.02826455895586947,0.2,0.9919780451762719,0.9771220138522134,0.997800015324264,0.0015994319831875573,0.0004997501249375312,0.0069965017491254375,2000,0.0024412141573387103,0.013106557271973943,0.000644838870887137,0.003462054964358721,0.010763848844808365,0.05778968671275711
homograph_binary_psalm,Liturgie,153,9176,0.01640047164755065,0.020082733005920082,0.010336262696968228,0.03177597788103354,0.5333692326102193,0.46274215726775303,0.6060059846362629,0.0781003706046728,0.18840579710144928,0.999000499750125,2000,0.13782418342001082,0.7399598875940738,0.33248081841432225,1.0,1.0,1.0
homograph_binary_psalm,Mischgedicht,45,5099,0.008748055987558321,0.010505179895531147,0.005280498442118441,0.020870218949190084,0.575380793619664,0.4582783484093596,0.7214799260044024,0.04059519740260687,0.10044977511244378,0.9480259870064968,2000,0.072707816243475,0.39035868887231095,0.1772643090219596,0.9517087271876115,1.0,1.0
homograph_binary_psalm,Segensspruch,253,11656,0.021244436980434964,0.0199231757643712,0.009493069119443762,0.029863055087805748,0.48103404309575415,0.4133359120523672,0.544144099526955,0.8493927379186532,0.6941529235382309,1.0,2000,0.9999999999826537,1.0,1.0,1.0,1.0,1.0
homograph_binary_psalm,Segenswunsch,45,5196,0.008586147681740127,0.01472540315692983,0.005757619250019651,0.03853765662905128,0.6055234795996921,0.46822042628148425,0.7879246917370618,0.007316314781832847,0.047976011994003,0.8675662168915542,2000,0.03990717153727007,0.21425634770442134,0.25030962779479826,1.0,1.0,1.0
homograph_binary_psalm,Siegeslied,10,2622,0.003799392097264438,0.007692257859470444,0.001912526102992223,0.03575976771633464,0.6177536231884058,0.34378676460545665,0.9583189999888796,0.09903117533351657,0.11944027986006997,0.8245877061469266,2000,0.49396433159277825,1.0,0.5757121439280359,1.0,1.0,1.0
homograph_binary_psalm,Thronbesteigungslied,36,4685,0.007625503071383181,0.08376175699800392,0.005039903091850029,0.37150391121713633,0.7940649828056445,0.5005493539301291,0.9329753639095706,5.708759950918112e-10,0.0004997501249375312,0.2413793103448276,2000,2.854379975459056e-09,1.532479013029869e-08,0.0018740629685157421,0.010061597240167532,0.9830378928182968,1.0
homograph_binary_psalm,Tora,3,1578,0.0018975332068311196,0.5,0.5,0.5,0.9990494296577946,0.9982698703790477,0.9993438263891475,0.001376547000329565,0.0004997501249375312,0.0004997501249375312,2000,0.0027874005597345575,0.01496518646930997,0.0020328818641526694,0.010914274972385118,0.0022630194336793865,0.0121498532711457
homograph_binary_psalm,Wallfahrtslied,0,528,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0004997501249375312,2000,nan,nan,nan,nan,0.0004997501249375312,0.0026830925973780084
homograph_binary_psalm,Weisheitsgedicht,465,15452,0.029214047873342967,0.031190290259848968,0.02058840705046302,0.053262615816051795,0.5199042334360447,0.45809310687195487,0.5879909222509654,0.07147249285314819,0.23238380809595202,1.0,2000,0.20028895079708564,1.0,0.5797101449275363,1.0,1.0,1.0
homograph_binary_psalm,Zionslied,15,3140,0.004754358161648178,0.04707176664672944,0.005640607805939345,0.5,0.7353503184713376,0.18256576244750555,0.9353910389876335,0.0008176924395605088,0.0074962518740629685,0.3803098450774613,2000,0.0016917774611596736,0.009082930360479411,0.01524661398114502,0.08185706229288839,0.7735115493100907,1.0
homograph_binary_psalm,prophetische Gerichtsrede,1,1050,0.0009514747859181732,0.010101010101010102,nan,nan,0.9104761904761904,nan,nan,0.07788759259715274,0.06325301204819277,0.07446276861569215,2000,0.226329040926762,1.0,0.1631526104417671,0.8759448761997258,0.2002998500749625,1.0
homograph_binary_psalm,prophetische Redeweise,91,7217,0.012452107279693486,0.013415554491997335,0.002461137862055847,0.041650080965518456,0.5250789116661363,0.3955704819815105,0.6162946658203486,0.20511180184308953,0.27886056971514245,1.0,2000,0.7691692569115858,1.0,0.9589322985566041,1.0,1.0,1.0
homograph_binary_psalm,"prophetische Schelt-, Droh- und Mahnrede",21,3656,0.005711177590426979,0.0267105862112196,0.0017058375236974758,0.11650983946913658,0.6214637386683338,0.3826751820249497,0.9873266733925554,0.027277748909969462,0.05747126436781609,0.8130934532733634,2000,0.1169046381855834,0.6276456045991016,0.2652519893899204,1.0,1.0,1.0
homograph_binary_psalm,prophetische Tora,0,525,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0004997501249375312,2000,nan,nan,nan,nan,0.0004997501249375312,0.0026830925973780084
homograph_binary_psalm,prophetisches Stück,28,4173,0.006665079742918353,0.012841762995635022,0.0023751546522816423,0.13915321020277382,0.5006932320016432,0.2767838216070793,0.8634438075471496,0.49497922837302344,0.48425787106446777,1.0,2000,0.9990433327809034,1.0,0.9955022488755623,1.0,1.0,1.0
