model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
morph_signature_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.19764802114586916,0.27206201970552113,-0.056470603001338396,0.3285326227068595,0.5926231847072598,0.0
morph_signature_1_2gram_psalm,20198,120011,0.14405637298604226,0.19482537818726542,0.2596512161781217,-0.05322900280090228,0.31288021897902396,0.5906782685924516,0.0
sp_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.1926751197567984,0.22242032043258034,-0.045499939696385126,0.26792026012896547,0.5801432090809704,4.906467461998872e-292
morph_signature_1gram_psalm,20198,120011,0.14405637298604226,0.19096532255935855,0.23359552039373685,-0.04735861129373302,0.28095413168746985,0.5849552514738002,0.0
sp_1_2gram_psalm,20198,120011,0.14405637298604226,0.1889404226013484,0.19977363525193467,-0.04071014827434785,0.24048378352628252,0.5735726892378167,1.6872845489937756e-246
morph_nu_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.18785123648395885,0.20893569749346916,-0.04096009149647339,0.24989578898994255,0.5802773187716069,5.259192778186748e-293
morph_nu_sp_plus_psalm,20198,120011,0.14405637298604226,0.18521607752420266,0.18658410656882896,-0.03719989823268584,0.22378400480151478,0.5707075885522456,7.35486009963436e-228
morph_st_sp_plus_psalm,20198,120011,0.14405637298604226,0.1843892349146059,0.1412679396585491,-0.029045919695363145,0.17031385935391224,0.5638060836023193,5.396444951464387e-186
morph_st_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.18438716269665933,0.1340609910381163,-0.027872259256167077,0.16193325029428338,0.5596444255292705,8.05395437210081e-163
morph_nu_1_2gram_psalm,20198,120011,0.14405637298604226,0.18309879223847128,0.18863697759728992,-0.03664208549997659,0.22527906309726653,0.5730385747497851,5.727649327767692e-243
morph_atomic_core_psalm,20198,120011,0.14405637298604226,0.1830849776394179,0.158878569734105,-0.03378312015187362,0.19266168988597862,0.5640763052672906,1.4921876608303394e-187
morph_suffix_posmean,20198,120011,0.14405637298604226,0.18297392543037397,0.20616433312357718,-0.043737503469360915,0.2499018365929381,0.5677394002688084,2.495903329551276e-209
sp_1gram_psalm,20198,120011,0.14405637298604226,0.18290592453325494,0.15888936762886988,-0.03238036605488339,0.19126973368375327,0.5623678063197377,8.267499705014112e-178
morph_st_1_2gram_psalm,20198,120011,0.14405637298604226,0.18222568983498352,0.1140300763414341,-0.023597704738530657,0.13762778107996476,0.5557529165133985,1.463017638398037e-142
morph_vt_sp_plus_psalm,20198,120011,0.14405637298604226,0.18030093193784907,0.14586637508893163,-0.03126058098338952,0.17712695607232115,0.5564025046227052,7.556359543794063e-146
morph_gn_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.1801121571241705,0.15733929790754103,-0.03326925299615338,0.1906085509036944,0.5586264415595881,2.1739831259657443e-157
morph_vs_sp_plus_psalm,20198,120011,0.14405637298604226,0.17861651584438634,0.12983352278721585,-0.027714228792610037,0.1575477515798259,0.5538321016483975,4.6033192209276485e-133
morph_st_1gram_psalm,20198,120011,0.14405637298604226,0.1781436853867462,0.08654495683634722,-0.017724079998852543,0.10426903683519977,0.5528588859534098,2.2301084126887034e-128
morph_gn_sp_plus_psalm,20198,120011,0.14405637298604226,0.17745811267974185,0.14261581483679436,-0.030284204826780868,0.17290001966357524,0.5513609630177735,2.476136878276362e-121
morph_nu_1gram_psalm,20198,120011,0.14405637298604226,0.17672520799763747,0.15509332873138365,-0.030069810077252464,0.1851631388086361,0.5602630695166769,3.627687002132911e-166
morph_full_all_psalm,20198,120011,0.14405637298604226,0.1765343108377008,0.12627109413361629,-0.02850234656839445,0.15477344070201074,0.5476803177634584,7.046446950604277e-105
morph_ps_sp_plus_psalm,20198,120011,0.14405637298604226,0.17565967242622066,0.15253714017794712,-0.03272669124740672,0.18526383142535385,0.551976575629757,3.3319275893025002e-124
morph_vs_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.17402535756083093,0.07740435960143184,-0.017430838896937115,0.09483519849836895,0.5410209270111226,3.332082195129218e-78
morph_gn_1_2gram_psalm,20198,120011,0.14405637298604226,0.17388682580311549,0.12184039883316952,-0.026170481806538602,0.14801088063970813,0.5466905204696599,1.1614321859238746e-100
morph_vs_1_2gram_psalm,20198,120011,0.14405637298604226,0.17344332390368136,0.061312705589153624,-0.01428688762068003,0.07559959320983366,0.5423617681400296,2.9702061988116923e-83
morph_prs_nu_sp_plus_psalm,20198,120011,0.14405637298604226,0.1733374482588531,0.10326916081919679,-0.02299977762266036,0.12626893844185716,0.5384473596158593,5.815046493226324e-69
morph_vt_1_2gram_psalm,20198,120011,0.14405637298604226,0.17287816567880976,0.09119105520939699,-0.020205887946033136,0.11139694315543013,0.5380439045043177,1.4434579679741659e-67
morph_suffix_host_plus_suffix_psalm,20198,120011,0.14405637298604226,0.17269667271086547,0.09827344312043863,-0.024477880354363112,0.12275132347480175,0.538460279265304,5.244128039043686e-69
morph_vt_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.17202377898259652,0.10747695217002894,-0.02303211452052539,0.13050906669055432,0.539329116717623,4.627610779514708e-72
morph_prs_gn_sp_plus_psalm,20198,120011,0.14405637298604226,0.17139054372844825,0.12189172329241987,-0.02721707534062262,0.1491087986330425,0.539659937425497,3.0510459078305543e-73
morph_vt_1gram_psalm,20198,120011,0.14405637298604226,0.16784878188458136,0.05793019964348062,-0.01435345384801648,0.0722836534914971,0.5295579724761491,1.2916671569258348e-41
morph_vs_1gram_psalm,20198,120011,0.14405637298604226,0.1678170275011105,0.03193970304431863,-0.008613200658578837,0.04055290370289747,0.5344888901241749,6.573625374428901e-56
morph_ps_1gram_psalm,20198,120011,0.14405637298604226,0.16745667633219802,0.07505864314256337,-0.017631212356080707,0.09268985549864409,0.5297785844529423,3.297928696616762e-42
morph_ps_1_2gram_psalm,20198,120011,0.14405637298604226,0.1670233229374985,0.08226836807583944,-0.019278585030392786,0.10154695310623223,0.529892005253844,1.628358408547579e-42
morph_gn_1gram_psalm,20198,120011,0.14405637298604226,0.16657276185068598,0.08249913823333423,-0.01831658026752732,0.10081571850086155,0.5320973884239507,1.0530179591637776e-48
morph_ps_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.1665288169840078,0.0932373658574413,-0.021238792245223802,0.11447615810266511,0.5307962988249331,5.329016235822202e-45
morph_prs_ps_sp_plus_psalm,20198,120011,0.14405637298604226,0.1664918857115838,0.061799705493321457,-0.017134730065286135,0.07893443555860759,0.5232487623100007,1.6709980932026548e-26
morph_prs_gn_1gram_psalm,20198,120011,0.14405637298604226,0.16506865880274657,0.05275152378913432,-0.013667959956123167,0.0664194837452575,0.517076495188654,3.6855954761138974e-15
morph_prs_nu_1gram_psalm,20198,120011,0.14405637298604226,0.16479452708267,0.046173089445657095,-0.01145977751783351,0.057632866963490605,0.5205931262420362,3.3080756813421552e-21
morph_suffix_1gram_psalm,20198,120011,0.14405637298604226,0.1636942265455119,0.008836697844974675,-0.0065348786167225325,0.015371576461697206,0.512133927908772,1.6313383392353607e-08
morph_suffix_1_2gram_psalm,20198,120011,0.14405637298604226,0.1615775636680173,-0.009191608778279093,-0.0034384992518648816,-0.005753109526414211,0.5034337715332823,0.058908548376473094
morph_prs_nu_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.16146367147386975,0.01963606689016332,-0.007222495386060968,0.026858562276224286,0.5095808528258907,6.389572125039131e-06
morph_prs_nu_1_2gram_psalm,20198,120011,0.14405637298604226,0.16141223602130822,0.025231702962631,-0.008004198846373997,0.033235901809005,0.5117959373874571,3.876757458002578e-08
morph_prs_gn_1_2gram_psalm,20198,120011,0.14405637298604226,0.16078355253724824,0.01861578346302191,-0.007866608731137072,0.02648239219415898,0.5049171774479936,0.012556543325228778
morph_suffix_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.1598868076760602,-0.015624934295362039,-0.0024604986881294408,-0.013164435607232598,0.4990601108701716,0.665710502231402
morph_prs_ps_1gram_psalm,20198,120011,0.14405637298604226,0.15818928930161635,-0.03244357597845243,0.0008072159643207649,-0.033250791942773195,0.4986573785362212,0.7295767791132328
morph_prs_gn_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.1580006049487261,0.004638504034453601,-0.005595456572363786,0.010233960606817388,0.4992524800650576,0.6332516416550112
morph_prs_ps_1_2gram_psalm,20198,120011,0.14405637298604226,0.15619022014615588,-0.043419369328206024,0.0026428001770623967,-0.046062169505268424,0.4917582170441189,0.9999129611272964
morph_prs_nu_1gram,20198,120011,0.14405637298604226,0.1551899855728967,-0.0007101641755112663,-0.0012855221944974057,0.0005753580189861394,0.5183690690484937,2.963297350823474e-17
morph_prs_ps_1_2_3gram_psalm,20198,120011,0.14405637298604226,0.15451628197635126,-0.04661340708277254,0.003029754214656053,-0.049643161297428594,0.48832847524343476,0.9999999469940378
morph_full_all,20198,120011,0.14405637298604226,0.15400434349501568,-0.06621147967190108,0.008595399699865681,-0.07480687937176676,0.49527386397310386,0.9843266394001481
morph_st_sp_plus,20198,120011,0.14405637298604226,0.15376303898036509,-0.025476042587452112,0.002162289565372435,-0.027638332152824546,0.5030287365833925,0.0838675786491278
morph_signature_1gram,20198,120011,0.14405637298604226,0.15233556840768508,-0.0016402593420371692,-0.003316207348756051,0.0016759480067188815,0.5079510512391234,0.00014644090187643713
morph_prs_nu_sp_plus,20198,120011,0.14405637298604226,0.1522842109449126,-0.054723148962149686,0.006898224735592301,-0.06162137369774199,0.4974986391999785,0.8727132276813238
sp_1gram,20198,120011,0.14405637298604226,0.15227341704879266,-0.03366885178741436,0.003352857086038788,-0.03702170887345315,0.5005490479724146,0.4012634073811752
morph_nu_sp_plus,20198,120011,0.14405637298604226,0.15138515696749474,-0.05921055367793651,0.007564873896283667,-0.06677542757422018,0.4966299162286993,0.9376072971266536
morph_atomic_core,20198,120011,0.14405637298604226,0.1510760887511746,-0.06046763123265764,0.0076972943035305335,-0.06816492553618816,0.4962808255845188,0.954866989108104
morph_suffix_host_plus_suffix,20198,120011,0.14405637298604226,0.15063669509625946,-0.09158401362950168,0.012811337795363791,-0.10439535142486547,0.4844514712847035,0.9999999999992895
morph_prs_gn_sp_plus,20198,120011,0.14405637298604226,0.15060212156352237,-0.08101912076198282,0.011374398777810957,-0.09239351953979379,0.4908399444098553,0.9999849156292038
morph_suffix_1gram,20198,120011,0.14405637298604226,0.1501608520989674,-0.03033261016480413,0.0033849290795220583,-0.03371753924432619,0.5009581396765533,0.3312696837651244
morph_vt_sp_plus,20198,120011,0.14405637298604226,0.14984277262833046,-0.05727566756223185,0.007273342707389626,-0.06454901026962147,0.49546314032346817,0.9806061661836221
morph_ps_sp_plus,20198,120011,0.14405637298604226,0.14934803017562753,-0.05215566125246376,0.006379425644034819,-0.05853508689649858,0.4968670712314123,0.9232064611464477
sp_1_2gram,20198,120011,0.14405637298604226,0.14908313944216978,-0.03572164142117651,0.002815362020638293,-0.0385370034418148,0.49433664400481414,0.9950531831179563
morph_prs_gn_1gram,20198,120011,0.14405637298604226,0.14906733560724933,-0.030204602059427942,0.003804635529451668,-0.03400923758887961,0.504051587338032,0.0324895265937597
morph_vt_1gram,20198,120011,0.14405637298604226,0.14896850676761872,-0.04852222216309779,0.0064613915901710955,-0.054983613753268885,0.5009689939230239,0.3294784664404297
morph_vt_1_2gram,20198,120011,0.14405637298604226,0.14893123872107775,-0.03952437050694964,0.0048244375951086195,-0.044348808102058254,0.49939984170956225,0.607710985192081
morph_ps_1_2gram,20198,120011,0.14405637298604226,0.1486095695940772,-0.040139415102101186,0.004909091427512267,-0.04504850652961345,0.4989750042213388,0.6797004921047048
morph_ps_1_2_3gram,20198,120011,0.14405637298604226,0.14856681484711778,-0.027633294229628465,0.002395937406686918,-0.030029231636315382,0.4981033173256276,0.8061769964933416
morph_ps_1gram,20198,120011,0.14405637298604226,0.14815672283162082,-0.030653328431797276,0.0034287046116818895,-0.03408203304347916,0.5017929810043348,0.20706127366063043
morph_st_1gram,20198,120011,0.14405637298604226,0.1481268172206368,-0.0021816593070935362,-0.0009488601248938393,-0.0012327991821996969,0.5074957343601394,0.0003199305410924471
morph_vt_1_2_3gram,20198,120011,0.14405637298604226,0.14802010270237687,-0.028117109649226972,0.002540092748200167,-0.030657202397427138,0.49753868817429897,0.8688708475118836
morph_st_1_2gram,20198,120011,0.14405637298604226,0.14800838721981846,-0.016355343325517652,0.0008500084135132206,-0.017205351739030872,0.49946395831133045,0.5964443829550723
morph_signature_1_2gram,20198,120011,0.14405637298604226,0.14787635045683226,-0.009353501576065673,-0.003345001353714157,-0.006008500222351516,0.4997707276872561,0.5415852339094056
morph_prs_ps_sp_plus,20198,120011,0.14405637298604226,0.14741342978231647,-0.09362866417059933,0.013335171518616445,-0.10696383568921577,0.48342932556825097,0.9999999999999778
morph_vs_sp_plus,20198,120011,0.14405637298604226,0.14741194183876363,-0.05973526935908485,0.007884557667356271,-0.06761982702644112,0.4935656441117613,0.9983089880497359
morph_nu_1gram,20198,120011,0.14405637298604226,0.14722534385074518,-0.06037373480848515,0.00842777444567454,-0.06880150925415969,0.49863520531214073,0.7329079997329921
morph_gn_sp_plus,20198,120011,0.14405637298604226,0.14682749657413788,-0.05237661839030543,0.006374246950536374,-0.0587508653408418,0.49145506382514337,0.9999502927598609
morph_st_1_2_3gram,20198,120011,0.14405637298604226,0.14635306102673912,-0.028290855704467096,0.002378124417953253,-0.03066898012242035,0.4942543474013941,0.9955648000764089
sp_1_2_3gram,20198,120011,0.14405637298604226,0.1459053530310811,-0.04231683748717205,0.003183458173480971,-0.04550029566065302,0.48843314556745887,0.9999999312018144
morph_signature_1_2_3gram,20198,120011,0.14405637298604226,0.1455826672012146,-0.017281931991322084,-0.0033544719978327395,-0.013927459993489344,0.49492425434820997,0.9896079153864459
morph_nu_1_2gram,20198,120011,0.14405637298604226,0.1451285135492334,-0.06794382214252284,0.009079101205693597,-0.07702292334821643,0.49204200522797736,0.9998553394712012
morph_vs_1_2_3gram,20198,120011,0.14405637298604226,0.14466986038571827,-0.04876944814547791,0.006180693320808263,-0.05495014146628617,0.4913893717167421,0.9999560801483405
morph_vs_1_2gram,20198,120011,0.14405637298604226,0.14400758908434663,-0.053170022052148234,0.0073363443663803625,-0.0605063664185286,0.49202406017029715,0.999859847163693
morph_prs_nu_1_2gram,20198,120011,0.14405637298604226,0.14389537708098338,-0.04117638564358343,0.0053374863786909916,-0.04651387202227442,0.4957443564999676,0.9737094341681094
morph_gn_1gram,20198,120011,0.14405637298604226,0.14382933601565723,-0.04136816115745443,0.005198036554697959,-0.04656619771215239,0.4910364033625333,0.9999777428812684
morph_prs_ps_1gram,20198,120011,0.14405637298604226,0.14340820547678942,-0.056991741341261615,0.008000449592651854,-0.06499219093391347,0.4872089443225271,0.9999999971618218
morph_nu_1_2_3gram,20198,120011,0.14405637298604226,0.14299251361239007,-0.0711520839178004,0.00908427664531622,-0.08023636056311662,0.48637510444600307,0.9999999997279342
morph_vs_1gram,20198,120011,0.14405637298604226,0.14217324216856936,-0.053681307942855395,0.007698712008814068,-0.061380019951669466,0.49206675932911914,0.9998488981724805
morph_gn_1_2gram,20198,120011,0.14405637298604226,0.14179771388199114,-0.06338682011154981,0.008395951950548153,-0.07178277206209796,0.4821938923925537,0.9999999999999998
morph_gn_1_2_3gram,20198,120011,0.14405637298604226,0.14154468806835255,-0.07599628194636569,0.00996243004977789,-0.08595871199614358,0.47814116210057384,1.0
morph_suffix_1_2gram,20198,120011,0.14405637298604226,0.14074040475119876,-0.08209732976872307,0.011998821470959205,-0.09409615123968228,0.48110891845014214,1.0
morph_prs_gn_1_2gram,20198,120011,0.14405637298604226,0.14073609568682516,-0.08396013643004896,0.012649206826853731,-0.0966093432569027,0.48267355062212014,0.9999999999999986
morph_prs_nu_1_2_3gram,20198,120011,0.14405637298604226,0.13887814284548577,-0.06924753812118542,0.009795422054778574,-0.07904296017596399,0.4805159720526625,1.0
morph_prs_ps_1_2gram,20198,120011,0.14405637298604226,0.13678010180149952,-0.1039317785202622,0.01578342833410133,-0.11971520685436353,0.4713394456318482,1.0
morph_suffix_1_2_3gram,20198,120011,0.14405637298604226,0.13645043336102297,-0.1087380078547338,0.016238957487932842,-0.12497696534266664,0.46860885872404295,1.0
morph_prs_gn_1_2_3gram,20198,120011,0.14405637298604226,0.13610452581389917,-0.11157625199612824,0.017010467505793728,-0.12858671950192196,0.468832483305494,1.0
morph_prs_ps_1_2_3gram,20198,120011,0.14405637298604226,0.133463650501233,-0.1272701013208594,0.019458711737561345,-0.14672881305842073,0.46101925630576973,1.0
