genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0021468514168785204,0.002334621681353295,1000,-0.0001877702644747744,0.8701298701298701
Danklied des Einzelnen,0.06404629455166233,0.06212750803112229,1000,0.0019187865205400403,0.058941058941058944
Fluch,0.004055177831890078,0.003685853714280008,1000,0.00036932411761006955,0.01098901098901099
Hymnus,0.18478334249262954,0.18324216892444695,1000,0.001541173568182591,0.22877122877122877
Klagelied des Einzelnen,0.13996671864619104,0.135523121403913,1000,0.0044435972422780246,0.01898101898101898
Klagelied des Volkes,0.029189150356380214,0.028734974775871547,1000,0.00045417558050866655,0.2707292707292707
Königspsalm,0.025858409463490425,0.024242063926868156,1000,0.0016163455366222691,0.04095904095904096
Legende,0.08637479853188905,0.04606459574304457,1000,0.04031020278884448,0.03596403596403597
Liturgie,0.014159516437848567,0.014260528707087746,1000,-0.00010101226923917885,0.5344655344655345
Mischgedicht,0.01048728522065043,0.011393354947446678,1000,-0.0009060697267962489,0.7072927072927073
Segensspruch,0.020699923799669236,0.022606606356074272,1000,-0.0019066825564050364,0.99000999000999
Segenswunsch,0.006815854819607289,0.007228080650616727,1000,-0.0004122258310094379,0.8661338661338661
Siegeslied,0.00475188007701042,0.005237657225831589,1000,-0.00048577714882116953,0.6433566433566433
Thronbesteigungslied,0.029232659137986547,0.03471162422180048,1000,-0.00547896508381393,0.5514485514485514
Tora,1.0,0.9974166666666666,1000,0.002583333333333382,0.984015984015984
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03323079680175874,0.03301937502143005,1000,0.00021142178032869385,0.4145854145854146
Zionslied,0.0064415370762285875,0.005465555931853527,1000,0.0009759811443750604,0.13186813186813187
prophetische Gerichtsrede,0.0019157088122605363,0.001972594636974789,1000,-5.6885824714252844e-05,0.3966033966033966
prophetische Redeweise,0.017606093852453396,0.020253305103062197,1000,-0.002647211250608801,0.7962037962037962
"prophetische Schelt-, Droh- und Mahnrede",0.023987033892380435,0.019724257669674918,1000,0.004262776222705517,0.15884115884115885
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011598451549753048,0.01071531879143784,1000,0.0008831327583152075,0.18181818181818182
