genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0025328035922015935,0.0032007361696338777,1000,-0.0006679325774322843,0.967032967032967
Danklied des Einzelnen,0.06558141249123048,0.06549142322628033,1000,8.998926495014381e-05,0.45854145854145856
Fluch,0.004472499062215874,0.004449912451734187,1000,2.2586610481687558e-05,0.4275724275724276
Hymnus,0.1887799454311973,0.18752514173149107,1000,0.0012548036997062362,0.28771228771228774
Klagelied des Einzelnen,0.14418417536346456,0.14482410084073857,1000,-0.0006399254772740115,0.6093906093906094
Klagelied des Volkes,0.02487819002981341,0.024914416790134494,1000,-3.6226760321084184e-05,0.4515484515484515
Königspsalm,0.02392789207479135,0.02321986969102665,1000,0.0007080223837646997,0.12187812187812187
Legende,0.005489086781117114,0.004843794932131091,1000,0.0006452918489860231,0.11788211788211789
Liturgie,0.0120965020928989,0.012286749198039897,1000,-0.0001902471051409959,0.7082917082917083
Mischgedicht,0.011614687176338567,0.010549788350115438,1000,0.0010648988262231297,0.1068931068931069
Segensspruch,0.018228897367714037,0.01878716123195647,1000,-0.0005582638642424344,0.8971028971028971
Segenswunsch,0.006001415293917921,0.005998167058624965,1000,3.248235292956092e-06,0.46853146853146854
Siegeslied,0.0032280355540659383,0.0033065190865242972,1000,-7.848353245835894e-05,0.6403596403596403
Thronbesteigungslied,0.01960875541830292,0.029234645284495528,1000,-0.00962588986619261,0.8661338661338661
Tora,1.0,0.9824277777777778,1000,0.01757222222222221,0.9170829170829171
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028963853121001915,0.029289481014900653,1000,-0.0003256278938987382,0.6773226773226774
Zionslied,0.005091163886403635,0.005207286426514765,1000,-0.00011612254011113005,0.22577422577422576
prophetische Gerichtsrede,0.0012836970474967907,0.0011971437994516706,1000,8.65532480451201e-05,0.06893106893106893
prophetische Redeweise,0.012342519107524754,0.014252632514494191,1000,-0.001910113406969437,0.9300699300699301
"prophetische Schelt-, Droh- und Mahnrede",0.020778776698532384,0.015336976144580794,1000,0.00544180055395159,0.0899100899100899
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.011158304621942948,0.010571786731950437,1000,0.0005865178899925102,0.22977022977022976
