genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.006548037809407737,0.006423822539033783,1000,0.0001242152703739537,0.1978021978021978
Danklied des Einzelnen,0.05658158120636874,0.05634225026180842,1000,0.00023933094456032172,0.4015984015984016
Fluch,0.0037260523914824143,0.003911528563237876,1000,-0.00018547617175546137,0.7522477522477522
Hymnus,0.1443334175704864,0.14450635363990347,1000,-0.00017293606941706785,0.5624375624375625
Klagelied des Einzelnen,0.14419137481709277,0.14487169822373905,1000,-0.0006803234066462827,0.5874125874125874
Klagelied des Volkes,0.034610905686582434,0.032615535124093785,1000,0.001995370562488649,0.015984015984015984
Königspsalm,0.027751152514791155,0.026141216125884943,1000,0.001609936388906212,0.06793206793206794
Legende,0.006249409997514717,0.005559593055053081,1000,0.0006898169424616359,0.08391608391608392
Liturgie,0.02028408343086339,0.02270324302454801,1000,-0.0024191595936846194,1.0
Mischgedicht,0.02514252185701449,0.02612927572185535,1000,-0.0009867538648408586,0.5724275724275725
Segensspruch,0.017685215922068443,0.016929354977519972,1000,0.0007558609445484712,0.07392607392607392
Segenswunsch,0.007246674418468097,0.007157691667330432,1000,8.898275113766469e-05,0.32367632367632365
Siegeslied,0.0034731347129140495,0.005680370769136427,1000,-0.0022072360562223775,0.6383616383616384
Thronbesteigungslied,0.011276795607199784,0.013787761206399235,1000,-0.002510965599199451,0.7202797202797203
Tora,0.0017088270879847983,0.0025544883547035093,1000,-0.0008456612667187111,0.939060939060939
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03053795958351503,0.02905261583778642,1000,0.0014853437457286109,0.06793206793206794
Zionslied,0.017741598464657896,0.012247272049479844,1000,0.005494326415178052,0.025974025974025976
prophetische Gerichtsrede,0.0022123893805309734,0.0020190467184488465,1000,0.00019334266208212696,0.15984015984015984
prophetische Redeweise,0.011173853233937325,0.011498654319726546,1000,-0.0003248010857892208,0.8011988011988012
"prophetische Schelt-, Droh- und Mahnrede",0.005599045186871721,0.007301394445896655,1000,-0.001702349259024934,0.8811188811188811
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007507190666788205,0.007013336120624394,1000,0.0004938545461638105,0.19480519480519481
