genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0054038296327193905,0.00791526817553918,1000,-0.0025114385428197895,0.3176823176823177
Danklied des Einzelnen,0.05784180412016328,0.054998778292463614,1000,0.0028430258276996648,0.016983016983016984
Fluch,0.006649513357489145,0.007600277564389286,1000,-0.0009507642069001409,0.8211788211788211
Hymnus,0.15350849890455684,0.1531882780876379,1000,0.00032022081691893134,0.3866133866133866
Klagelied des Einzelnen,0.12158701579845321,0.12301166519254964,1000,-0.0014246493940964222,0.7122877122877123
Klagelied des Volkes,0.041236613030177525,0.04123629928588903,1000,3.137442884937336e-07,0.4885114885114885
Königspsalm,0.024811750138827665,0.024873660079318575,1000,-6.190994049090973e-05,0.4975024975024975
Legende,0.03059379217273954,0.036972618200365674,1000,-0.006378826027626135,0.5954045954045954
Liturgie,0.024102675015506225,0.024500928223204013,1000,-0.00039825320769778724,0.6463536463536463
Mischgedicht,0.024389038440201107,0.021573332205282604,1000,0.0028157062349185025,0.1798201798201798
Segensspruch,0.025396517431497248,0.02272992872074967,1000,0.0026665887107475764,0.015984015984015984
Segenswunsch,0.010851523817648392,0.009497267100644746,1000,0.0013542567170036456,0.17482517482517482
Siegeslied,0.008594887203936282,0.009896217374082578,1000,-0.0013013301701462962,0.8331668331668332
Thronbesteigungslied,0.03335368681743126,0.027015848086788197,1000,0.006337838730643065,0.12087912087912088
Tora,0.0018413608401669041,0.0019336963163949453,1000,-9.233547622804119e-05,0.7422577422577422
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.04180912502059772,0.04019983469815604,1000,0.0016092903224416838,0.11888111888111888
Zionslied,0.010340806812041789,0.012501679245957778,1000,-0.0021608724339159894,0.8851148851148851
prophetische Gerichtsrede,0.0014619883040935672,0.0014959089803456582,1000,-3.3920676252091e-05,0.6433566433566433
prophetische Redeweise,0.019202815275371536,0.019211809275157,1000,-8.993999785465029e-06,0.47352647352647353
"prophetische Schelt-, Droh- und Mahnrede",0.007260602729189903,0.007262239332051381,1000,-1.636602861478792e-06,0.44755244755244755
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.006911204745766926,0.007610250714263813,1000,-0.0006990459684968866,0.9080919080919081
