genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005754912635729825,0.006323395391312651,1000,-0.0005684827555828258,0.41058941058941056
Danklied des Einzelnen,0.06663704974331193,0.06805641455718942,1000,-0.0014193648138774856,0.916083916083916
Fluch,0.006029981989609627,0.006460992567497797,1000,-0.0004310105778881695,0.7742257742257742
Hymnus,0.16596393126466327,0.167201200862589,1000,-0.001237269597925722,0.922077922077922
Klagelied des Einzelnen,0.1399092660037709,0.1421424612525517,1000,-0.002233195248780795,0.954045954045954
Klagelied des Volkes,0.037707455012117794,0.03755797290393273,1000,0.00014948210818506447,0.3786213786213786
Königspsalm,0.029965937013108016,0.028724263307167857,1000,0.0012416737059401592,0.07192807192807193
Legende,0.039389808946136896,0.02428722488566766,1000,0.015102584060469236,0.09290709290709291
Liturgie,0.02328067156050287,0.02241734877011009,1000,0.0008633227903927787,0.20279720279720279
Mischgedicht,0.013407434487457851,0.01309650447903949,1000,0.0003109300084183607,0.33766233766233766
Segensspruch,0.02482355239221823,0.024194505919731647,1000,0.0006290464724865823,0.16383616383616384
Segenswunsch,0.010871903196212835,0.011247461305165053,1000,-0.00037555810895221857,0.6693306693306693
Siegeslied,0.007648962009836041,0.009706204940120741,1000,-0.0020572429302847,0.968031968031968
Thronbesteigungslied,0.03573620999623629,0.040010112606548846,1000,-0.0042739026103125535,0.7152847152847153
Tora,1.0,0.996,1000,0.0040000000000000036,0.9920079920079921
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03039457597233813,0.02995588324937547,1000,0.00043869272296265943,0.17682317682317683
Zionslied,0.010579594054696946,0.012716965576639065,1000,-0.0021373715219421188,0.8211788211788211
prophetische Gerichtsrede,0.0012062726176115801,0.0012165368217347623,1000,-1.0264204123182179e-05,0.6263736263736264
prophetische Redeweise,0.01909438006203685,0.02211398757957192,1000,-0.003019607517535071,0.5904095904095904
"prophetische Schelt-, Droh- und Mahnrede",0.02032151719174629,0.026491600981427447,1000,-0.006170083789681157,0.7242757242757243
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.018310522199116934,0.018946396824896464,1000,-0.0006358746257795304,0.5294705294705294
