genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0023712669266201807,0.002554432061662742,1000,-0.00018316513504256123,0.6863136863136863
Danklied des Einzelnen,0.06467339317905871,0.0650918972577014,1000,-0.0004185040786426897,0.5964035964035964
Fluch,0.004087597010886349,0.003979453080131903,1000,0.00010814393075444639,0.28771228771228774
Hymnus,0.18301235278860062,0.18597730206966084,1000,-0.002964949281060225,0.8591408591408591
Klagelied des Einzelnen,0.14830612848052138,0.14429952159473744,1000,0.004006606885783942,0.08691308691308691
Klagelied des Volkes,0.030046027919063276,0.027454526393570544,1000,0.002591501525492732,0.001998001998001998
Königspsalm,0.021122264523678293,0.02066010441611284,1000,0.0004621601075654527,0.17382617382617382
Legende,0.020284804705076143,0.040641475241207745,1000,-0.0203566705361316,0.7132867132867133
Liturgie,0.014786320969136166,0.014424499545201346,1000,0.00036182142393481956,0.24175824175824176
Mischgedicht,0.008327754916069099,0.008441145914698332,1000,-0.0001133909986292328,0.4435564435564436
Segensspruch,0.018574288241612835,0.01812083983465265,1000,0.00045344840696018643,0.17282717282717283
Segenswunsch,0.006623365125298343,0.006318872012727189,1000,0.0003044931125711541,0.12887112887112886
Siegeslied,0.0058396055733362165,0.0043614472870297585,1000,0.001478158286306458,0.0919080919080919
Thronbesteigungslied,0.019123717804668695,0.019830090723053324,1000,-0.000706372918384629,0.45554445554445555
Tora,1.0,0.9968944444444444,1000,0.0031055555555555836,0.986013986013986
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02971603782700619,0.02964712624381706,1000,6.89115831891303e-05,0.45854145854145856
Zionslied,0.011155898106515412,0.009885919982637279,1000,0.0012699781238781332,0.22377622377622378
prophetische Gerichtsrede,0.002457002457002457,0.003194341182869553,1000,-0.0007373387258670962,0.5374625374625375
prophetische Redeweise,0.01407924803442008,0.01605084512820994,1000,-0.00197159709378986,0.6893106893106893
"prophetische Schelt-, Droh- und Mahnrede",0.014486706976744477,0.013302114912276987,1000,0.0011845920644674903,0.24175824175824176
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01287450064950596,0.010478235807745054,1000,0.002396264841760906,0.054945054945054944
