genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0037604774085519877,0.004518533532344671,1000,-0.0007580561237926831,0.7652347652347652
Danklied des Einzelnen,0.05347001013743563,0.05417450121064607,1000,-0.0007044910732104392,0.7452547452547452
Fluch,0.010695063960146552,0.006053973719624991,1000,0.004641090240521561,0.053946053946053944
Hymnus,0.14592021706742336,0.14360246463598822,1000,0.002317752431435144,0.028971028971028972
Klagelied des Einzelnen,0.16052026892522692,0.15890944854452885,1000,0.0016108203806980692,0.33466533466533466
Klagelied des Volkes,0.036081198500530175,0.03526846845731839,1000,0.0008127300432117859,0.2597402597402597
Königspsalm,0.024475660825134624,0.025019743584955522,1000,-0.0005440827598208985,0.7032967032967034
Legende,0.017974012325037023,0.09197407111783494,1000,-0.07400005879279792,0.9150849150849151
Liturgie,0.0293335192737445,0.03326266555683248,1000,-0.003929146283087978,0.9330669330669331
Mischgedicht,0.01920939589493697,0.019769495873620792,1000,-0.0005600999786838229,0.5004995004995005
Segensspruch,0.01664260426552475,0.016407493056261335,1000,0.00023511120926341528,0.2017982017982018
Segenswunsch,0.006643616193544984,0.007009436909888439,1000,-0.00036582071634345525,0.6603396603396603
Siegeslied,0.003233346277249827,0.0031529296209007805,1000,8.041665634904655e-05,0.22577422577422576
Thronbesteigungslied,0.012319321156500794,0.013726352332653157,1000,-0.001407031176152363,0.5634365634365635
Tora,0.0017206936027849883,0.00210013178766319,1000,-0.0003794381848782019,0.919080919080919
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030876626382801614,0.02888808772593075,1000,0.0019885386568708648,0.017982017982017984
Zionslied,0.01404085239787454,0.01666026498730601,1000,-0.0026194125894314687,0.4835164835164835
prophetische Gerichtsrede,0.0037735849056603774,0.006997765492118241,1000,-0.0032241805864578633,0.8921078921078921
prophetische Redeweise,0.01116077395521142,0.011051184925644858,1000,0.00010958902956656122,0.33266733266733267
"prophetische Schelt-, Droh- und Mahnrede",0.0063333478432072345,0.006257388251746794,1000,7.59595914604401e-05,0.35264735264735264
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007229737489586557,0.008047116166720799,1000,-0.0008173786771342416,0.7362637362637363
