genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0033624859023044457,0.0034486457840503604,1000,-8.615988174591471e-05,0.6343656343656343
Danklied des Einzelnen,0.0729924527457063,0.07264814357923942,1000,0.0003443091664668829,0.4175824175824176
Fluch,0.0058872531531929785,0.006368289298783732,1000,-0.00048103614559075365,0.7692307692307693
Hymnus,0.16312168281967981,0.16391397895201595,1000,-0.0007922961323361399,0.7772227772227772
Klagelied des Einzelnen,0.13951492937918566,0.1428274124360669,1000,-0.003312483056881227,0.9210789210789211
Klagelied des Volkes,0.040030341938356556,0.04048029908460829,1000,-0.0004499571462517338,0.6413586413586414
Königspsalm,0.026142357464448672,0.025884397692754794,1000,0.0002579597716938775,0.37462537462537465
Legende,0.053183465155296136,0.04958633256008475,1000,0.003597132595211383,0.3936063936063936
Liturgie,0.026119363120004697,0.0254852714397593,1000,0.000634091680245398,0.27972027972027974
Mischgedicht,0.011025825758631333,0.01208690284121138,1000,-0.0010610770825800475,0.8921078921078921
Segensspruch,0.026091275386935866,0.026019887045805882,1000,7.138834112998399e-05,0.43956043956043955
Segenswunsch,0.01081069469421772,0.010429490833708439,1000,0.000381203860509282,0.2517482517482518
Siegeslied,0.008359576252657909,0.00892025674364787,1000,-0.0005606804909899614,0.7022977022977023
Thronbesteigungslied,0.04554480656570294,0.049808285194796124,1000,-0.004263478629093181,0.5044955044955045
Tora,0.5,0.6060944444444444,1000,-0.10609444444444438,0.983016983016983
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.03420603722844682,0.03193667228120785,1000,0.0022693649472389707,0.024975024975024976
Zionslied,0.014454923016073247,0.01614686576157354,1000,-0.0016919427455002935,0.8151848151848152
prophetische Gerichtsrede,0.0015337423312883436,0.0014146834499868227,1000,0.00011905888130152092,0.26573426573426573
prophetische Redeweise,0.023245851176566936,0.027401421304674194,1000,-0.004155570128107258,0.6723276723276723
"prophetische Schelt-, Droh- und Mahnrede",0.02958976898994526,0.029278761913182887,1000,0.0003110070767623728,0.3066933066933067
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.016005336886025623,0.01830627575301396,1000,-0.0023009388669883377,0.6103896103896104
