genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.003752583938112066,0.0035680287632701806,1000,0.00018455517484188564,0.14385614385614387
Danklied des Einzelnen,0.07381641368282126,0.07424772456259819,1000,-0.00043131087977693605,0.6523476523476524
Fluch,0.006133826381823726,0.006441576978114581,1000,-0.0003077505962908551,0.7402597402597403
Hymnus,0.16525796826278083,0.1650611291827651,1000,0.00019683908001572048,0.4175824175824176
Klagelied des Einzelnen,0.14047811206669586,0.1417955378129565,1000,-0.0013174257462606476,0.8481518481518482
Klagelied des Volkes,0.03978305244987912,0.04028115460928079,1000,-0.0004981021594016727,0.7472527472527473
Königspsalm,0.02633352705091057,0.025962114125341756,1000,0.0003714129255688141,0.27672327672327673
Legende,0.03552662171588003,0.042776759292886254,1000,-0.007250137577006224,0.5524475524475524
Liturgie,0.027190508383891886,0.026458869673222165,1000,0.0007316387106697207,0.1938061938061938
Mischgedicht,0.010917829392132459,0.01181101795425504,1000,-0.0008931885621225807,0.8901098901098901
Segensspruch,0.026486476615428446,0.025912451751357382,1000,0.0005740248640710641,0.18081918081918083
Segenswunsch,0.010799571210272248,0.010749188725753282,1000,5.038248451896647e-05,0.4325674325674326
Siegeslied,0.008137273856841154,0.008473996560604853,1000,-0.00033672270376369946,0.7062937062937062
Thronbesteigungslied,0.04418592131412828,0.04056320956741378,1000,0.0036227117467145034,0.22777222777222778
Tora,1.0,0.996,1000,0.0040000000000000036,0.9920079920079921
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.031000063472547464,0.031041410682523994,1000,-4.1347209976529825e-05,0.5404595404595405
Zionslied,0.013548277275684507,0.014980266075984598,1000,-0.0014319888003000904,0.8391608391608392
prophetische Gerichtsrede,0.0015151515151515152,0.0015039576718697892,1000,1.1193843281725969e-05,0.5484515484515484
prophetische Redeweise,0.03742474500098159,0.025755568754090522,1000,0.01166917624689107,0.02097902097902098
"prophetische Schelt-, Droh- und Mahnrede",0.029192459025058855,0.03333351864139729,1000,-0.004141059616338434,0.6233766233766234
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.018699511897896166,0.01702070548130624,1000,0.0016788064165899272,0.11988011988011989
