genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.005726999577963765,0.004135545250324196,1000,0.001591454327639569,0.04695304695304695
Danklied des Einzelnen,0.05140423634558107,0.050402826405502664,1000,0.0010014099400784057,0.0899100899100899
Fluch,0.004309054352274568,0.00581167389927551,1000,-0.0015026195470009421,0.8841158841158842
Hymnus,0.16009485419564423,0.15860806761750137,1000,0.0014867865781428569,0.14585414585414586
Klagelied des Einzelnen,0.1297433061240994,0.12749995135961076,1000,0.002243354764488642,0.17082917082917082
Klagelied des Volkes,0.03204739309493683,0.03196898289386726,1000,7.84102010695717e-05,0.43456543456543456
Königspsalm,0.025447851006855204,0.02628247571894983,1000,-0.0008346247120946254,0.8231768231768232
Legende,0.013271877607084669,0.02306344788477405,1000,-0.009791570277689381,0.8381618381618382
Liturgie,0.02299225842745858,0.025243468716279267,1000,-0.002251210288820686,0.9760239760239761
Mischgedicht,0.01865785096651224,0.016791289564387277,1000,0.001866561402124961,0.10789210789210789
Segensspruch,0.023405840869652285,0.02330521376266955,1000,0.00010062710698273414,0.3956043956043956
Segenswunsch,0.011122248280002309,0.00902913536334749,1000,0.002093112916654819,0.10789210789210789
Siegeslied,0.0032944038593114965,0.003378982465180549,1000,-8.45786058690525e-05,0.6583416583416584
Thronbesteigungslied,0.01898148442068929,0.013148457468559855,1000,0.005833026952129434,0.029970029970029972
Tora,0.0014704388230867083,0.0014775636573931261,1000,-7.124834306417851e-06,0.5704295704295704
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.034517704400869084,0.03603542828568483,1000,-0.001517723884815747,0.7612387612387612
Zionslied,0.01767517455934285,0.012485628973721434,1000,0.005189545585621418,0.04495504495504495
prophetische Gerichtsrede,0.005154639175257732,0.010099916224782853,1000,-0.004945277049525121,0.8051948051948052
prophetische Redeweise,0.011394461910486514,0.011961531149403128,1000,-0.0005670692389166138,0.8521478521478522
"prophetische Schelt-, Droh- und Mahnrede",0.00818057473540536,0.0080302926681216,1000,0.00015028206728376,0.35364635364635366
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.0062919077598330795,0.0069437493961744135,1000,-0.000651841636341334,0.7692307692307693
