genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0025063834336364037,0.0023751654201165577,1000,0.00013121801351984605,0.21878121878121878
Danklied des Einzelnen,0.061724417094793926,0.0631915485813488,1000,-0.0014671314865548762,0.8431568431568431
Fluch,0.006265849602372715,0.00589407795122931,1000,0.00037177165114340473,0.2857142857142857
Hymnus,0.17847417603504023,0.17839784062778605,1000,7.633540725418553e-05,0.4775224775224775
Klagelied des Einzelnen,0.13919077068560556,0.13920027085935907,1000,-9.500173753507202e-06,0.4975024975024975
Klagelied des Volkes,0.030199699295477233,0.028927829197696358,1000,0.001271870097780875,0.11888111888111888
Königspsalm,0.02754304889561328,0.026666391819443736,1000,0.0008766570761695423,0.24375624375624375
Legende,0.13046398046398044,0.1385506626499934,1000,-0.008086682186012967,0.5644355644355644
Liturgie,0.01623063091072594,0.015532347525650572,1000,0.0006982833850753666,0.1878121878121878
Mischgedicht,0.007552290978931241,0.007749410406121438,1000,-0.00019711942719019635,0.7372627372627373
Segensspruch,0.02229246338838891,0.022052832807858868,1000,0.0002396305805300418,0.3826173826173826
Segenswunsch,0.010051469626041549,0.010287117316653447,1000,-0.00023564769061189782,0.5224775224775224
Siegeslied,0.005615409782850067,0.005566044657836477,1000,4.936512501358976e-05,0.3626373626373626
Thronbesteigungslied,0.024403680982032723,0.02734423334820648,1000,-0.002940552366173757,0.4385614385614386
Tora,0.9166666666666666,0.9545555555555554,1000,-0.03788888888888875,0.8741258741258742
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028915878057494536,0.028500664049210967,1000,0.00041521400828356883,0.26673326673326675
Zionslied,0.015113097139912246,0.014168893310433283,1000,0.0009442038294789623,0.3336663336663337
prophetische Gerichtsrede,0.002785515320334262,0.0024686679982218944,1000,0.00031684732211236747,0.2807192807192807
prophetische Redeweise,0.01621735584315733,0.01438230027346298,1000,0.001835055569694351,0.15584415584415584
"prophetische Schelt-, Droh- und Mahnrede",0.021250571786476387,0.020320233533910985,1000,0.0009303382525654019,0.3706293706293706
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.01502953878415187,0.013268195082246718,1000,0.0017613437019051523,0.14885114885114886
