model,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
alephbert_consonantal,0.14405637298604226,0.15541862768754322,0.12616515309443116,0.19201100779438215,0.1277942835893758,0.19407958278402912,-0.027665434983118173,-0.16847831188994658,0.05714804791441476,-0.10062460332247153,0.11629171961682111,0.4915451036785634,0.4519562352381004,0.5174734874025108,0.4709477318568169,0.5356243679912782,1000,150
berel_consonantal,0.14405637298604226,0.1664504610225914,0.13511011257438257,0.20136000530371934,0.137595697755657,0.2066524661542174,0.016503203845404362,-0.12146870922289178,0.129722051215274,-0.06581235256745985,0.18372885833699348,0.506272643890701,0.4660396068953897,0.5392366457846496,0.48250475541243604,0.5566484819626883,1000,150
bge_m3_cantillation,0.14405637298604226,0.14653016073673814,0.12008986596305457,0.17837174677119608,0.12176895417764734,0.18188526097230429,-0.0891431990384437,-0.24434257239395854,0.027633096951994104,-0.1784182526448163,0.07749130392402706,0.47824412180971076,0.43476805492790166,0.5081732627279105,0.45550874243375084,0.5249190031146194,1000,150
bge_m3_consonantal,0.14405637298604226,0.15214104884285212,0.12353806687478139,0.18517759846184775,0.12539403447968925,0.19014997390799068,-0.027508340412077205,-0.17777030372501496,0.06621314806511376,-0.1048850907028649,0.1212984530465655,0.49221913503689135,0.4480824181334173,0.5188583097226138,0.47046957900633746,0.5372331462124027,1000,150
bge_m3_vocalized,0.14405637298604226,0.15051700726083894,0.12266211389241388,0.185699942051255,0.12383421847401097,0.1873262381735929,-0.05151495981844587,-0.1954940215750138,0.05449389726041236,-0.13667047356919504,0.10671530254656547,0.48647271985017043,0.4444066712419611,0.5145380572074054,0.46486643901293373,0.5299730566955524,1000,150
bge_multilingual_gemma2_cantillation,0.14405637298604226,0.16361473515044223,0.13314556015813572,0.1958931920619694,0.1352509303343954,0.2016877659207516,0.017089531747551186,-0.12384102079813149,0.14381874175986975,-0.0752248304420896,0.19320388527946297,0.5079341651826287,0.46583424633836407,0.5440811248961197,0.4817190293195091,0.5604427279919515,1000,150
bge_multilingual_gemma2_consonantal,0.14405637298604226,0.1501997477448858,0.12203478852583814,0.1787541699236909,0.12587688702917002,0.1843607928412564,-0.049456852949689156,-0.19357024749392718,0.09124310724701899,-0.14933136331855823,0.13171370435086113,0.48997879224506413,0.4500362352718115,0.5260501002469546,0.46483607273914934,0.5410157010173507,1000,150
bge_multilingual_gemma2_vocalized,0.14405637298604226,0.16210077151312502,0.13144835704351435,0.19292692064146819,0.13427230726988887,0.19987027172990696,0.013866132190547557,-0.12386380079028476,0.13892159620617756,-0.07532482836580473,0.18758451153372774,0.5068136755087974,0.4651561333342918,0.5421554668160873,0.48235177953012465,0.5581387140097862,1000,150
cohere_embed_v4_cantillation,0.14405637298604226,0.14377469470534582,0.11849694394876761,0.1742196646236718,0.11962007002059556,0.1771499634704445,-0.09005587481471189,-0.23658770935843076,0.04288188830153876,-0.19037014566838148,0.09457065113207495,0.4774008387944509,0.43576090175419535,0.512473212564949,0.4519752966176109,0.5289163681592802,1000,150
cohere_embed_v4_consonantal,0.14405637298604226,0.14881043766064667,0.1215470225310338,0.18161467030594428,0.12370280050811952,0.18544272005235318,-0.036209621712530074,-0.17015451004356633,0.06666582838804504,-0.11581162471620242,0.12432199132964103,0.48986349189238965,0.45006180176015415,0.5195375604908582,0.46769802476082173,0.5368971451188715,1000,150
