model,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
clause_kind_1_2_3gram,0.14405637298604226,0.13958541964759025,0.11391749453462008,0.1961326775840081,0.11020391583618062,0.17904132398912392,-0.12471086758187634,-0.27828597342942324,-0.006223397637224549,-0.22705810153997869,0.055571733992526885,0.47404675493451587,0.4386918059271222,0.5001416964830455,0.4520594119565243,0.5156743863062673,1000,150
clause_kind_1_2_3gram_psalm,0.14405637298604226,0.17344480213375663,0.12826950647670193,0.27297544213571645,0.11753382541224748,0.23671406013417018,0.1382208481532473,-0.006020268350191713,0.3941570760540787,-0.05402398171354434,0.3101057031641754,0.5414827468257071,0.49986925398824056,0.6101927679766437,0.4845215506120266,0.5921425091625034,1000,150
clause_kind_1_2gram,0.14405637298604226,0.13964595041248382,0.11402826530344776,0.19538724726704926,0.109626554763061,0.1787695830209131,-0.12104540156936425,-0.27642178882472146,-0.007598312093599071,-0.22032861290500738,0.05149869171000825,0.4736715122828762,0.43877905498307607,0.49891307463896134,0.4521789042203399,0.5148067181642878,1000,150
clause_kind_1_2gram_psalm,0.14405637298604226,0.17565500357904829,0.13045116962919182,0.27189186856364617,0.11801072295442473,0.23667688209762716,0.09405443484247998,-0.02035314687470058,0.27107175994637844,-0.05446232492424631,0.21433655964252055,0.5402951824012957,0.5060408343069808,0.606238608076972,0.49263444544878787,0.5869783179439296,1000,150
clause_kind_1gram,0.14405637298604226,0.1440269993429329,0.11741449251844438,0.19501800646846598,0.11291754346453159,0.1796306077693937,-0.10652475972299612,-0.2528123411205665,0.007891505738513835,-0.20670627176024017,0.06222380684527286,0.48239990422074797,0.45314950475127086,0.5083718275278377,0.46042424512589936,0.5177461352317234,1000,150
clause_kind_1gram_psalm,0.14405637298604226,0.16748161402732337,0.12748265172484993,0.266840834032258,0.11641236049572788,0.23227984836520188,0.06050358966264987,-0.05929179413726354,0.19465459599991913,-0.07219731184759196,0.18180091817433255,0.5309962134548334,0.49705085712068947,0.5889970314707366,0.4926491671700243,0.5771923113327767,1000,150
clause_marginal_typ_rela,0.14405637298604226,0.1497821367118524,0.12221164567822634,0.20089380988620958,0.11891069191373303,0.18983158586994645,0.03267627964466424,-0.09487448731329469,0.1111540705169581,-0.04919624792228154,0.1488742825191673,0.5019421196833569,0.4631397104508671,0.5237508192250179,0.4790244553035366,0.5358781212278292,1000,150
clause_marginal_typ_rela_psalm,0.14405637298604226,0.17771747727828274,0.13433859953211677,0.2743668094435456,0.12132867707478609,0.23941590010698838,0.14126793105431498,0.010445992019460159,0.35436837932307647,-0.01574303309930684,0.3095718410213078,0.5566520782398261,0.5183255284221985,0.6145747580407221,0.5117114072893978,0.6026361601223604,1000,150
clause_mother_edge_distance,0.14405637298604226,0.13804754552713774,0.11399314174719988,0.19296914536935278,0.10947271911739036,0.17850061539614961,-0.118817129334667,-0.24598050161008944,-0.00551124732085321,-0.20083848171340693,0.05249567400635523,0.47449361341797786,0.4421386667333803,0.49749757407262074,0.45557568675119364,0.5165182789180593,1000,150
clause_mother_edge_distance_psalm,0.14405637298604226,0.15812743068875906,0.12261391001084083,0.26373448106326103,0.11488797429884086,0.224900940988888,-0.04800498206822181,-0.23565233339954997,0.07051741987992703,-0.18860441755221224,0.10307091459277565,0.49786301357864193,0.4641277538954354,0.5421547042890615,0.47031063086445796,0.5531892770955433,1000,150
clause_rela_1_2_3gram,0.14405637298604226,0.15086609435635984,0.12065199107603433,0.225516715330485,0.11489905798395135,0.1989577329115457,0.05607350706210236,-0.043887595648542214,0.133475973977973,-0.016427824015524974,0.1561707280295293,0.5128851357833705,0.4828338051198666,0.5340826067877308,0.49021042769603085,0.5411653820056022,1000,150
clause_rela_1_2_3gram_psalm,0.14405637298604226,0.17298549211077216,0.12998729120688549,0.26915417303749584,0.12138830045677433,0.23576634899396284,0.2041517909146211,0.08725590388353055,0.3767248747122125,0.050886890949360754,0.3446069511083551,0.5581040117696773,0.5219594002335047,0.6136378849746977,0.5123720987700217,0.6031958505523377,1000,150
clause_rela_1_2gram,0.14405637298604226,0.15138843221383516,0.12153914574055356,0.227512315770333,0.11453040558101936,0.19973911339773565,0.0703486407672167,-0.023947123720419187,0.15130459080082023,-0.006805210108379323,0.16935095771959718,0.5144699737557229,0.48473662636458964,0.5360000391113166,0.49144612697702933,0.5426545698465516,1000,150
clause_rela_1_2gram_psalm,0.14405637298604226,0.17534602626947848,0.13068805215823248,0.2699389175515195,0.1203370687532629,0.2374729848952502,0.22588574678559387,0.09997030827487775,0.4442063236708385,0.0826683131859574,0.39793963759840645,0.55577458849617,0.5221226706871616,0.6107657380057705,0.5127580678214894,0.5992629410486421,1000,150
clause_rela_1gram,0.14405637298604226,0.15984433800008807,0.12367275848611957,0.25105042596003796,0.1136688825346282,0.21403208989476064,0.09257336784144797,-0.004557045481763294,0.19820921290945367,-0.01189705312534486,0.1893822032729783,0.5252120162246506,0.4967794360835861,0.5765671560204189,0.4874299878905896,0.5635763233287525,1000,150
clause_rela_1gram_psalm,0.14405637298604226,0.1698892623320407,0.128854214160457,0.2678611146578503,0.11995038238537956,0.23369033805384073,0.06191950699025198,-0.02836585542701106,0.1657499586215658,-0.026360475840111888,0.17150736833034796,0.536575936821925,0.5049474432923652,0.5744354682991574,0.5069130491218864,0.5790960834989669,1000,150
clause_signature_1_2_3gram,0.14405637298604226,0.151037811598558,0.12549059977692062,0.2044601537914606,0.1211513725471462,0.19163039540028606,0.02799224071372379,-0.056151744249611536,0.08646587411741771,-0.020966517574695004,0.13185023030250098,0.4999013561229244,0.4737379225461317,0.5185216520863806,0.48384306588324055,0.5324421060954807,1000,150
clause_signature_1_2_3gram_psalm,0.14405637298604226,0.1813649502586823,0.13497075813738799,0.2856973966156824,0.12366564989354856,0.24652072307490525,0.2323588727835193,0.06430275392610002,1.0151807892504754,0.04597374699707977,0.7457794875098015,0.56788463215343,0.5305935918370479,0.6309035321027802,0.5139336296356748,0.6139227732767478,1000,150
clause_signature_1_2gram,0.14405637298604226,0.15135008205783643,0.1260194441540842,0.2051825557388091,0.12152294463287956,0.19167387790539916,0.030210879720375325,-0.05082756725763387,0.08836226640859189,-0.01953658960541142,0.13474683419700856,0.5008990286808949,0.4754724067060564,0.5192109145447786,0.4845004256549035,0.5329220789798058,1000,150
clause_signature_1_2gram_psalm,0.14405637298604226,0.18525145621652161,0.14150957040886974,0.28119817088525817,0.1307095069790211,0.2468351251946243,0.27758459243272227,0.12347473425556216,0.8433524926646866,0.08600473537587372,0.6610086618020854,0.571597016708759,0.5345432728685012,0.6328261716510905,0.5216236119249923,0.6179676197858264,1000,150
clause_signature_1gram,0.14405637298604226,0.15213592280092111,0.1262128587499107,0.20705914953162183,0.12163819763284645,0.19256015019324446,0.031569351954790575,-0.053567933342945066,0.08557447029317768,-0.02081101530930233,0.131130272047623,0.502496157172654,0.4787279095753384,0.5210644202209699,0.4860415911379009,0.533289480330181,1000,150
clause_signature_1gram_psalm,0.14405637298604226,0.17635586785408952,0.1373313840937986,0.2778096111529147,0.1259171676967594,0.23901195862032687,0.19767339538423506,0.06034430086088978,0.5247201415867592,0.03368525468775721,0.46023685092640526,0.5523132810756168,0.5149589714184342,0.6082708425075638,0.5119516977084602,0.6028591660220909,1000,150
clause_tab_1gram,0.14405637298604226,0.1377931833917792,0.11322502467072369,0.18843787969175338,0.10842786220543407,0.17474071332119498,-0.09603964667566879,-0.1712748218299198,-0.03964397119928213,-0.14911540537736823,-0.019517360693408668,0.47198557373221744,0.44938465206807293,0.4881815673774317,0.45709250067237145,0.49377975175461425,1000,150
clause_tab_1gram_psalm,0.14405637298604226,0.15808266909565713,0.11881707030594602,0.2640206503810524,0.10990432796861836,0.2252697018664552,-0.045010934630416846,-0.13126286613899063,0.09352691268920267,-0.13621764385468338,0.08331130725224505,0.49563992318263655,0.472611642151799,0.568501434129502,0.4695747967527901,0.5478937774046069,1000,150
clause_tab_transition_psalm,0.14405637298604226,0.16537114227909933,0.1303326588068198,0.2654747888671555,0.12326710854010606,0.23042196402750675,0.08241998714708997,-0.02827688018748611,0.21916933438159814,-0.025462583674384833,0.22586531353883668,0.5240845760046673,0.4921632408756421,0.5648993811900405,0.4963851601225384,0.5737455952641134,1000,150
clause_tree_summary_psalm,0.14405637298604226,0.16661113694302865,0.13094316726135838,0.26061364053892017,0.12085451303012297,0.23139744191408,-0.020250540027629802,-0.1622696173829696,0.06830916747013564,-0.12224543720404192,0.10568298198585589,0.515824362632752,0.480316879388433,0.5390462914204199,0.49552321885362144,0.5672960261278014,1000,150
clause_typ_1_2_3gram,0.14405637298604226,0.14978337292166033,0.12429074898720112,0.20500901455968915,0.11880725155101873,0.19143355543581667,0.0006746766454225252,-0.0880872454017611,0.06262905099825233,-0.0575747492741929,0.10886706447057745,0.4927885309311874,0.4649552840028372,0.5130118016320829,0.47450100911806853,0.5258429600724595,1000,150
clause_typ_1_2_3gram_psalm,0.14405637298604226,0.18320490502797906,0.13580363346301774,0.28538908162005805,0.12377758656700302,0.24879601900786508,0.26068871767722573,0.083058184478357,0.9649515995135802,0.0525583319508371,0.72431671717995,0.5637681806833812,0.5239226870948548,0.6267194535036541,0.5109583387273896,0.6114616883806983,1000,150
clause_typ_1_2gram,0.14405637298604226,0.15036894258370945,0.12473216663294844,0.20288981140941326,0.1199374856934075,0.19095556551962686,0.003977386067573158,-0.08418338151818375,0.06528611462023229,-0.052529062590752906,0.11100019685561338,0.4942829259943511,0.4672070546872875,0.5148115294256582,0.4764682492439304,0.5272850854347566,1000,150
clause_typ_1_2gram_psalm,0.14405637298604226,0.18676905050781428,0.1419176604558869,0.27979865028486395,0.12926111480847544,0.24656012865912402,0.26004707911100894,0.10526586537257948,0.7370480543934735,0.06331633484730206,0.5903411141800488,0.5679530914026382,0.5296803075357049,0.6300058065868592,0.5157998159098973,0.6176718339812758,1000,150
clause_typ_1gram,0.14405637298604226,0.15075472147214297,0.12491260093952604,0.20446943215335217,0.12107220006414417,0.19023863238370323,0.0025760647751870225,-0.07986885288148173,0.06128072156227462,-0.05390949523388008,0.10535446492557,0.4958659865196418,0.47062786042345656,0.5149983030269741,0.47922228781450105,0.5275506788470611,1000,150
clause_typ_1gram_psalm,0.14405637298604226,0.1763759152028755,0.1356557445732583,0.2787652563073371,0.12382454348235553,0.23978698935206202,0.16368691258487889,0.02636867189839722,0.4431544397853165,0.011192645343490642,0.3882435220256337,0.5465569522434005,0.5092199428870121,0.6055801955765313,0.5056828552345196,0.5984982908680463,1000,150
phrase_complexity_core,0.14405637298604226,0.14305447198929638,0.11668405584122388,0.19321018008572788,0.11258297217337146,0.17912171931317278,-0.08638432516699451,-0.2219820762485854,0.018850172508438876,-0.1863818810392952,0.0583564278593065,0.485987506918048,0.45894604989245485,0.5094240050308954,0.46422216088622376,0.5211249413880029,1000,150
phrase_complexity_core_psalm,0.14405637298604226,0.16892240377869006,0.12838192685800456,0.2740761368152559,0.11961576316686501,0.2355524704796393,-0.007335377638176779,-0.15329693915008658,0.10674656969308333,-0.16388255240333988,0.10332526315174156,0.5317046755531055,0.5018331691268924,0.5994609848305038,0.49422188608076545,0.5807569443969318,1000,150
phrase_det_1_2_3gram,0.14405637298604226,0.1445995294980253,0.12062046178570157,0.18677039466896755,0.11768097294567104,0.18097219397888867,-0.046244367774664175,-0.1839996549351957,0.057768986639984955,-0.13208073733060152,0.09268660847396001,0.4886887421249019,0.4535339183415768,0.5175629677880829,0.4658406497953192,0.5290458488116652,1000,150
phrase_det_1_2_3gram_psalm,0.14405637298604226,0.18225860721808362,0.13592635184610827,0.278683232593175,0.12189144921678202,0.24572779549895754,0.12013575516226063,-0.011475732056796048,0.34596204470573944,-0.052416066987861804,0.29695924381172784,0.5464877306123495,0.5074647804336061,0.6164480398564831,0.4970924464181478,0.5993354272229184,1000,150
phrase_det_1_2gram,0.14405637298604226,0.14633315620148868,0.1220018995175287,0.19663452848781324,0.11746450464646817,0.18572718980479752,-0.014948987947974689,-0.13671994974118618,0.08059783615636346,-0.09873718631704154,0.11972320131914077,0.4983308022902469,0.46689952895574865,0.5236251232420414,0.477777397884281,0.536770082104658,1000,150
