genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0026155289070860068,0.0026313688233246283,1000,-1.5839916238621563e-05,0.8101898101898102
Danklied des Einzelnen,0.05383772997098673,0.05381675956711558,1000,2.097040387114696e-05,0.3916083916083916
Fluch,0.004045854175263814,0.004003104664174438,1000,4.2749511089375594e-05,0.04995004995004995
Hymnus,0.15597105089899682,0.15589065395875754,1000,8.039694023928567e-05,0.2827172827172827
Klagelied des Einzelnen,0.13672698517851092,0.13686075540213263,1000,-0.00013377022362170976,0.6683316683316683
Klagelied des Volkes,0.0319493633095725,0.03164365153832629,1000,0.0003057117712462129,0.022977022977022976
Königspsalm,0.026904729283236783,0.02675222349283668,1000,0.0001525057904001037,0.11788211788211789
Legende,0.146031746031746,0.14973409884056396,1000,-0.003702352808817949,0.6483516483516484
Liturgie,0.022206999556371204,0.021918826831058204,1000,0.00028817272531300037,0.11488511488511488
Mischgedicht,0.01805047666110545,0.019905194229155022,1000,-0.0018547175680495714,0.9920079920079921
Segensspruch,0.018023396665390413,0.016553846876263347,1000,0.0014695497891270663,0.000999000999000999
Segenswunsch,0.008341038927264439,0.008323906310100054,1000,1.7132617164385133e-05,0.00999000999000999
Siegeslied,0.008623094945731212,0.008609884254880604,1000,1.3210690850607235e-05,0.03396603396603397
Thronbesteigungslied,0.011379716850217915,0.011400048287228572,1000,-2.0331437010656997e-05,0.5854145854145855
Tora,0.00262329663624162,0.0026070928494090415,1000,1.6203786832578483e-05,0.004995004995004995
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.026810861910362287,0.026849777179303452,1000,-3.8915268941164954e-05,0.6123876123876124
Zionslied,0.00767770887466604,0.008637269099133201,1000,-0.0009595602244671609,0.9460539460539461
prophetische Gerichtsrede,0.00980392156862745,0.00869802936447968,1000,0.0011058922041477705,0.08791208791208792
prophetische Redeweise,0.013097143572394589,0.012972764436574951,1000,0.00012437913581963764,0.03496503496503497
"prophetische Schelt-, Droh- und Mahnrede",0.006089497293788587,0.006076908736879803,1000,1.2588556908784722e-05,0.5594405594405595
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008273242723916073,0.008265182742335217,1000,8.059981580856024e-06,0.4835164835164835
