genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0029291009711630202,0.0030579488245191786,1000,-0.00012884785335615838,0.8061938061938062
Danklied des Einzelnen,0.0619780354224729,0.06265586572600321,1000,-0.0006778303035303093,0.7692307692307693
Fluch,0.004816956629554922,0.0047303003597681205,1000,8.665626978680147e-05,0.43156843156843155
Hymnus,0.17919841532356043,0.18009772902994603,1000,-0.0008993137063856016,0.8481518481518482
Klagelied des Einzelnen,0.1521278308216537,0.15250812929781096,1000,-0.00038029847615725365,0.5754245754245755
Klagelied des Volkes,0.033202469323629254,0.0331835002460152,1000,1.8969077614054697e-05,0.5204795204795205
Königspsalm,0.02598094994626219,0.026031362747395575,1000,-5.0412801133385005e-05,0.5464535464535465
Legende,0.01921912076535924,0.022087450339127523,1000,-0.002868329573768282,0.9920079920079921
Liturgie,0.01574877344677635,0.017376851266692705,1000,-0.0016280778199163556,0.994005994005994
Mischgedicht,0.008891200637575357,0.008560705373824874,1000,0.00033049526375048335,0.15684315684315683
Segensspruch,0.01692018587658592,0.017226187661055135,1000,-0.00030600178446921547,0.991008991008991
Segenswunsch,0.007185494298328371,0.007667155405223088,1000,-0.0004816611068947166,0.9630369630369631
Siegeslied,0.004141101625760458,0.003985325714615475,1000,0.00015577591114498274,0.1108891108891109
Thronbesteigungslied,0.014692141100964048,0.038014743322831064,1000,-0.023322602221867016,0.9460539460539461
Tora,0.5,0.9825,1000,-0.48250000000000004,1.0
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028014749033176155,0.02857552556836465,1000,-0.0005607765351884966,0.998001998001998
Zionslied,0.01180869564063985,0.01117351286480195,1000,0.0006351827758378989,0.016983016983016984
prophetische Gerichtsrede,0.0027548209366391185,0.0027260592642870986,1000,2.8761672352019957e-05,0.38961038961038963
prophetische Redeweise,0.01065157181966778,0.018934898308467094,1000,-0.008283326488799314,0.6183816183816184
"prophetische Schelt-, Droh- und Mahnrede",0.01815143540027786,0.01758700729772788,1000,0.0005644281025499812,0.33766233766233766
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.025549016808167645,0.027542397281201753,1000,-0.001993380473034108,0.922077922077922
