genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0027535512080908136,0.0027342456437654318,1000,1.930556432538184e-05,0.42657342657342656
Danklied des Einzelnen,0.06926833376750907,0.0685087640035599,1000,0.0007595697639491694,0.10589410589410589
Fluch,0.0038498757589412493,0.0038142766804241707,1000,3.559907851707856e-05,0.3516483516483517
Hymnus,0.1809024650217581,0.1814887173539696,1000,-0.0005862523322114899,0.7972027972027972
Klagelied des Einzelnen,0.1540680311407756,0.15500394730337586,1000,-0.0009359161626002477,0.7742257742257742
Klagelied des Volkes,0.03017733780926734,0.030299101743414276,1000,-0.00012176393414693731,0.5914085914085914
Königspsalm,0.02521068338421882,0.024303275329152853,1000,0.0009074080550659676,0.012987012987012988
Legende,0.1008044243338361,0.10107062610592026,1000,-0.0002662017720841542,0.9790209790209791
Liturgie,0.014069761673355915,0.013953953637097605,1000,0.00011580803625830909,0.3256743256743257
Mischgedicht,0.009622171421623171,0.008806164775739088,1000,0.0008160066458840834,0.007992007992007992
Segensspruch,0.01756270429551991,0.017758451806306093,1000,-0.00019574751078618377,0.9070929070929071
Segenswunsch,0.006240951703365173,0.006521282687980309,1000,-0.0002803309846151356,0.961038961038961
Siegeslied,0.010551635569030948,0.009217410532092202,1000,0.0013342250369387451,0.17582417582417584
Thronbesteigungslied,0.02405591844844886,0.02623830280064165,1000,-0.002182384352192788,0.38961038961038963
Tora,0.5,0.7455,1000,-0.24550000000000005,1.0
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.026950250141442623,0.027242554283529292,1000,-0.000292304142086669,0.8721278721278721
Zionslied,0.02367739104394561,0.023261973183175754,1000,0.00041541786076985596,0.33966033966033965
prophetische Gerichtsrede,0.002777777777777778,0.0033772959293479716,1000,-0.0005995181515701937,0.4485514485514486
prophetische Redeweise,0.012591216216613606,0.01335736153667728,1000,-0.0007661453200636745,0.3946053946053946
"prophetische Schelt-, Droh- und Mahnrede",0.021565800217771585,0.021122845925154586,1000,0.00044295429261699895,0.25074925074925075
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.016498650943845103,0.018971330418962217,1000,-0.0024726794751171143,0.8431568431568431
