genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004103913101484228,0.00437713135971326,1000,-0.0002732182582290323,0.6823176823176823
Danklied des Einzelnen,0.05930273106562528,0.05667632244625568,1000,0.002626408619369601,0.000999000999000999
Fluch,0.004654939090533408,0.00457485434330405,1000,8.008474722935848e-05,0.3026973026973027
Hymnus,0.14057629362020377,0.13948759608738936,1000,0.0010886975328144033,0.001998001998001998
Klagelied des Einzelnen,0.15286653805673484,0.15003720714510518,1000,0.0028293309116296517,0.000999000999000999
Klagelied des Volkes,0.037746955459167814,0.0372637238723818,1000,0.00048323158678601624,0.04795204795204795
Königspsalm,0.028166214678673147,0.024873697370152187,1000,0.0032925173085209605,0.011988011988011988
Legende,0.25326797385620914,0.23998440432303,1000,0.013283569533179135,0.33466533466533466
Liturgie,0.030423438897861112,0.03079823512467956,1000,-0.0003747962268184461,0.7052947052947053
Mischgedicht,0.03365534789827177,0.033417835198809386,1000,0.00023751269946238607,0.4255744255744256
Segensspruch,0.0175824268262311,0.016490488003720983,1000,0.0010919388225101162,0.023976023976023976
Segenswunsch,0.007779323324347139,0.007195619584971911,1000,0.0005837037393752282,0.11788211788211789
Siegeslied,0.003394504357977152,0.0034063065565939884,1000,-1.1802198616836512e-05,0.4945054945054945
Thronbesteigungslied,0.01345631485613594,0.011780177516401126,1000,0.0016761373397348144,0.012987012987012988
Tora,0.0026188097306689834,0.0027209649557340017,1000,-0.00010215522506501831,0.7142857142857143
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028916750496144263,0.028108448421307816,1000,0.0008083020748364464,0.000999000999000999
Zionslied,0.014238651823214776,0.013595370450576807,1000,0.0006432813726379681,0.1878121878121878
prophetische Gerichtsrede,0.006711409395973154,0.006776880687563313,1000,-6.547129159015837e-05,0.5504495504495505
prophetische Redeweise,0.010210901611691085,0.010376084887745732,1000,-0.0001651832760546472,0.8751248751248751
"prophetische Schelt-, Droh- und Mahnrede",0.03017534544047523,0.014439918131240874,1000,0.015735427309234357,0.055944055944055944
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.0076563129153397825,0.007404125386252865,1000,0.0002521875290869176,0.07792207792207792
