genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.0023408883540671404,0.0023030559530417744,1000,3.783240102536592e-05,0.24175824175824176
Danklied des Einzelnen,0.06840105148310707,0.06658335885261774,1000,0.001817692630489337,0.006993006993006993
Fluch,0.004114927136983369,0.004026830608321072,1000,8.809652866229728e-05,0.1028971028971029
Hymnus,0.1887188234816578,0.1909834117449728,1000,-0.0022645882633149927,0.996003996003996
Klagelied des Einzelnen,0.15212158742683513,0.14868969031762247,1000,0.003431897109212656,0.059940059940059943
Klagelied des Volkes,0.02736832907325471,0.02615823693249512,1000,0.001210092140759591,0.000999000999000999
Königspsalm,0.021778960736571207,0.021245010726011957,1000,0.0005339500105592497,0.011988011988011988
Legende,0.06850088183421515,0.09432905387234412,1000,-0.02582817203812897,0.9410589410589411
Liturgie,0.012049849109930654,0.01198602879238172,1000,6.382031754893422e-05,0.2087912087912088
Mischgedicht,0.008992914406158518,0.00897698687015696,1000,1.5927536001558024e-05,0.44955044955044954
Segensspruch,0.018087034237260425,0.018490182701349517,1000,-0.00040314846408909255,0.996003996003996
Segenswunsch,0.0055860316242026704,0.005597686848351417,1000,-1.1655224148746611e-05,0.6023976023976024
Siegeslied,0.003569876853131182,0.003386880496754585,1000,0.000182996356376597,0.025974025974025976
Thronbesteigungslied,0.017835212250550316,0.026794796161309913,1000,-0.008959583910759596,0.4835164835164835
Tora,0.43333333333333335,0.5732277777777779,1000,-0.13989444444444454,0.99000999000999
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02900722165625793,0.029722075067646507,1000,-0.0007148534113885774,0.989010989010989
Zionslied,0.004300420493662098,0.0039189266667094035,1000,0.0003814938269526948,0.002997002997002997
prophetische Gerichtsrede,0.0021141649048625794,0.002148886561122343,1000,-3.472165625976369e-05,0.5874125874125874
prophetische Redeweise,0.016875881407990956,0.017413800025363385,1000,-0.0005379186173724293,0.5094905094905094
"prophetische Schelt-, Droh- und Mahnrede",0.01803305233571318,0.01682443634415995,1000,0.0012086159915532316,0.3276723276723277
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008744170581787506,0.011575672599330896,1000,-0.00283150201754339,0.8611388611388612
