genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002514310748280442,0.002555808178310661,1000,-4.149743003021905e-05,0.6573426573426573
Danklied des Einzelnen,0.0671846974937358,0.06657089548886175,1000,0.0006138020048740561,0.08691308691308691
Fluch,0.004126859947946052,0.004008337938883552,1000,0.00011852200906249926,0.08091908091908091
Hymnus,0.1867457592917911,0.18863061040691464,1000,-0.0018848511151235425,0.9760239760239761
Klagelied des Einzelnen,0.146736704195571,0.14614218533249398,1000,0.0005945188630770148,0.3166833166833167
Klagelied des Volkes,0.02771562792679204,0.027104907825874592,1000,0.0006107201009174466,0.014985014985014986
Königspsalm,0.022569621693836195,0.021987408630090813,1000,0.0005822130637453821,0.002997002997002997
Legende,0.06483142037302725,0.10932176806927041,1000,-0.04449034769624316,0.978021978021978
Liturgie,0.014083145903443109,0.013063290066808037,1000,0.001019855836635072,0.13886113886113885
Mischgedicht,0.009909632191821872,0.009365557089636769,1000,0.0005440751021851039,0.056943056943056944
Segensspruch,0.01836410800041315,0.018775002989529516,1000,-0.0004108949891163671,0.974025974025974
Segenswunsch,0.0058456167994659185,0.005842647141307792,1000,2.9696581581263246e-06,0.4565434565434565
Siegeslied,0.00351562937118277,0.0035771490065310855,1000,-6.151963534831552e-05,0.6493506493506493
Thronbesteigungslied,0.02841493551031274,0.03183993763503537,1000,-0.0034250021247226314,0.5514485514485514
Tora,1.0,0.9183055555555557,1000,0.08169444444444429,0.5904095904095904
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029545014877684517,0.029592069859956886,1000,-4.7054982272368845e-05,0.5434565434565435
Zionslied,0.0060533742367427645,0.005474301440355435,1000,0.0005790727963873293,0.07292707292707293
prophetische Gerichtsrede,0.0021598272138228943,0.0022721220884095194,1000,-0.0001122948745866251,0.7332667332667333
prophetische Redeweise,0.012050218669647755,0.014345924729804435,1000,-0.0022957060601566798,0.962037962037962
"prophetische Schelt-, Droh- und Mahnrede",0.01652573325933062,0.011752762359619211,1000,0.004772970899711409,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010156543422849258,0.009879086593997197,1000,0.0002774568288520605,0.05094905094905095
