genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004116012018203993,0.004329004786351152,1000,-0.00021299276814715912,0.5194805194805194
Danklied des Einzelnen,0.055847162915084306,0.05332305811829564,1000,0.002524104796788669,0.000999000999000999
Fluch,0.004071041750087629,0.004038246572505427,1000,3.279517758220194e-05,0.36363636363636365
Hymnus,0.14137878548415864,0.13978273522304238,1000,0.0015960502611162553,0.000999000999000999
Klagelied des Einzelnen,0.15100126304389727,0.14731794788636432,1000,0.0036833151575329515,0.000999000999000999
Klagelied des Volkes,0.036567593152623465,0.03687961885780301,1000,-0.0003120257051795472,0.7722277722277723
Königspsalm,0.026030258744104036,0.025241128672111087,1000,0.0007891300719929488,0.03196803196803197
Legende,0.1746031746031746,0.1999896844969652,1000,-0.0253865098937906,0.9050949050949051
Liturgie,0.03290354910547125,0.03376020647622839,1000,-0.000856657370757144,0.7802197802197802
Mischgedicht,0.03796753154145703,0.03795873918716861,1000,8.792354288418569e-06,0.4755244755244755
Segensspruch,0.025436280232485165,0.020358661449148163,1000,0.005077618783337002,0.001998001998001998
Segenswunsch,0.007946412150409553,0.0069430530651989454,1000,0.0010033590852106073,0.022977022977022976
Siegeslied,0.003795453401186996,0.004049566867702708,1000,-0.0002541134665157126,0.44755244755244755
Thronbesteigungslied,0.015194406637922904,0.012944879570703467,1000,0.0022495270672194378,0.030969030969030968
Tora,0.0019496200039810741,0.0023929506817342147,1000,-0.00044333067775314053,0.998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029603751054067803,0.029481198854227827,1000,0.0001225521998399759,0.33966033966033965
Zionslied,0.02963420119746077,0.026714153246297376,1000,0.002920047951163393,0.19480519480519481
prophetische Gerichtsrede,0.008849557522123894,0.007468240430688512,1000,0.0013813170914353818,0.2047952047952048
prophetische Redeweise,0.011074947941507414,0.011557523267200612,1000,-0.0004825753256931988,0.9330669330669331
"prophetische Schelt-, Droh- und Mahnrede",0.031308649358918854,0.015104861134223067,1000,0.016203788224695787,0.001998001998001998
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007454827457158296,0.007503247818306365,1000,-4.8420361148068455e-05,0.5474525474525475
