genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004104553565338944,0.004243823016712832,1000,-0.00013926945137388794,0.8951048951048951
Danklied des Einzelnen,0.058280808162380175,0.05848771664636157,1000,-0.00020690848398139533,0.7582417582417582
Fluch,0.004137960396098149,0.004156526085045833,1000,-1.8565688947684393e-05,0.983016983016983
Hymnus,0.15626753026563334,0.1560736301184167,1000,0.00019390014721662463,0.2547452547452547
Klagelied des Einzelnen,0.12398421329805638,0.12384998328914423,1000,0.00013423000891214787,0.3256743256743257
Klagelied des Volkes,0.03028391551546812,0.030210186930665267,1000,7.372858480285405e-05,0.36163836163836166
Königspsalm,0.02413920221902384,0.02420041857756255,1000,-6.121635853871196e-05,0.6923076923076923
Legende,0.0631729667812142,0.02458951068236503,1000,0.03858345609884917,0.02197802197802198
Liturgie,0.027166142962465098,0.02666520757412458,1000,0.000500935388340517,0.2007992007992008
Mischgedicht,0.021313722228654075,0.020596513104703354,1000,0.0007172091239507211,0.22477522477522477
Segensspruch,0.024304429118111412,0.02434136186391385,1000,-3.6932745802437106e-05,0.903096903096903
Segenswunsch,0.007763046525582798,0.0077294962291982105,1000,3.355029638458726e-05,0.35664335664335667
Siegeslied,0.003623842481181771,0.0036261184908717194,1000,-2.276009689948337e-06,0.6293706293706294
Thronbesteigungslied,0.008966322486574925,0.008901441322454207,1000,6.488116412071802e-05,0.33766233766233766
Tora,0.0032911232911232912,0.003280530601653196,1000,1.0592689470095406e-05,0.22377622377622378
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.030382340628596415,0.030485543339933828,1000,-0.00010320271133741274,0.7692307692307693
Zionslied,0.007239302855497933,0.007164576068346823,1000,7.472678715111057e-05,0.4095904095904096
prophetische Gerichtsrede,0.0015503875968992248,0.0015659640410836636,1000,-1.5576444184438798e-05,0.7722277722277723
prophetische Redeweise,0.014991115828006026,0.01499855871819397,1000,-7.442890187944057e-06,0.5964035964035964
"prophetische Schelt-, Droh- und Mahnrede",0.0055354278007022075,0.005572600981322169,1000,-3.7173180619961416e-05,0.8171828171828172
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008763099567171728,0.00845346113449894,1000,0.00030963843267278746,0.11688311688311688
