genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004091873616755887,0.004130090498266533,1000,-3.821688151064637e-05,0.46853146853146854
Danklied des Einzelnen,0.05932866051947116,0.05708738924637039,1000,0.0022412712731007672,0.000999000999000999
Fluch,0.004017092551724176,0.003990903572331983,1000,2.618897939219312e-05,0.3626373626373626
Hymnus,0.14074853821488553,0.13932379990372926,1000,0.0014247383111562761,0.000999000999000999
Klagelied des Einzelnen,0.15536937190358413,0.15299656110580476,1000,0.0023728107977793733,0.028971028971028972
Klagelied des Volkes,0.037264945431315935,0.03736315082560811,1000,-9.820539429217234e-05,0.5674325674325674
Königspsalm,0.027329287844611357,0.026141491158330827,1000,0.0011877966862805303,0.016983016983016984
Legende,0.1839393939393939,0.17814100683702552,1000,0.00579838710236838,0.3336663336663337
Liturgie,0.030425533165298002,0.031160464059843386,1000,-0.0007349308945453839,0.6383616383616384
Mischgedicht,0.03480395582307215,0.034439840426865584,1000,0.00036411539620656574,0.4175824175824176
Segensspruch,0.024116292669302056,0.019656947077601548,1000,0.004459345591700508,0.001998001998001998
Segenswunsch,0.007950903228501735,0.009566033181062174,1000,-0.0016151299525604384,0.33766233766233766
Siegeslied,0.005231323289090845,0.006122004649310953,1000,-0.000890681360220108,0.3726273726273726
Thronbesteigungslied,0.024162375506118734,0.0159149022294862,1000,0.008247473276632535,0.013986013986013986
Tora,0.0023682754703380207,0.0031580724652913316,1000,-0.0007897969949533109,0.998001998001998
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02810253158051685,0.027915290636975704,1000,0.00018724094354114623,0.21478521478521478
Zionslied,0.020628811581717317,0.020128836352309547,1000,0.0004999752294077703,0.3866133866133866
prophetische Gerichtsrede,0.005917159763313609,0.006453942586991163,1000,-0.0005367828236775537,0.6343656343656343
prophetische Redeweise,0.0111208524243664,0.011351668725103632,1000,-0.000230816300737232,0.7962037962037962
"prophetische Schelt-, Droh- und Mahnrede",0.03222894070936339,0.011626483952510203,1000,0.02060245675685319,0.000999000999000999
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.007056575413929747,0.006984671007668519,1000,7.190440626122802e-05,0.3196803196803197
