genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.00303293247222073,0.0032985161248520077,1000,-0.0002655836526312778,0.5624375624375625
Danklied des Einzelnen,0.061426648705489674,0.06165131732029137,1000,-0.00022466861480169298,0.5674325674325674
Fluch,0.004269513462642656,0.004635288887571166,1000,-0.0003657754249285104,0.8541458541458542
Hymnus,0.18310291133869605,0.18125268501064415,1000,0.0018502263280519016,0.18581418581418582
Klagelied des Einzelnen,0.1449195295779026,0.14296722457105124,1000,0.001952305006851368,0.23276723276723277
Klagelied des Volkes,0.026788320259073017,0.026561080045614832,1000,0.00022724021345818524,0.36063936063936064
Königspsalm,0.020991813489832117,0.02051276478362321,1000,0.0004790487062089066,0.2017982017982018
Legende,0.006468370386548687,0.009755758820869183,1000,-0.003287388434320496,0.7562437562437563
Liturgie,0.013357467327259159,0.012997336906625204,1000,0.0003601304206339549,0.2127872127872128
Mischgedicht,0.009560271232132805,0.008857497718632404,1000,0.0007027735135004005,0.1008991008991009
Segensspruch,0.021336703308679643,0.02192798728005476,1000,-0.0005912839713751172,0.7592407592407593
Segenswunsch,0.007044160654270201,0.006754854981583657,1000,0.0002893056726865446,0.17282717282717283
Siegeslied,0.010299391229139667,0.007599446737355992,1000,0.0026999444917836747,0.04495504495504495
Thronbesteigungslied,0.014315407073259954,0.017456092633972457,1000,-0.003140685560712503,0.5534465534465535
Tora,0.75,0.7636944444444443,1000,-0.013694444444444343,0.5334665334665335
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.031863566182860015,0.03161710608526132,1000,0.0002464600975986969,0.3806193806193806
Zionslied,0.0059130220377353205,0.005054185876633298,1000,0.0008588361611020223,0.08591408591408592
prophetische Gerichtsrede,0.0016286644951140066,0.0032363629889507594,1000,-0.0016076984938367528,0.935064935064935
prophetische Redeweise,0.02088906438955649,0.01713673419380383,1000,0.0037523301957526588,0.07492507492507493
"prophetische Schelt-, Droh- und Mahnrede",0.01900771012274635,0.016736917103590158,1000,0.0022707930191561906,0.2707292707292707
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.00864896028920593,0.011992995336988766,1000,-0.0033440350477828354,0.8031968031968032
