genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.007763916679125452,0.005246215847171291,1000,0.0025177008319541613,0.16383616383616384
Danklied des Einzelnen,0.05841294565898032,0.05785346488511724,1000,0.0005594807738630858,0.31868131868131866
Fluch,0.004217104655016781,0.003974469625622743,1000,0.00024263502939403814,0.21678321678321677
Hymnus,0.1771781546796059,0.19362679397176957,1000,-0.01644863929216367,1.0
Klagelied des Einzelnen,0.1292739752784539,0.13032450848754631,1000,-0.0010505332090924024,0.6283716283716284
Klagelied des Volkes,0.028397242238852944,0.027404810859803824,1000,0.0009924313790491204,0.13586413586413587
Königspsalm,0.023350395225651882,0.024340125087397555,1000,-0.000989729861745673,0.8061938061938062
Legende,0.023139257745999318,0.017218664898744674,1000,0.005920592847254644,0.2127872127872128
Liturgie,0.015584592398963499,0.015220456469684467,1000,0.000364135929279032,0.32367632367632365
Mischgedicht,0.011228779903280323,0.009170561944349027,1000,0.0020582179589312966,0.06793206793206794
Segensspruch,0.0184692523741337,0.018317359319118043,1000,0.00015189305501565886,0.34865134865134867
Segenswunsch,0.007520524296581126,0.007668206741748378,1000,-0.00014768244516725256,0.5084915084915085
Siegeslied,0.004972520435584901,0.004555560430035375,1000,0.0004169600055495262,0.23876123876123875
Thronbesteigungslied,0.017169863515380177,0.02184397379628652,1000,-0.004674110280906342,0.5724275724275725
Tora,1.0,0.8717777777777778,1000,0.12822222222222224,0.5724275724275725
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.028087208725518432,0.027258065730946305,1000,0.0008291429945721275,0.12987012987012986
Zionslied,0.004145433520532168,0.004165942799751434,1000,-2.0509279219265916e-05,0.24475524475524477
prophetische Gerichtsrede,0.006578947368421052,0.006324297070655995,1000,0.0002546502977650569,0.12987012987012986
prophetische Redeweise,0.013716290435702374,0.016258789433559004,1000,-0.0025424989978566296,0.7942057942057942
"prophetische Schelt-, Droh- und Mahnrede",0.019250182747965288,0.01754690408918719,1000,0.001703278658778097,0.2937062937062937
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.010121226379472886,0.013634821251631145,1000,-0.003513594872158259,0.929070929070929
