genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.002554512003503943,0.002261456579681867,1000,0.0002930554238220759,0.012987012987012988
Danklied des Einzelnen,0.06708965941807635,0.0663204896540218,1000,0.000769169764054542,0.22477522477522477
Fluch,0.004224835001859895,0.004223325730489355,1000,1.5092713705399871e-06,0.4855144855144855
Hymnus,0.1852953921138224,0.19166034280036398,1000,-0.006364950686541582,1.0
Klagelied des Einzelnen,0.15034491492245422,0.1482973197550969,1000,0.002047595167357308,0.22277722277722278
Klagelied des Volkes,0.02749669740509495,0.025929640910576326,1000,0.0015670564945186247,0.007992007992007992
Königspsalm,0.022213381960908992,0.02169868440021713,1000,0.0005146975606918625,0.09490509490509491
Legende,0.023217082478547636,0.00906617428763113,1000,0.014150908190916505,0.005994005994005994
Liturgie,0.01141352188426944,0.011318314397125433,1000,9.520748714400736e-05,0.25874125874125875
Mischgedicht,0.00946845133531675,0.009316194390374776,1000,0.00015225694494197355,0.2937062937062937
Segensspruch,0.01758851213978522,0.01785661753671437,1000,-0.0002681053969291504,0.8261738261738262
Segenswunsch,0.005143269649784098,0.005321519589797788,1000,-0.00017824994001369027,0.964035964035964
Siegeslied,0.00333914696635852,0.003625430925791886,1000,-0.0002862839594333661,0.8931068931068931
Thronbesteigungslied,0.013687910992445677,0.02759266757094756,1000,-0.013904756578501884,0.6973026973026973
Tora,1.0,0.5572833333333334,1000,0.44271666666666665,0.08691308691308691
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.029643936406571886,0.0298149789910321,1000,-0.0001710425844602126,0.5494505494505495
Zionslied,0.0044560121307680054,0.004746490852350894,1000,-0.0002904787215828883,0.6993006993006993
prophetische Gerichtsrede,0.0016474464579901153,0.001630223140194946,1000,1.7223317795169325e-05,0.44555444555444557
prophetische Redeweise,0.012106089457616967,0.01852468016874667,1000,-0.006418590711129704,0.8571428571428571
"prophetische Schelt-, Droh- und Mahnrede",0.015108057826770948,0.01623122033981181,1000,-0.0011231625130408637,0.43456543456543456
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.008915267505038228,0.01155963685786096,1000,-0.0026443693528227317,0.6703296703296703
