genre,ap_real,ap_shuffled_mean,n_shuffles,delta_order,p_value
Danklied Israels,0.004441126300992244,0.004527564243511986,1000,-8.643794251974191e-05,0.4905094905094905
Danklied des Einzelnen,0.0571309669417068,0.05611173759002902,1000,0.0010192293516777806,0.08391608391608392
Fluch,0.0035333177750131936,0.004092183946783257,1000,-0.0005588661717700633,0.8341658341658341
Hymnus,0.14356537033530078,0.14246827112026336,1000,0.0010970992150374226,0.07092907092907093
Klagelied des Einzelnen,0.14579734390937374,0.1453134090597813,1000,0.00048393484959244337,0.4075924075924076
Klagelied des Volkes,0.03763200449696287,0.036263680180304236,1000,0.001368324316658634,0.07792207792207792
Königspsalm,0.025020608133044207,0.024782545459635413,1000,0.0002380626734087947,0.3246753246753247
Legende,0.022022529708235074,0.044882094594168975,1000,-0.0228595648859339,0.9760239760239761
Liturgie,0.02756416721596468,0.027694582817731305,1000,-0.00013041560176662442,0.5064935064935064
Mischgedicht,0.031220802444006643,0.032768542073743745,1000,-0.001547739629737102,0.6363636363636364
Segensspruch,0.017688221013439705,0.01605995557060656,1000,0.0016282654428331454,0.013986013986013986
Segenswunsch,0.008879398434748775,0.007956369418871317,1000,0.0009230290158774579,0.12387612387612387
Siegeslied,0.004548539417971719,0.0042534509376578895,1000,0.0002950884803138293,0.15684315684315683
Thronbesteigungslied,0.01488929643332491,0.01370856844619555,1000,0.0011807279871293604,0.20679320679320679
Tora,0.0022871981472608804,0.002686770571365359,1000,-0.0003995724241044785,0.36563436563436563
Wallfahrtslied,nan,nan,1000,nan,0.000999000999000999
Weisheitsgedicht,0.02805285824205273,0.027926924720794583,1000,0.00012593352125814597,0.37962037962037964
Zionslied,0.023976701984785596,0.02588400119279602,1000,-0.0019072992080104226,0.4995004995004995
prophetische Gerichtsrede,0.0029850746268656717,0.0038858810553332123,1000,-0.0009008064284675406,0.8431568431568431
prophetische Redeweise,0.010110464506798575,0.01012414417238354,1000,-1.3679665584964695e-05,0.4945054945054945
"prophetische Schelt-, Droh- und Mahnrede",0.015405880644291249,0.008310769278567139,1000,0.00709511136572411,0.056943056943056944
prophetische Tora,nan,nan,1000,nan,0.000999000999000999
prophetisches Stück,0.005884802421516735,0.006080999950821733,1000,-0.00019619752930499779,0.7912087912087912
