model,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
alephbert_consonantal,0.24975391498881433,0.3501870151415011,0.2757925016282118,0.43750223030970087,0.27647240789943006,0.4415727145045668,0.3891176799834875,0.2505132039652322,0.5578492992554678,0.24030072590008023,0.5445730124371703,0.6293949198760465,0.583059677124675,0.6814717308646353,0.5816973511753207,0.6807943474399732,1000,150
berel_consonantal,0.24975391498881433,0.39391971285956606,0.30221424676887115,0.4938831870855464,0.3129119331908474,0.4982248316930859,0.48773387688605957,0.33729764173711446,0.6764155373906471,0.33601723250608834,0.6743000066448136,0.6640870088151392,0.6136713295449747,0.7236781706158992,0.6118974361167447,0.7213945449037648,1000,150
bge_m3_cantillation,0.24975391498881433,0.327592585655996,0.2510246065340986,0.40921064447029715,0.25814338642117224,0.4169392931308172,0.29592748999065516,0.16313754074677092,0.46630401138550653,0.15395164538055614,0.45747274794383075,0.6083665701641864,0.5621577190938518,0.6678017305908841,0.5592244791671793,0.6639439892776138,1000,150
bge_m3_consonantal,0.24975391498881433,0.3291739607473011,0.2554607088725003,0.41100340462681356,0.2615731050389196,0.4172495020156111,0.33573792803590474,0.2025555046225377,0.5032889046115745,0.18844102489157938,0.4978812547252422,0.6134640618290524,0.5676941528284379,0.673053473109167,0.5652308989361865,0.6701400994010973,1000,150
bge_m3_vocalized,0.24975391498881433,0.3322615492623604,0.25922522112060165,0.4201001613100643,0.26278951133222633,0.42233444105029955,0.3479988474689199,0.2132630720242523,0.5221686152937486,0.20451856257095452,0.5094518745341423,0.6157962240954431,0.5719036814506077,0.6759382533708798,0.5698830972478224,0.6711706009815934,1000,150
bge_multilingual_gemma2_cantillation,0.24975391498881433,0.3759266123213324,0.29186019514925704,0.4668635400033732,0.2955236402755538,0.47589972260656793,0.44227412236379576,0.30808611884516335,0.609896925605029,0.30558258422093515,0.6076633147655418,0.6529809898774961,0.6073863268762139,0.7097670728132599,0.6055253382372671,0.7069068165973534,1000,150
bge_multilingual_gemma2_consonantal,0.24975391498881433,0.3444664521769528,0.2682851795794818,0.4298120458773339,0.2725980194244441,0.4335963410093442,0.3285928355199712,0.19133908832293234,0.4963694457058277,0.18637761180906517,0.49035015646330116,0.6244843960686066,0.5771056351679928,0.6810498267756685,0.5754455643492166,0.6798239363598475,1000,150
bge_multilingual_gemma2_vocalized,0.24975391498881433,0.37217839039896006,0.29144968905583485,0.46513829995801736,0.2947863756177845,0.47263458051114987,0.42148057499642344,0.2895148907374048,0.5917201045548609,0.2789376072602079,0.5853774922187017,0.6484017090101498,0.6016933840872297,0.701432536814813,0.6001457861202213,0.700847818554396,1000,150
cohere_embed_v4_cantillation,0.24975391498881433,0.31829561991636846,0.24809888159342497,0.39219131326604256,0.25317930449011894,0.40291517179196157,0.2719812694165892,0.13594732945945398,0.443339758107503,0.12985658129955174,0.4314985537625264,0.5993175395423129,0.5507800364507218,0.6545719994286947,0.5494341659970498,0.654066138529882,1000,150
cohere_embed_v4_consonantal,0.24975391498881433,0.32798116710227404,0.25377874941557366,0.4051064303595502,0.2615597069433771,0.4148009645718192,0.3274162801771053,0.1935162770150699,0.5052998584112017,0.17232267985758568,0.49330588924283014,0.608179388629209,0.5591865129145864,0.665677330180538,0.5579486713005374,0.6651474567017398,1000,150
cohere_embed_v4_vocalized,0.24975391498881433,0.3152103170640173,0.24206292048741093,0.38808945829243946,0.2505162646491254,0.3969532364550433,0.2530302239656861,0.11625087305987956,0.4307536383963095,0.11283768057211369,0.40782220551680703,0.5937886756367933,0.5454406372272153,0.64807787912485,0.5452024939018574,0.6475197377564142,1000,150
f2llm_v2_14b_cantillation,0.24975391498881433,0.38564836297944716,0.3033150732532296,0.47837606299626206,0.3072005785046129,0.4824425732921502,0.5004145728042034,0.3582861325800433,0.6774708552964155,0.34759183539177463,0.672013619517937,0.6515204610785486,0.6059803935480922,0.7052310033670058,0.6045678083882834,0.7034821534692904,1000,150
f2llm_v2_14b_consonantal,0.24975391498881433,0.3627433576913025,0.2896753684912443,0.4549465253079855,0.29163074316446524,0.4569263271900076,0.4264049974564615,0.2938073020734476,0.5947071832648606,0.2854475359706482,0.5859552384414985,0.6396696049324301,0.5957288291458753,0.6926937260065439,0.5932597082963581,0.6907469577834503,1000,150
f2llm_v2_14b_vocalized,0.24975391498881433,0.38601376374292384,0.30529938799469475,0.47858758531678536,0.30865326704200247,0.48177829380290327,0.5001707063284948,0.3548956346230259,0.6759062695479006,0.34615128465129325,0.6714783383584289,0.6517003775767803,0.6043591029621619,0.7058222405038274,0.6036043840650825,0.7043310556637761,1000,150
gemini_embedding_2_cantillation,0.24975391498881433,0.400030385614785,0.31505494974285025,0.49780413912055665,0.31867258236867113,0.5037618853656108,0.4785794169577585,0.33614692626959386,0.6507741090442295,0.3303210233862051,0.6454104666538997,0.6662504085514782,0.6172334059358424,0.7221804098371534,0.6145986604038017,0.7202179549434597,1000,150
gemini_embedding_2_consonantal,0.24975391498881433,0.3765328618586145,0.29569662226569143,0.473003961918171,0.2972682234201107,0.4774331271075982,0.42419926382260703,0.28902522715109397,0.6027623865995276,0.27615554305168877,0.5894594545256481,0.648134013773826,0.5972541161781574,0.7021402380003495,0.5975953173502518,0.7024639268781847,1000,150
gemini_embedding_2_vocalized,0.24975391498881433,0.3963854531301567,0.3115993618323264,0.49278464754528634,0.31395456395549654,0.4975448342693144,0.477666234277271,0.33217991803026237,0.6501486835751012,0.33091660568128284,0.6494090984215793,0.6624059647832045,0.612053512158745,0.716018882115422,0.6119594719717653,0.7158991112471237,1000,150
gte_multilingual_base_cantillation,0.24975391498881433,0.2841542660992612,0.22580634051317536,0.35091046644040846,0.2289156868214003,0.3539606985420203,0.14320445028614845,0.012108584432837239,0.269864912303429,0.008967540769138107,0.26943824544413253,0.5655981962879594,0.5183757363257939,0.614181397196832,0.518458499284552,0.6143280253094954,1000,150
gte_multilingual_base_consonantal,0.24975391498881433,0.27520026294066824,0.2160765122821157,0.33754108260646354,0.2216419521027013,0.3444554168141218,0.11591470069368388,-0.0331467414241444,0.2546781962126408,-0.0322711668002509,0.25875296074322973,0.5574302436812983,0.505079289142221,0.607795974910431,0.5065607012538107,0.607948486462,1000,150
gte_multilingual_base_vocalized,0.24975391498881433,0.29245980043672365,0.2305302420853454,0.3608236746742243,0.2345659605084457,0.3663695019338348,0.17335655363503252,0.03140255497480012,0.3164909022165628,0.03043349566334276,0.31589621971788323,0.5696072572417886,0.5254107701603005,0.621565898823328,0.5230751802285674,0.6188366224205003,1000,150
