model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
word_cantillation_icf_spacing8,1426,189,0.8829721362229103,0.918021241967836,0.7194803245546703,0.30767182820267874,0.4118084963519915,0.6035011168251,1.7372176449596194e-06
word_vocalized_icf_spacing8,1817,240,0.8833252309188138,0.9164537192138529,0.7513990324829972,0.394886921658845,0.35651211082415224,0.5930482938910292,1.3391293052187153e-06
homograph_icf_spacing8,2254,314,0.8777258566978193,0.9141623829403207,0.7204704469807071,0.42980685886948433,0.2906635881112227,0.5962139494402026,1.5825634282936435e-08
lexeme_icf_spacing8,2237,313,0.8772549019607843,0.9133205693310885,0.7230823053353524,0.42913478553772644,0.293947519797626,0.5957138225687358,1.9753193616902867e-08
word_consonantal_binary,2392,331,0.8784428938670584,0.9101238870116559,0.8275518444824475,0.2446566309437708,0.5828952135386767,0.571460507835787,2.2497075996480217e-06
word_consonantal_icf_spacing8,2103,301,0.8747920133111481,0.9089779484667981,0.8026341551855127,0.51663666040557,0.28599749477994274,0.5922325802563337,1.0889670609952177e-07
word_consonantal_log_count,2392,331,0.8784428938670584,0.9081309236925871,0.743271792834242,0.22331827706858484,0.5199535157656572,0.565861532399034,1.1836994559097531e-05
lexeme_binary,2392,331,0.8784428938670584,0.9071962953971064,0.7690055350442588,0.309321706170338,0.45968382887392084,0.5580579524901736,0.0001292726454312036
word_consonantal_count,2392,331,0.8784428938670584,0.9069160800157516,0.6957226812556506,0.20719724697132214,0.4885254342843285,0.5635413614364094,2.2696212325391655e-05
word_consonantal_icf_spacing4,2103,301,0.8747920133111481,0.9064469043361024,0.5835051990531998,0.34650260128244204,0.23700259777075772,0.595059581076235,4.588469935067418e-08
word_consonantal_icf,2392,331,0.8784428938670584,0.906376258236085,1.0054865281779501,0.23737990740991044,0.7681066207680397,0.5639543695500612,2.033062061203667e-05
word_consonantal_icf_position_mean,2392,331,0.8784428938670584,0.9063725045664084,1.113200500030442,0.31321715618157236,0.7999833438488695,0.5639417393325182,2.0402227411265358e-05
homograph_binary,2392,331,0.8784428938670584,0.9061252274335594,0.7666427683679651,0.3293246269592764,0.4373181414086887,0.5549515504855056,0.0002798431052906148
lexeme_log_count,2392,331,0.8784428938670584,0.9059259761535663,0.6891039234640459,0.2734966310770486,0.41560729238699734,0.5543459315543251,0.0003135527082664558
word_vocalized_icf_spacing4,1817,240,0.8833252309188138,0.9058062489291512,0.5320734781922041,0.281461851385377,0.2506116268068271,0.5780189414786278,4.1697925485842765e-05
homograph_log_count,2392,331,0.8784428938670584,0.9052554980619506,0.6890028890795887,0.28896072581050647,0.40004216326908226,0.5522082672351949,0.0005232023877428702
lexeme_count,2392,331,0.8784428938670584,0.9051742880201974,0.6463823759788421,0.24794637627022778,0.3984359997086143,0.5527273691762067,0.00045366446035366887
word_consonantal_tf_icf,2392,331,0.8784428938670584,0.9050212975702348,0.9620097783972487,0.23456437004702022,0.7274454083502284,0.5607601875334701,4.8349088361357775e-05
homograph_count,2392,331,0.8784428938670584,0.9047536782571282,0.6473346242808871,0.2605302457930782,0.38680437848780885,0.5512534227889541,0.0006458181475991256
word_cantillation_icf_spacing4,1426,189,0.8829721362229103,0.9047509444190796,0.5271963979065715,0.2607940824240547,0.26640231548251675,0.5776026477288749,0.00025673774771444667
word_consonantal_icf_position2,2392,331,0.8784428938670584,0.9043205723326825,1.1222616954267375,0.3625571899482591,0.7597045054784783,0.5570456405541129,0.00010914325300256219
