model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
word_cantillation_icf_position_mean_psalm,1110,1.0,1.0,1.4582538428295067e-16,0.04618982598185539,0.12281080335378647,3416,7.766500568117463,48,1.0,7.766500568117463,26,1.0,7.766500568117463,27,1.0,7.766500568117463,495,1.0,7.766500568117463,514,1.0,7.766500568117463
word_cantillation_icf_position8_psalm,1110,1.0,1.0,1.3670701431546395e-16,0.038804393261671066,0.12401396036148071,3416,7.750704871746685,48,1.0,7.750704871746685,26,1.0,7.750704871746685,27,1.0,7.750704871746685,495,1.0,7.750704871746685,514,1.0,7.750704871746685
word_vocalized_icf_position_mean_psalm,1110,1.0,1.0,1.4722740151233005e-16,0.0625777393579483,0.1213872879743576,3416,7.722573560092034,48,1.0,7.722573560092034,26,1.0,7.722573560092034,27,1.0,7.722573560092034,495,1.0,7.722573560092034,514,1.0,7.722573560092034
word_vocalized_icf_position8_psalm,1110,1.0,1.0,1.2684779817933566e-16,0.05539803206920624,0.12286683917045593,3416,7.688013904389012,48,1.0,7.688013904389012,26,1.0,7.688013904389012,27,1.0,7.688013904389012,495,1.0,7.688013904389012,514,1.0,7.688013904389012
word_consonantal_icf_position_mean_psalm,1110,1.0,1.0,1.2944740846916225e-16,0.07335873693227768,0.12086880952119827,3416,7.666504425239712,48,1.0,7.666504425239712,26,1.0,7.666504425239712,27,1.0,7.666504425239712,495,1.0,7.666504425239712,514,1.0,7.666504425239712
word_cantillation_icf_position4_psalm,1110,1.0,1.0,1.6208995831169135e-16,0.05698494613170624,0.1232243999838829,3416,7.652827313353809,48,1.0,7.652827313353809,26,1.0,7.652827313353809,27,1.0,7.652827313353809,495,1.0,7.652827313353809,514,1.0,7.652827313353809
word_vocalized_icf_position4_psalm,1110,1.0,1.0,1.1112227754127222e-16,0.08434388786554337,0.12217042595148087,3416,7.494908076182882,48,1.0,7.494908076182882,26,1.0,7.494908076182882,27,1.0,7.494908076182882,495,1.0,7.494908076182882,514,1.0,7.494908076182882
word_consonantal_icf_position8_psalm,1110,1.0,1.0,1.5135555133684616e-16,0.09100838750600815,0.12214767187833786,3416,7.441743248282049,48,1.0,7.441743248282049,26,1.0,7.441743248282049,27,1.0,7.441743248282049,495,1.0,7.441743248282049,514,1.0,7.441743248282049
word_cantillation_icf_position2_psalm,1110,1.0,1.0,1.2623351951750737e-16,0.08872572332620621,0.12302534282207489,3416,7.407207781503377,48,1.0,7.407207781503377,26,1.0,7.407207781503377,27,1.0,7.407207781503377,495,1.0,7.407207781503377,514,1.0,7.407207781503377
lexeme_icf_position_mean_psalm,1110,1.0,1.0,1.4043333874306804e-16,0.13593576848506927,0.11723995208740234,3416,7.370049340098426,48,1.0,7.370049340098426,26,1.0,7.370049340098426,27,1.0,7.370049340098426,495,1.0,7.370049340098426,514,1.0,7.370049340098426
