model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
morph_st_1gram,2392,331,0.8784428938670584,0.9139084566703388,0.17265202294221335,-0.029048956575445886,0.20170097951765925,0.5857067617132637,2.0673876546518626e-07
morph_st_sp_plus,2392,331,0.8784428938670584,0.9111387648826842,0.3385851683669107,0.05606247391759868,0.28252269444931205,0.5900490305045014,5.2396137942166436e-08
morph_ps_sp_plus,2392,331,0.8784428938670584,0.9104563944412081,0.35613649532417957,0.11664624390202004,0.23949025142215952,0.5780957926219321,1.991924856522809e-06
morph_vt_1gram,2392,331,0.8784428938670584,0.9103271888659614,0.2399020356846975,0.038355067071460545,0.20154696861323695,0.5818703331346179,6.569893379941905e-07
sp_1gram,2392,331,0.8784428938670584,0.9099509776333707,0.40239891925545146,0.14078885016644582,0.26161006908900564,0.5805984702280512,9.67227674479166e-07
morph_vt_sp_plus,2392,331,0.8784428938670584,0.9096181728027941,0.3434397245592653,0.09698459847191929,0.24645512608734602,0.5736556396447372,6.807402708508307e-06
morph_ps_1gram,2392,331,0.8784428938670584,0.9095191605407034,0.26786054364550127,0.07115435839011748,0.1967061852553838,0.5837036092109651,3.7902692908571307e-07
morph_full_all,2392,331,0.8784428938670584,0.9083730751111905,0.27814799929629297,0.11981661180862699,0.15833138748766598,0.5584444371469854,0.00027863624935960053
morph_st_1_2gram,2392,331,0.8784428938670584,0.9081498132248944,0.08966625153960783,-0.052803124825446045,0.14246937636505388,0.5518198880457517,0.0011049570423077304
morph_atomic_core,2392,331,0.8784428938670584,0.9081354981314769,0.2750566532303318,0.06832446748300526,0.20673218574732655,0.568619340399519,2.533514133136267e-05
morph_prs_nu_sp_plus,2392,331,0.8784428938670584,0.9079059181071981,0.3206387027812445,0.186826972875863,0.1338117299053815,0.5587721912922228,0.0002592672074494174
morph_gn_sp_plus,2392,331,0.8784428938670584,0.9077099318952158,0.2854234140546467,0.0979673843951515,0.1874560296594952,0.5644046368054644,7.130002246975618e-05
morph_nu_sp_plus,2392,331,0.8784428938670584,0.907520334415737,0.339611623516033,0.139884662294328,0.19972696122170502,0.5678286887813355,3.089855652720468e-05
morph_prs_gn_sp_plus,2392,331,0.8784428938670584,0.9073308181095763,0.30006487157579104,0.18150257627077965,0.11856229530501139,0.5548195647121826,0.000602805487468748
morph_prs_ps_sp_plus,2392,331,0.8784428938670584,0.9071561736076421,0.308966077868161,0.18345073450540997,0.12551534336275103,0.5556436864068547,0.0005077131704047733
sp_1_2gram,2392,331,0.8784428938670584,0.9063231089817018,0.4302698020683928,0.16647649893768998,0.2637933031307028,0.5596436763026806,0.00021376036766146986
morph_ps_1_2gram,2392,331,0.8784428938670584,0.9052475299370628,0.21156555894794796,0.0577389451351646,0.15382661381278334,0.5574131798846104,0.00034811481499214523
morph_vt_1_2gram,2392,331,0.8784428938670584,0.9050731696718801,0.17394343369482276,0.023481845000878247,0.15046158869394452,0.5560952166840122,0.00046096617832683284
morph_signature_1gram,2392,331,0.8784428938670584,0.9037701001743124,0.38794258764244693,0.1644183594881198,0.22352422815432713,0.5566913629520355,0.00040268208951758244
morph_st_1_2_3gram,2392,331,0.8784428938670584,0.9025577420289191,0.044427337473738865,-0.0679368769914782,0.11236421446521706,0.5290160302721054,0.0432983129287597
