model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
morph_signature_1_2_3gram_psalm,2392,1.0,1.0,1.1994643625878055e-16,0.7343405766022592,0.09013408086272734,818,2.947380401008755,79,1.0,2.947380401008755,62,1.0,2.947380401008755,38,1.0,2.947380401008755,1118,1.0,2.947380401008755,1095,1.0,2.947380401008755
morph_signature_1_2gram_psalm,2392,1.0,1.0,1.8194176702802615e-16,0.8103474378585815,0.07436458021402359,818,2.5503077082610086,79,1.0,2.5503077082610086,62,1.0,2.5503077082610086,38,1.0,2.5503077082610086,1118,1.0,2.5503077082610086,1095,1.0,2.5503077082610086
morph_suffix_posmean,2392,1.0,1.0,1.531884970553343e-16,0.6592477560043335,0.1505889892578125,818,2.262796540936265,79,1.0,2.262796540936265,62,1.0,2.262796540936265,38,1.0,2.262796540936265,1118,1.0,2.262796540936265,1095,1.0,2.262796540936265
sp_1_2_3gram_psalm,2392,1.0,1.0,2.2748950907623965e-16,0.8822678327560425,0.055027518421411514,818,2.1395143851907243,79,1.0,2.1395143851907243,62,1.0000000000000002,2.1395143851907283,38,1.0,2.1395143851907243,1118,1.0,2.1395143851907243,1095,1.0,2.1395143851907243
morph_signature_1gram_psalm,2392,1.0,1.0,1.8764428961400284e-16,0.8844919800758362,0.055714961141347885,818,2.073195736978475,79,1.0,2.073195736978475,62,1.0,2.073195736978475,38,1.0,2.073195736978475,1118,1.0,2.073195736978475,1095,1.0,2.073195736978475
morph_suffix_host_plus_suffix_psalm,2392,1.0,1.0,1.6353598122176834e-16,0.9735500812530518,0.013286306522786617,818,1.9907653569173218,79,1.0,1.9907653569173218,62,1.0,1.9907653569173218,38,1.0,1.9907653569173218,1118,1.0,1.9907653569173218,1095,1.0,1.9907653569173218
sp_1_2gram_psalm,2392,1.0,1.0,1.792309641884081e-16,0.9223479628562927,0.04221684858202934,818,1.8393612918033349,79,1.0,1.8393612918033349,62,1.0,1.8393612918033349,38,1.0,1.8393612918033349,1118,1.0,1.8393612918033349,1095,1.0,1.8393612918033349
morph_full_all_psalm,2392,1.0,1.0,2.0265569039021622e-16,0.9858603477478027,0.007717972621321678,818,1.8320422921862989,79,1.0,1.8320422921862989,62,1.0,1.8320422921862989,38,1.0,1.8320422921862989,1118,1.0,1.8320422921862989,1095,1.0,1.8320422921862989
morph_ps_sp_plus_psalm,2392,1.0,1.0,1.951160905040887e-16,0.9816105961799622,0.010490481741726398,818,1.752960852778867,79,1.0,1.752960852778867,62,1.0,1.752960852778867,38,1.0,1.752960852778867,1118,1.0,1.752960852778867,1095,1.0,1.752960852778867
morph_atomic_core_psalm,2392,1.0,1.0,1.2994748028643947e-16,0.9851932525634766,0.00859207846224308,818,1.7233021674080398,79,1.0,1.7233021674080398,62,1.0,1.7233021674080398,38,1.0,1.7233021674080398,1118,1.0,1.7233021674080398,1095,1.0,1.7233021674080398
