model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
f2llm_v2_14b_cantillation,2392,331,0.8784428938670584,0.9427209779298089,1.8316275278648104,0.7811431587511874,1.050484369113623,0.7103575361982035,9.761365976329169e-36
kalm_embedding_gemma3_12b_2511_cantillation,2392,331,0.8784428938670584,0.9408364360033241,1.5864354427624254,0.7888274490180388,0.7976079937443866,0.7078554901029616,6.125607720700694e-35
kalm_embedding_gemma3_12b_2511_vocalized,2392,331,0.8784428938670584,0.9396497996868696,1.503070816127686,0.7500419443449993,0.7530288717826867,0.704288716668856,8.0896545127279e-34
miqrabert_consonantal,2392,331,0.8784428938670584,0.9395553816578345,0.8085574398017695,0.15611467320124608,0.6524427666005235,0.7107654922248381,7.220431365491964e-36
f2llm_v2_14b_vocalized,2392,331,0.8784428938670584,0.9393274641812757,1.6981152954445395,0.7270531268304586,0.9710621686140809,0.6952922127130717,4.46573059333079e-31
llama_embed_nemotron_8b_cantillation,2392,331,0.8784428938670584,0.9392338098077999,1.1420318177180042,0.32097160471906533,0.8210602129989388,0.7008103547575504,9.605229674478936e-33
harrier_oss_v1_27b_cantillation,2392,331,0.8784428938670584,0.9387245472164277,1.8299191238843664,0.9516571507848576,0.8782619730995088,0.7006145863856359,1.1026427677949557e-32
qwen3_embedding_8b_cantillation,2392,331,0.8784428938670584,0.9382203821791179,1.5206319980536078,0.5841091675182408,0.936522830535367,0.6984788165991371,4.927265308033078e-32
qwen3_embedding_8b_vocalized,2392,331,0.8784428938670584,0.9358187623566903,1.343107560811429,0.49177452905177044,0.8513330317596585,0.6892953854237185,2.5704884905586245e-29
llama_embed_nemotron_8b_vocalized,2392,331,0.8784428938670584,0.9351038975995818,1.1469378278650497,0.35029495625257906,0.7966428716124707,0.682574846669159,2.0811085781165543e-27
me5_large_instruct_cantillation,2392,331,0.8784428938670584,0.9346862755572328,1.0572807846586998,0.32904018406130864,0.7282406005973912,0.6856692499671614,2.805734326440786e-28
me5_large_instruct_vocalized,2392,331,0.8784428938670584,0.9333393753495893,1.0346104961581593,0.34641768106080023,0.6881928150973591,0.6735353999737291,5.997855691468171e-25
bge_multilingual_gemma2_cantillation,2392,331,0.8784428938670584,0.9302315638751909,1.4688394816655315,0.6652896754498077,0.8035498062157238,0.6690125190716285,9.176607711630852e-24
kalm_embedding_gemma3_12b_2511_consonantal,2392,331,0.8784428938670584,0.9297593368152985,1.1771938810895823,0.5936028775086197,0.5835910035809626,0.6592228374541523,2.6410236348904848e-21
me5_large_instruct_consonantal,2392,331,0.8784428938670584,0.9295250895167777,1.0138696908209903,0.364506343783784,0.6493633470372063,0.6588805585587406,3.2001366037291086e-21
openai_text_embedding_3_large_cantillation,2392,331,0.8784428938670584,0.9290286145383523,1.3416910073862398,0.5463484402469204,0.7953425671393194,0.6560577049379098,1.5350423722370527e-20
harrier_oss_v1_27b_vocalized,2392,331,0.8784428938670584,0.9287360086008754,1.5533714173958721,0.8667871161536211,0.686584301242251,0.6538890965857996,5.02492896833297e-20
bge_multilingual_gemma2_vocalized,2392,331,0.8784428938670584,0.9254676682385873,1.3105131470856204,0.6034289134102199,0.7070842336754005,0.647983206862755,1.169516394752239e-18
bge_m3_cantillation,2392,331,0.8784428938670584,0.9249334222665058,0.7491433511925791,0.10746486673515089,0.6416784844574283,0.6333296284695208,1.7146132377475403e-15
qwen3_embedding_8b_consonantal,2392,331,0.8784428938670584,0.9233456441981962,0.8587774459150329,0.2608173586701323,0.5979600872449007,0.6416491527650072,2.9920735037061824e-17
llama_embed_nemotron_8b_consonantal,2392,331,0.8784428938670584,0.9232144134923653,0.9970974509888753,0.37805926753319363,0.6190381834556816,0.6325604482211602,2.4632988139987223e-15
openai_text_embedding_3_large_vocalized,2392,331,0.8784428938670584,0.9231406103391357,1.255967695461327,0.5621763728277884,0.6937913226335386,0.633026503248492,1.9783034363617968e-15
