model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
gemini_embedding_2_cantillation,2392,0.8085538334584327,0.8026212226110028,0.057720222630121935,0.743251621723175,0.035373274236917496,818,1.8460889794336497,79,0.797062892996329,1.5212408925661054,62,0.7994090555399264,1.5875667443344084,38,0.8895092537036873,4.134693073672827,1118,0.8173708881047463,2.0953465004440086,1095,0.7980889818269761,1.550248352372474
f2llm_v2_14b_cantillation,2392,0.42851714524753565,0.4041158448620986,0.16820412380465288,0.22956806421279907,0.10861874371767044,818,1.831627527858904,79,0.4002762616880787,1.5716274340181704,62,0.420875252385637,1.7612723331628395,38,0.6153887534805618,3.552063631582918,1118,0.4726882138565281,2.238289095624823,1095,0.3794034021798882,1.379461157795673
harrier_oss_v1_27b_cantillation,2392,0.800248264420583,0.7939695553773845,0.05761125550196147,0.7161818742752075,0.04593994840979576,818,1.8299191238849994,79,0.7817147414415476,1.4264897857910208,62,0.8012129730854393,1.8509184653786113,38,0.880766227479082,3.582597693313477,1118,0.8109612588734827,2.0631147373701753,1095,0.7877985164603621,1.558918646279625
f2llm_v2_14b_vocalized,2392,0.40421767955012256,0.37601145283866766,0.16984420993528324,0.21853700280189514,0.10934515297412872,818,1.6981152954457874,79,0.3803153758615406,1.4795202956817168,62,0.38372690167220996,1.510719902777941,38,0.6064060508987833,3.5471992817885467,1118,0.44568338115805506,2.077333765401592,1095,0.35774909298474444,1.2731436775783482
kalm_embedding_gemma3_12b_2511_cantillation,2392,0.791273492574345,0.7859000181449582,0.06425522130787631,0.6946104168891907,0.06093098595738411,818,1.5864354427607927,79,0.773729872896445,1.2985093670171606,62,0.7937238697222282,1.6266510589925247,38,0.8570324269609251,2.665671784555306,1118,0.8054770308726354,1.8195440668067684,1095,0.7756165311562687,1.3294732227660773
harrier_oss_v1_27b_vocalized,2392,0.8040727084622752,0.7985545748321341,0.0570651524284839,0.7338721752166748,0.04519236832857132,818,1.5533714173863844,79,0.7866289690707461,1.1673828083207052,62,0.8004296127035089,1.4727583428008888,38,0.8837416201845394,3.3162556093152302,1118,0.8142879779432791,1.7794111196372993,1095,0.7923428796255317,1.2938181062728427
qwen3_embedding_8b_cantillation,2392,0.5550559109116427,0.5367357637619098,0.11239791362299291,0.44594308733940125,0.07175491750240326,818,1.5206319980590464,79,0.5538541584195189,1.503883982258128,62,0.5347925956524343,1.2382358088566858,38,0.6850844169584324,3.3327517882104964,1118,0.5692326748902884,1.7182040178188185,1095,0.5373029964230993,1.2732215751016394
kalm_embedding_gemma3_12b_2511_vocalized,2392,0.8056654632063347,0.8011513302797175,0.060368745264855084,0.7163390517234802,0.05942927673459053,818,1.5030708161195314,79,0.7872106555240845,1.1925368723081535,62,0.8106092626887543,1.5862587624325668,38,0.8747181251745112,2.6650008573778785,1118,0.8183618310807587,1.716709086211991,1095,0.7913575853986554,1.2623161141638295
bge_multilingual_gemma2_cantillation,2392,0.6471044845387456,0.6311728446014628,0.09902910427366993,0.545070230960846,0.06946589797735214,818,1.4688394816571104,79,0.6286078149821637,1.202569698998973,62,0.6250903551582581,1.151933920490036,38,0.8053951385545958,3.7475209444297852,1118,0.6618997396238351,1.6818253569698167,1095,0.629086194930369,1.2094562427871391
gemini_embedding_2_vocalized,2392,0.7819743493349232,0.7779600454562356,0.06711613524135637,0.7250324487686157,0.04180089011788368,818,1.3622174170388293,79,0.7788347853264633,1.2871098296260763,62,0.7627163907067597,0.9015105140553364,38,0.8734993600905243,3.551764350070382,1118,0.7911559843097562,1.5818690787364558,1095,0.7707405600025379,1.0934721989177654
