model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
phrase_subphrase_rela_1gram,234,432,0.35135135135135137,0.3850606475709279,0.23784699932808137,0.0964857473611296,0.14136125196695176,0.5541063232035455,0.006031648231836944
phrase_full_signature_inventory,1104,2772,0.2848297213622291,0.36875596658492094,0.7700246007467083,0.36321289977440996,0.40681170097229835,0.5950338660936487,4.506099513392712e-21
phrase_marginal_typ_function,1104,2772,0.2848297213622291,0.3682392191019511,0.6531147726320716,0.3100793943774154,0.34303537825465624,0.5936387359621055,3.9312208247613966e-20
phrase_signature_inventory,1104,2772,0.2848297213622291,0.3602427807804381,0.7059709682411065,0.3541753666435484,0.3517956015975581,0.5871775793650794,6.435039088276167e-18
phrase_typ_1gram,1104,2772,0.2848297213622291,0.3560315140199345,0.4156141010814855,0.1539219891672243,0.2616921119142612,0.5839997738774912,1.4161516230298424e-16
phrase_function_1gram,1104,2772,0.2848297213622291,0.3547329543466136,0.6679817341877528,0.35414056859594006,0.3138411655918127,0.5832562164083903,2.0391908769060613e-16
phrase_signature_1_2_3gram,1104,2772,0.2848297213622291,0.3359040191338698,0.85938293970139,0.4989083843049789,0.3604745553964111,0.5752470028964595,8.272212923577919e-14
phrase_signature_1_2gram,1104,2772,0.2848297213622291,0.3339686719891545,0.7621165644257455,0.4402803269855393,0.3218362374402062,0.5750886844636844,9.292966206486974e-14
phrase_function_1_2_3gram,1104,2772,0.2848297213622291,0.3282169003287128,0.7689132944472578,0.47471941077110513,0.2941938836761526,0.5676890541020976,1.8789058588949642e-11
phrase_det_1gram,1104,2772,0.2848297213622291,0.3280765981182213,0.31527068777573036,0.21714764220332494,0.09812304557240542,0.5498894221720309,5.910262871287609e-07
phrase_function_1_2gram,1104,2772,0.2848297213622291,0.32774560745541714,0.7021123771880079,0.428818843716832,0.2732935334711759,0.5693460876884789,6.211300291997847e-12
phrase_typ_1_2_3gram,1104,2772,0.2848297213622291,0.3233737077956468,0.4817090731457379,0.26045028383101065,0.22125878931472726,0.5569212766902985,1.5046378064325183e-08
phrase_typ_1_2gram,1104,2772,0.2848297213622291,0.32151954189928633,0.42815229267058913,0.22007850105973728,0.20807379161085185,0.5572655253361775,1.2420032733693404e-08
