model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
phrase_signature_posmean,1110,1.0,1.0,1.6741463321377372e-16,0.7374827265739441,0.08150647580623627,3416,3.22081492089209,48,1.0,3.22081492089209,26,1.0,3.22081492089209,27,1.0,3.22081492089209,495,1.0,3.22081492089209,514,1.0,3.22081492089209
phrase_function_1_2_3gram_psalm,1110,1.0,1.0,1.3275081737130586e-16,0.7456152441845051,0.11192321841625674,3416,2.2728506150475902,48,1.0,2.2728506150475902,26,1.0,2.2728506150475902,27,1.0,2.2728506150475902,495,1.0,2.2728506150475902,514,1.0,2.2728506150475902
phrase_signature_1_2_3gram_psalm,1110,1.0,1.0,1.309400156266354e-16,0.7162111088157316,0.12584198458118903,3416,2.255120913173277,48,1.0,2.255120913173277,26,1.0,2.255120913173277,27,1.0,2.255120913173277,495,1.0,2.255120913173277,514,1.0,2.255120913173277
phrase_typ_1_2_3gram_psalm,1110,1.0,1.0,1.3503156988083715e-16,0.8570243416172402,0.0745354570875936,3416,1.918223406274087,48,1.0,1.918223406274087,26,1.0,1.918223406274087,27,1.0,1.918223406274087,495,1.0,1.918223406274087,514,1.0,1.918223406274087
phrase_signature_1_2gram_psalm,1110,1.0,1.0,1.5845247295868144e-16,0.8064853549003601,0.10442241281270981,3416,1.853190707695333,48,1.0,1.853190707695333,26,1.0,1.853190707695333,27,1.0,1.853190707695333,495,1.0,1.853190707695333,514,1.0,1.853190707695333
phrase_function_1_2gram_psalm,1110,1.0,1.0,1.6263709896741154e-16,0.828283429145813,0.09365518391132355,3416,1.8334977700409525,48,1.0,1.8334977700409525,26,1.0,1.8334977700409525,27,1.0,1.8334977700409525,495,1.0,1.8334977700409525,514,1.0,1.8334977700409525
phrase_typ_1_2gram_psalm,1110,1.0,1.0,1.4510016520803354e-16,0.9164779782295227,0.051496680825948715,3416,1.6218913613630668,48,1.0,1.6218913613630668,26,1.0,1.6218913613630668,27,1.0,1.6218913613630668,495,1.0,1.6218913613630668,514,1.0,1.6218913613630668
phrase_full_signature_inventory_psalm,1110,1.0,1.0,1.6239795175417497e-16,0.8689025044441223,0.08326224237680435,3416,1.5745131504217036,48,1.0,1.5745131504217036,26,1.0,1.5745131504217036,27,1.0,1.5745131504217036,495,1.0,1.5745131504217036,514,1.0,1.5745131504217036
phrase_marginal_typ_function_psalm,1110,1.0,1.0,1.6621642163228155e-16,0.9354073405265808,0.04255560040473938,3416,1.517841573355538,48,1.0,1.517841573355538,26,1.0,1.517841573355538,27,1.0,1.517841573355538,495,1.0,1.517841573355538,514,1.0,1.517841573355538
phrase_signature_inventory_psalm,1110,1.0,1.0,1.6896617732052506e-16,0.8846385478973389,0.07655727863311768,3416,1.5068645876965288,48,1.0,1.5068645876965288,26,1.0,1.5068645876965288,27,1.0,1.5068645876965288,495,1.0,1.5068645876965288,514,1.0,1.5068645876965288
phrase_function_1gram_psalm,1110,1.0,1.0,1.938205132644306e-16,0.8965374231338501,0.07241419702768326,3416,1.4287609489972959,48,1.0,1.4287609489972959,26,1.0,1.4287609489972959,27,1.0,1.4287609489972959,495,1.0,1.4287609489972959,514,1.0,1.4287609489972959
phrase_typ_1gram_psalm,1110,1.0,1.0,1.5995211160584269e-16,0.9602312445640564,0.03105340711772442,3416,1.2806567500042436,48,1.0,1.2806567500042436,26,1.0,1.2806567500042436,27,1.0,1.2806567500042436,495,1.0,1.2806567500042436,514,1.0,1.2806567500042436
phrase_det_1gram_psalm,1110,1.0,1.0,1.2828410312266143e-16,0.9734966158866882,0.026888834312558174,3416,0.985665046139007,48,1.0,0.985665046139007,26,1.0,0.985665046139007,27,1.0,0.985665046139007,495,1.0,0.985665046139007,514,1.0,0.985665046139007
phrase_signature_1_2_3gram,1104,0.18787697329096886,0.12121212712332569,0.21210751510010384,0.09107937012819675,0.11263617031588548,3410,0.85938293970139,48,0.17283704936883793,0.7258563480217207,26,0.24788235660394206,1.3921192991203006,27,0.20056945402450477,0.9720685956318087,492,0.19763298195826676,0.9459981774171025,511,0.17617271328707249,0.7554708484870665
