model,metric,n_pairs_total,n_pairs_valid,raw_gap,raw_p,raw_effect_size,length_controlled_gap,length_controlled_p,length_controlled_effect_size,length_and_content_controlled_gap,length_and_content_controlled_p,length_and_content_controlled_effect_size,raw_q,raw_q_by,length_controlled_q,length_controlled_q_by,length_and_content_controlled_q,length_and_content_controlled_q_by
phrase_complexity_core,content_distance,9730,9730,0.0017764420750117182,9.999000099990002e-05,3.9149423321274885,0.0018171807496458446,9.999000099990002e-05,4.011510578177507,nan,nan,nan,0.00029997000299970003,0.0011983763016459527,0.00018748125187481254,0.0007489851885287205,nan,nan
phrase_complexity_core,structural_distance,9730,9730,0.007571063331826916,0.0027997200279972004,2.719812711213728,0.008790599215222749,0.0006999300069993001,3.2142445446285675,0.005502745252904479,0.0163983601639836,2.149063539569934,0.006999300069993001,0.02796211370507223,0.007124287571242876,0.028461437164091375,0.24597540245975402,0.9826685673496812
phrase_complexity_core,adjacent_similarity_distance,9730,9730,0.003480587420327426,0.010198980101989802,2.294860483543488,0.004243185776076462,0.0016998300169983002,2.8605623532927207,0.0027195937992140653,0.0225977402259774,1.9574048104541646,0.027815400278154004,0.11112216615262471,0.010998900109989003,0.04394046439368493,0.1355864413558644,0.5416660883439706
phrase_complexity_core,step_magnitude_distance,9730,9730,0.008397418250073035,0.0014998500149985001,2.884915934052876,0.009279618930237259,0.00039996000399960006,3.225475204888533,0.006048872060165328,0.010698930106989302,2.2573270042320193,0.010798920107989201,0.043141546859254296,0.005999400059994001,0.023967526032919056,0.11298870112988701,0.4513884069533088
phrase_complexity_core,turning_angle_distance,9730,325,0.06390413745858203,0.0240975902409759,2.158544145172782,0.054768936275490766,0.0405959404059594,1.858719532557186,0.04918852059997371,0.0542945705429457,1.669380954656154,0.287011298870113,0.912734319641629,0.3269173082691731,1.0,0.7058294170582942,1.0
phrase_complexity_core_psalm,content_distance,11026,11026,0.001682252979618317,0.0027997200279972004,2.688627401665912,0.001771475716960265,0.000999900009999,2.8372920935470014,nan,nan,nan,0.0032304461861506154,0.012905590940802568,0.0011998800119988001,0.004793505206583811,nan,nan
phrase_complexity_core_psalm,structural_distance,11026,11026,-2.9298264362580588e-18,0.6228377162283771,-0.3503651395031733,-1.937808164715571e-18,0.5772422757724227,-0.22986780408965143,-2.1884782821519365e-18,0.5895410458954105,-0.2606886896776498,0.8451328780165462,1.0,0.890638208906382,1.0,0.775922407759224,1.0
phrase_complexity_core_psalm,adjacent_similarity_distance,11026,11026,4.6620293399127885e-18,0.26307369263073693,0.6194077992845712,6.2305964720401864e-18,0.20127987201279873,0.8273859179347143,6.3835167762107994e-18,0.19488051194880512,0.8474986789953854,0.3946105389461054,1.0,0.33344034017650864,1.0,0.38976102389761025,1.0
phrase_complexity_core_psalm,step_magnitude_distance,11026,11026,0.0,1.0,nan,0.0,1.0,nan,0.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0
phrase_complexity_core_psalm,turning_angle_distance,11026,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
phrase_det_1gram,content_distance,9730,9730,0.01083751959855559,0.00019998000199980003,4.040919244697894,0.01097573035094552,9.999000099990002e-05,4.096460112096686,nan,nan,nan,0.0003333000033330001,0.0013315292240510587,0.00018748125187481254,0.0007489851885287205,nan,nan
phrase_det_1gram,structural_distance,9730,9730,0.007286185376204346,0.012198780121987801,2.2445149853343747,0.007503819159493848,0.010198980101989802,2.315420522975799,0.0053689377277848505,0.0451954804519548,1.6870487721764718,0.028151031050741078,0.11246300676985094,0.023536107927668772,0.09402644828299014,0.45195480451954806,1.0
phrase_det_1gram,adjacent_similarity_distance,9730,9730,0.004478741164626654,0.0365963403659634,1.7958058430183204,0.004713963394897644,0.0282971702829717,1.894213569784149,0.003879579569560602,0.05729427057294271,1.5739432350756912,0.07842072935563586,0.3132898045731562,0.077174100771741,0.30830953942345873,0.24554687388404017,0.9809566012044727
phrase_det_1gram,step_magnitude_distance,9730,9730,0.009191387147696795,0.0017998200179982,2.945877492365488,0.008125503415635803,0.0047995200479952005,2.6154082594499988,0.006966076891850143,0.0112988701129887,2.26698075125384,0.010798920107989201,0.043141546859254296,0.028797120287971205,0.11504412495801146,0.11298870112988701,0.4513884069533088
phrase_det_1gram,turning_angle_distance,9730,171,0.023035285538187733,0.1653834616538346,0.983903342367263,0.0009706376500708894,0.49335066493350666,0.01921217117373462,0.0010693870803199597,0.49185081491850813,0.023605910674284875,0.30446955304469553,0.9682539030479237,0.49335066493350666,1.0,0.9023264340232643,1.0
phrase_det_1gram_psalm,content_distance,11026,11026,0.005988109221320377,0.0014998500149985001,3.168544235503718,0.006028495945647227,0.0014998500149985001,3.1908576508508197,nan,nan,nan,0.0017998200179982,0.007190257809875716,0.0017305961711521153,0.006913709432572804,nan,nan
phrase_det_1gram_psalm,structural_distance,11026,11026,1.1967515687879737e-17,0.07219278072192781,1.5057456581768698,1.2129626226035192e-17,0.06969303069693031,1.5261186471032475,1.2184191879051976e-17,0.068993100689931,1.5329230551016289,0.15469881583270245,0.6180197784202698,0.14934220863627923,0.5966202016051635,0.5174482551744826,1.0
phrase_det_1gram_psalm,adjacent_similarity_distance,11026,11026,1.9267007065563834e-17,0.012198780121987801,2.4272082978759464,1.816589512680997e-17,0.015598440155984402,2.2921560568048243,1.845586894509243e-17,0.014698530146985302,2.3286798700103666,0.030496950304969503,0.12183492400067185,0.05199480051994801,0.20771855895196514,0.12223777622237778,0.48833834292072575
phrase_det_1gram_psalm,step_magnitude_distance,11026,11026,0.0,1.0,nan,0.0,1.0,nan,0.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0
phrase_det_1gram_psalm,turning_angle_distance,11026,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
phrase_full_signature_inventory,content_distance,9730,9730,0.0463727045431967,9.999000099990002e-05,4.513699685081792,0.04722762047998039,9.999000099990002e-05,4.607407218825092,nan,nan,nan,0.00029997000299970003,0.0011983763016459527,0.00018748125187481254,0.0007489851885287205,nan,nan
phrase_full_signature_inventory,structural_distance,9730,9730,0.017506798326143602,9.999000099990002e-05,4.1606864636811345,0.010920826107332006,0.0022997700229977,2.8759951319117083,-0.00020736794656709754,0.5263473652634737,-0.07174774286154346,0.0003333000033330001,0.0013315292240510587,0.007665900076659001,0.030625172153174347,0.775922407759224,1.0
phrase_full_signature_inventory,adjacent_similarity_distance,9730,9730,0.00630868559140374,0.006899310068993101,2.58364080810222,0.0040613090495228675,0.0433956604339566,1.7338763697888366,0.00010303933330421187,0.48065193480651935,0.03757444280640775,0.025664100256641006,0.10252775025193152,0.0966331938234748,0.3860483657445176,0.6629337066293369,1.0
phrase_full_signature_inventory,step_magnitude_distance,9730,9730,0.005572130081748866,0.03899610038996101,1.8087540681806826,0.0032362492536729946,0.1391860813918608,1.0921953399086144,-0.0015534396162093466,0.7193280671932807,-0.5834889221086964,0.09749025097490252,0.3894722980349346,0.2982558886968446,1.0,1.0,1.0
phrase_full_signature_inventory,turning_angle_distance,9730,3655,0.00528821058756565,0.22917708229177083,0.9050496015321314,0.003798243871024186,0.29047095290470953,0.6822023643751424,-0.004116862026236397,0.7594240575942406,-0.8041226730593563,0.30446955304469553,0.9682539030479237,0.385628103856281,1.0,0.9023264340232643,1.0
phrase_full_signature_inventory_psalm,content_distance,11026,11026,0.02867753916237009,0.00019998000199980003,3.473432857669872,0.02995634873962068,0.00019998000199980003,3.643343637714543,nan,nan,nan,0.0003333000033330001,0.0013315292240510587,0.00029997000299970003,0.0011983763016459527,nan,nan
phrase_full_signature_inventory_psalm,structural_distance,11026,11026,1.936573679926362e-18,0.398960103989601,0.2131821401308866,1.732773697884534e-18,0.40475952404759524,0.19100245253316256,1.4053354665687564e-18,0.418958104189581,0.15537698949818743,0.62993700629937,1.0,0.674599206745992,1.0,0.775922407759224,1.0
phrase_full_signature_inventory_psalm,adjacent_similarity_distance,11026,11026,-5.060069546672221e-19,0.5082491750824918,-0.05552960683238228,5.400584658793861e-19,0.4570542945705429,0.07140886309454061,-1.8202068085826196e-18,0.565943405659434,-0.2158041341851089,0.6353114688531147,1.0,0.5713178682131786,1.0,0.6629337066293369,1.0
phrase_full_signature_inventory_psalm,step_magnitude_distance,11026,11026,0.0,1.0,nan,0.0,1.0,nan,0.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0
phrase_full_signature_inventory_psalm,turning_angle_distance,11026,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
phrase_function_1_2_3gram,content_distance,9730,9730,0.042142754323451936,0.00019998000199980003,4.096294846425159,0.043558816303792595,9.999000099990002e-05,4.255212499816027,nan,nan,nan,0.0003333000033330001,0.0013315292240510587,0.00018748125187481254,0.0007489851885287205,nan,nan
phrase_function_1_2_3gram,structural_distance,9730,9730,0.03274303102138304,9.999000099990002e-05,4.215116576593871,0.018958331046716237,0.0017998200179982,2.872794957409108,-0.0011519758905515392,0.6207379262073792,-0.3076415512057855,0.0003333000033330001,0.0013315292240510587,0.007124287571242876,0.028461437164091375,0.775922407759224,1.0
phrase_function_1_2_3gram,adjacent_similarity_distance,9730,9730,0.006573063967927034,0.000999900009999,3.1232051594233194,0.00569878199921834,0.0025997400259974,2.7500520285707544,0.002046386719653107,0.1322867713228677,1.1405127753988782,0.004285285757138571,0.017119661452085037,0.011141742968560285,0.04451111977542109,0.38976102389761025,1.0
