model,prevalence,point_ap,ap_ci_low,ap_ci_high,ap_ci_low_pct,ap_ci_high_pct,point_gap,gap_ci_low,gap_ci_high,gap_ci_low_pct,gap_ci_high_pct,point_auc,auc_ci_low,auc_ci_high,auc_ci_low_pct,auc_ci_high_pct,n_valid_resamples,n_valid_jackknife
homograph_binary,0.2497539149888143,0.2999913289298268,0.2616258449705098,0.3057283021146252,0.2935642017821465,0.4132679980485156,0.2335000968894503,0.0734376846720717,0.2904618494315688,0.1835775916188774,0.4751368205830669,0.569934070110321,0.5106604028356917,0.599306868216223,0.5424701869487762,0.6264030084013938,1000,150
homograph_count,0.2497539149888143,0.2997370933165092,0.2621463435684553,0.3066494695455194,0.2943227930779679,0.4118068537415629,0.2273553210782866,0.0861150237999792,0.2891478432152892,0.174302195850285,0.4621008018705681,0.568537175655365,0.5205977213781835,0.5987092848190664,0.5418563410639763,0.6247803881764412,1000,150
homograph_icf,0.2497539149888143,0.3241050009908309,0.2900347340102019,0.3358783873049952,0.3154243684094171,0.4369327361381507,0.3530814758637093,0.2773618551469021,0.3409905174733157,0.3792847116763479,0.673000264246826,0.6014048457145691,0.5473936705494247,0.630559465721938,0.5729174926877022,0.6543669357895852,1000,150
homograph_icf_position2,0.2497539149888143,0.3124503236936261,0.2838656207541553,0.3215406969640064,0.3053822026091115,0.4223910029564868,0.3237968798307615,0.2987855719292666,0.3018992635534632,0.4193504671104234,0.7380423227278865,0.5951727628707886,0.5380296835723816,0.6251215351714235,0.5661727532744407,0.6487105891108512,1000,150
homograph_icf_position2_psalm,0.2497539149888143,0.3124503244877918,0.2838697401827121,0.3215419040634947,0.3053883737340952,0.422395616728084,0.3237970642989802,0.2987857563974853,0.3018994111979777,0.4193501120091024,0.738042327339592,0.5951728224754333,0.5380297413992225,0.6251215367297449,0.5661727532744407,0.6487109377980232,1000,150
homograph_icf_position4,0.2497539149888143,0.3055565999506602,0.2812438960936402,0.310544095379981,0.3024308579028889,0.4135873667763687,0.3084501418849695,0.4079891726259303,0.4080902441585949,0.5217225511784527,0.8825747801405712,0.5950912833213806,0.537179358301907,0.6244313282353584,0.5641698196530343,0.6493379473686218,1000,150
homograph_icf_position4_psalm,0.2497539149888143,0.3055566204229005,0.2812467364187713,0.3105401082656935,0.3024291144575596,0.413631730327852,0.3084504192022541,0.4079891988865219,0.4080902705393031,0.5217225847595959,0.8825745794846815,0.5950912833213806,0.5371794363204602,0.6244309981444043,0.5641691222786903,0.6493381798267365,1000,150
homograph_icf_position8,0.2497539149888143,0.3068672243848668,0.2811317201326705,0.3100067443622544,0.3053934811601848,0.4147829323500634,0.3070766280346906,0.5999770729923583,0.6000953279601683,0.7109348988477031,1.1614224413788772,0.5970660448074341,0.5360843820849523,0.6290540622798653,0.5636022731661796,0.6540317580103874,1000,150
homograph_icf_position8_psalm,0.2497539149888143,0.3068670471062092,0.2811352624708018,0.310005768855456,0.3053929057473891,0.4147792907025792,0.3070768482443847,0.5999775120586346,0.6000957647736774,0.7109351385156011,1.1614227383631108,0.5970660448074341,0.5360843272006851,0.6290539962017017,0.5636022686958313,0.6540314629673958,1000,150
homograph_icf_position_mean,0.2497539149888143,0.3215983109450094,0.2890642244017133,0.3319666693204482,0.3134681530837428,0.4332780459419567,0.3547348631465183,0.296117368292959,0.3018774970453429,0.4067313969936889,0.7081804746594778,0.6029786467552185,0.5491922881130263,0.6327333020736597,0.573608173429966,0.6577597215771676,1000,150
