model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
homograph_binary,Hymn,136,2261,0.0567375886524822,0.0471569145293813,0.0480202873796102,0.0530790805591163,0.4468074440956116,0.3748372167390155,0.4830270353963815,0.9815402030944824,0.8710644677661169,1.0,2000,0.9999998807907104,1.0,0.9851997078383886,1.0,1.0,1.0
homograph_binary,Lament,1711,5369,0.2416666666666666,0.3005733969170279,0.2120061648605956,0.3516807615998545,0.5911003351211548,0.5325311036017836,0.6340951809900502,3.062630536604138e-30,0.0024987506246876,0.4202898550724637,2000,6.753492978152715e-30,3.4019813528400933e-29,0.0045721819941093285,0.023031752510988452,0.7491744323916473,1.0
homograph_binary,Praise,820,4469,0.1550387596899224,0.1781498334558436,0.133773122677981,0.2368512935788005,0.5305209755897522,0.4838130137425777,0.5979434416192201,0.0026951793115586,0.1639180409795102,0.9345327336331836,2000,0.004457411938346915,0.022453613774735637,0.2710952216199592,1.0,1.0,1.0
homograph_binary,Royal,45,1400,0.0311418685121107,0.0501815345918044,0.0667500793124719,0.0835932320564871,0.6057936549186707,0.5382352298966874,0.7200443842369595,0.0077854432165622,0.0654672663668165,0.3348325837081459,2000,0.040752367530431696,0.20528457624980995,0.2547262953888909,1.0,1.0,1.0
homograph_binary,Thanksgiving,28,1136,0.0240549828178694,0.0641278726293778,0.0288970753233864,0.1295605414903432,0.753206729888916,0.6768878538934551,0.8153776245964255,2.2924223230802454e-06,0.0024987506246876,0.0089955022488755,2000,2.0480209109842286e-05,0.00010316630182238972,0.007674734061540659,0.03866044171487347,0.031122369849557817,0.15677475674721023
homograph_binary,Trust,15,864,0.0170648464163822,0.0176880413814078,0.0084858451623293,0.1768660069125279,0.4861882627010345,0.3430876811928333,0.6236020257784709,0.5730420351028442,0.527736131934033,1.0,2000,0.9506499480052166,1.0,0.9359764562163363,1.0,1.0,1.0
homograph_binary,Wisdom,36,1269,0.0275862068965517,0.0665683551703991,0.0151636086315166,0.1139843324100537,0.7371508479118347,0.6120467358539206,0.7787298668164113,5.912724532208813e-07,0.0019990004997501,0.0139930034982508,2000,1.5408918477877511e-06,7.762035660472565e-06,0.0029137973386188258,0.0146778626171723,0.023442824042524193,0.11809007651088624
homograph_count,Hymn,136,2261,0.0567375886524822,0.0475704901242208,0.0489810319736874,0.0532442552325499,0.4435895085334778,0.3718062139509471,0.4883896708493933,0.9865471124649048,0.8925537231384307,1.0,2000,0.9999998807907104,1.0,0.9851997078383886,1.0,1.0,1.0
homograph_count,Lament,1711,5369,0.2416666666666666,0.3009538141808829,0.2096570960059108,0.3481366765586566,0.5906559228897095,0.534945094447153,0.6359416980361021,5.770923065361944e-30,0.0019990004997501,0.4147926036981509,2000,1.240748459052818e-29,6.250103664751775e-29,0.003907137340420698,0.01968167941848104,0.7491744323916473,1.0
homograph_count,Praise,820,4469,0.1550387596899224,0.1742955772416647,0.1303471747213571,0.2353188248344759,0.5258194804191589,0.4801649934627242,0.5897289817723511,0.0092844925820827,0.1999000499750124,0.9565217391304348,2000,0.01400818179051074,0.07056433373466973,0.30157802454704846,1.0,1.0,1.0
homograph_count,Royal,45,1400,0.0311418685121107,0.0502725925348052,0.0674873578694161,0.0834437320201749,0.6043333411216736,0.5462942265849543,0.7363779701425479,0.0085295652970671,0.0644677661169415,0.3423288355822089,2000,0.040752367530431696,0.20528457624980995,0.2547262953888909,1.0,1.0,1.0
homograph_count,Thanksgiving,28,1136,0.0240549828178694,0.058736419723928,0.0267614413780294,0.124331276942391,0.7274899482727051,0.6432209427727871,0.7846761078316289,1.9154638721374795e-05,0.0039980009995002,0.0179910044977511,2000,4.706568371537807e-05,0.00023708705832131113,0.010112590763441683,0.050940817318420886,0.041816929373151256,0.21064716350590518
homograph_count,Trust,15,864,0.0170648464163822,0.0179609415833814,0.0091089057004877,0.1765161950893313,0.5191357731819153,0.3870059270327894,0.6532382875151989,0.3997955918312073,0.3768115942028985,0.9825087456271864,2000,0.9506499480052166,1.0,0.9359764562163363,1.0,1.0,1.0
homograph_count,Wisdom,36,1269,0.0275862068965517,0.0673001571816338,0.0152948898574204,0.1129409118950964,0.7539839148521423,0.6154332224002174,0.8162656405390806,9.782917231859757e-08,0.000999500249875,0.0079960019990005,2000,6.471776014922608e-07,3.2600702175523343e-06,0.002743309196465597,0.01381905150659307,0.023442824042524193,0.11809007651088624
homograph_icf,Hymn,136,2261,0.0567375886524822,0.0535517114509889,0.0483822963238285,0.0574761993618483,0.4969040155410766,0.4223010136646981,0.53987775069824,0.5483563542366028,0.512743628185907,1.0,2000,0.7878041764100393,1.0,0.7237026647966339,1.0,1.0,1.0
