model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
lexeme_icf_position_mean_psalm,2791,8384,0.24975391498881433,0.4307028532860195,0.6795133741634096,2.1482721537723368e-178
homograph_icf_position_mean_psalm,2791,8384,0.24975391498881433,0.4202250576574798,0.6741719482059291,4.48979826794964e-168
word_cantillation_icf_position8,2791,8384,0.24975391498881433,0.3245992656573423,0.5871792443541263,9.790512067654948e-44
word_cantillation_icf_position8_psalm,2791,8384,0.24975391498881433,0.32459920235506046,0.587179201618616,9.791433363551173e-44
homograph_icf,2791,8384,0.24975391498881433,0.32410501933663616,0.6014048700703735,1.9553038815628666e-58
homograph_tf_icf,2791,8384,0.24975391498881433,0.32334150635981046,0.5998680156500857,9.670060840129012e-57
homograph_icf_position_mean,2791,8384,0.24975391498881433,0.32159830553283286,0.6029786052360231,3.3863804979567087e-60
lexeme_icf,2791,8384,0.24975391498881433,0.32142564055449385,0.5977811979481485,1.757210106242969e-54
lexeme_tf_icf,2791,8384,0.24975391498881433,0.32064719962661314,0.5964720810620834,4.345561051090237e-53
lexeme_icf_position_mean,2791,8384,0.24975391498881433,0.3189945078037607,0.5995478839426619,2.1632603064441865e-56
homograph_icf_position2_psalm,2791,8384,0.24975391498881433,0.31245034205058797,0.5951727933433801,1.005528371012964e-51
homograph_icf_position2,2791,8384,0.24975391498881433,0.3124503118471234,0.5951727078723597,1.005734796863219e-51
lexeme_icf_position2,2791,8384,0.24975391498881433,0.30974412623688946,0.5914951035361754,5.818540247222216e-48
lexeme_icf_position2_psalm,2791,8384,0.24975391498881433,0.3097441071323929,0.5914950608006652,5.819114586896329e-48
lexeme_icf_position8,2791,8384,0.24975391498881433,0.30836797212467965,0.5974695919750234,3.785627810499094e-54
lexeme_icf_position8_psalm,2791,8384,0.24975391498881433,0.3083679151530051,0.597469549239513,3.786025665958548e-54
homograph_icf_position8,2791,8384,0.24975391498881433,0.30686722234491537,0.5970659978160445,1.0192491532447091e-53
homograph_icf_position8_psalm,2791,8384,0.24975391498881433,0.30686716790119584,0.5970659123450239,1.0194625231325956e-53
word_cantillation_icf_position4,2791,8384,0.24975391498881433,0.30663564828224965,0.5812593077941366,2.905065864404934e-38
word_cantillation_icf_position4_psalm,2791,8384,0.24975391498881433,0.30663564101207896,0.5812593077941366,2.905065864404934e-38
homograph_icf_position4_psalm,2791,8384,0.24975391498881433,0.305556606211975,0.595091211254277,1.2230650666109995e-51
homograph_icf_position4,2791,8384,0.24975391498881433,0.3055565992912112,0.595091211254277,1.2230650666109995e-51
lexeme_icf_position4,2791,8384,0.24975391498881433,0.30469201553412717,0.5934382444525889,6.240397567791915e-50
lexeme_icf_position4_psalm,2791,8384,0.24975391498881433,0.30469198298834654,0.5934382017170786,6.241026510711456e-50
homograph_log_count,2791,8384,0.24975391498881433,0.30041343889576955,0.5694956748244767,1.6058252539459389e-28
homograph_binary,2791,8384,0.24975391498881433,0.299991008583523,0.5699340984243246,7.404564596816901e-29
homograph_count,2791,8384,0.24975391498881433,0.29973716131129824,0.5685373310066982,8.577187294424393e-28
lexeme_log_count,2791,8384,0.24975391498881433,0.29716402759998706,0.5653290480442863,1.9814528018397537e-25
lexeme_count,2791,8384,0.24975391498881433,0.29706961260875386,0.565073062337776,3.0253768168810054e-25
lexeme_binary,2791,8384,0.24975391498881433,0.29635209013316216,0.5653422105814491,1.938715023546452e-25
word_cantillation_icf_position2,2791,8384,0.24975391498881433,0.29570476590457295,0.5777985861725666,3.0554038405854996e-35
word_cantillation_icf_position2_psalm,2791,8384,0.24975391498881433,0.29570474499261434,0.5777985861725666,3.0554038405854996e-35
word_cantillation_icf,2791,8384,0.24975391498881433,0.2892431439481046,0.5654388783056772,1.6516164373580243e-25
word_cantillation_count,2791,8384,0.24975391498881433,0.28096052754356093,0.544320378034905,1.0691046070782406e-12
word_cantillation_binary,2791,8384,0.24975391498881433,0.27704370818074986,0.542619889345798,7.111388332227798e-12
homograph_icf_spacing8,509,1636,0.2372960372960373,0.27114136786471044,0.5522393974474136,0.00018215632771975058
homograph_icf_spacing8_psalm,2791,8384,0.24975391498881433,0.2706496190554492,0.5394320125895394,2.0481693919395014e-10
lexeme_icf_spacing8_psalm,2791,8384,0.24975391498881433,0.2672060469920022,0.5325707836803685,1.2167551237628707e-07
homograph_icf_spacing4,509,1636,0.2372960372960373,0.2595298555352773,0.538404081064074,0.004389057728133277
lexeme_icf_spacing4_psalm,2791,8384,0.24975391498881433,0.2559082191478933,0.5189308053968453,0.001346829484920897
homograph_icf_spacing2,509,1636,0.2372960372960373,0.25419689008600976,0.5168086905145042,0.12570104152765305
homograph_icf_spacing4_psalm,2791,8384,0.24975391498881433,0.2535315219344948,0.516115731864417,0.0053173332534656465
homograph_icf_spacing2_psalm,2791,8384,0.24975391498881433,0.2519419581511503,0.5044021849127922,0.2426570751339378
lexeme_icf_spacing2_psalm,2791,8384,0.24975391498881433,0.2511365972068838,0.5033727292059264,0.2964620724214755
