model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
sp_1_2gram,Hymn,136,2261,0.0567375886524822,0.0509316248944662,0.0235144015681493,0.0474678266056337,0.4765102565288543,0.3788314922356485,0.5419393919211627,0.8216045498847961,0.6816591704147926,1.0,2000,1.0,1.0,1.0,1.0,1.0,1.0
sp_1_2gram,Lament,1711,5369,0.2416666666666666,0.3505980543950043,0.2317650997194168,0.4210524028237402,0.6649352312088013,0.5874901093771715,0.7241321232685116,0.0,0.0004997501249375,0.0844577711144427,2000,0.0,0.0,0.0006809095452273,0.0043365114181751,0.3757579808821703,1.0
sp_1_2gram,Praise,820,4469,0.1550387596899224,0.1659012664414528,0.1241600855193722,0.1873860914634892,0.5286705493927002,0.4606201182806637,0.5832823165997925,0.0044742040336132,0.1744127936031984,0.9435282358820588,2000,0.008813642885491,0.0561314836552729,0.3522789503451867,1.0,1.0,1.0
sp_1_2gram,Royal,45,1400,0.0311418685121107,0.0475615688183598,0.0072305341264243,0.0481320796727676,0.5901587009429932,0.414192563244199,0.6993233840345956,0.0196360535919666,0.0849575212393803,0.408295852073963,2000,0.0419672517945952,0.2672770089247606,0.1962845392945985,1.0,0.783626957852132,1.0
sp_1_2gram,Thanksgiving,28,1136,0.0240549828178694,0.0331426563866268,0.0091805337192227,0.1008241947395208,0.6479816436767578,0.5086536169399529,0.7459918419401087,0.0036999597214162,0.0339830084957521,0.1264367816091954,2000,0.0048983272425226,0.031195996834006,0.0440969991194878,0.2808407394627727,0.1694460146975692,1.0
sp_1_2gram,Trust,15,864,0.0170648464163822,0.0209607656851943,0.0069643402948804,0.1260710802486875,0.5722222328186035,0.3634780575872931,0.6890805481343886,0.1686280965805053,0.1949025487256371,0.5642178910544727,2000,0.4624827067057291,1.0,0.4886206896551724,1.0,1.0,1.0
sp_1_2gram,Wisdom,36,1269,0.0275862068965517,0.0526282978503397,0.007842442114387,0.1025406196336549,0.6012608408927917,0.4287550229890059,0.6968337353199473,0.0190203823149204,0.0844577711144427,0.3268365817091454,2000,0.0314124495807018,0.2000565967012187,0.1408510030698935,0.8970383619310919,0.5582185542742647,1.0
sp_1_2gram_psalm,Hymn,136,2261,0.0567375886524822,0.0448064904389909,0.0195363025385008,0.0215424626731291,0.4178851246833801,0.3348628212232223,0.4696350031371348,0.9993616938591005,0.9730134932533732,1.0,2000,1.0,1.0,1.0,1.0,1.0,1.0
sp_1_2gram_psalm,Lament,1711,5369,0.2416666666666666,0.3509797718951427,0.2318733086582909,0.4210333636952524,0.664698600769043,0.5891215085106785,0.7228210420468892,0.0,0.0004997501249375,0.0854572713643178,2000,0.0,0.0,0.0006809095452273,0.0043365114181751,0.3757579808821703,1.0
sp_1_2gram_psalm,Praise,820,4469,0.1550387596899224,0.1676240083146742,0.1265017525372058,0.1873394747916214,0.5295296907424927,0.4648908828280574,0.5824121433858095,0.0035474824253469,0.1754122938530734,0.9400299850074962,2000,0.0072957657426945,0.0464645732598165,0.3522789503451867,1.0,1.0,1.0
sp_1_2gram_psalm,Royal,45,1400,0.0311418685121107,0.0500364196931743,0.0070631376725561,0.0624285547010046,0.6275237798690796,0.4441035831397601,0.7233350067540413,0.0017745272489264,0.0349825087456271,0.1949025487256371,2000,0.0244285764996535,0.1555783755170253,0.1962845392945985,1.0,0.783626957852132,1.0
sp_1_2gram_psalm,Thanksgiving,28,1136,0.0240549828178694,0.0320838500582984,0.008034790140611,0.1035380113385255,0.6236795783042908,0.4584714935930671,0.701006152064149,0.0125973364338278,0.0559720139930035,0.2158920539730135,2000,0.0148177302656895,0.0943697396210594,0.065367316341829,0.4163050961448163,0.2530347729361126,1.0
sp_1_2gram_psalm,Trust,15,864,0.0170648464163822,0.0236237033381325,0.0076051152617945,0.1260722690783239,0.6195216178894043,0.4298421383557606,0.7212359508943799,0.0560987256467342,0.0889555222388805,0.2348825587206396,2000,0.433536544272845,1.0,0.4886206896551724,1.0,1.0,1.0
sp_1_2gram_psalm,Wisdom,36,1269,0.0275862068965517,0.0515787643062684,0.0078378155180862,0.0994566247853842,0.6021364331245422,0.4241221619780461,0.6823884437802445,0.0182034280151128,0.0814592703648176,0.3313343328335832,2000,0.0303700049027647,0.1934175749980044,0.1408510030698935,0.8970383619310919,0.5582185542742647,1.0
