model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
phrase_marginal_typ_function,2471,7399,0.250354609929078,0.3567816811316893,0.627444541298607,8.52382860716645e-81
phrase_signature_inventory,2471,7399,0.250354609929078,0.3566470558023646,0.6299842328327151,5.84364882046356e-84
phrase_full_signature_inventory,2471,7399,0.250354609929078,0.3561504450639613,0.6307039205807778,7.224451371642604e-85
phrase_signature_1_2gram,2471,7399,0.250354609929078,0.3541186363043094,0.6270717345125608,2.4538696368847364e-80
phrase_function_1gram,2471,7399,0.250354609929078,0.35388716883136506,0.6234410799276199,6.195420548136668e-76
phrase_function_1_2gram,2471,7399,0.250354609929078,0.34863010804257466,0.6150578498663972,2.9662959429694726e-66
phrase_signature_inventory_psalm,2791,8384,0.24975391498881433,0.3445337231888075,0.6084824261325252,1.4373353055420567e-66
phrase_signature_1_2_3gram,2471,7399,0.250354609929078,0.3443282404297444,0.6224095712453951,1.0462744061237684e-74
phrase_marginal_typ_function_psalm,2791,8384,0.24975391498881433,0.34287247617009614,0.6090472186362381,3.05506440841624e-67
phrase_function_1gram_psalm,2791,8384,0.24975391498881433,0.3412251806159638,0.6050379440048574,1.5277509513164177e-62
phrase_signature_1_2gram_psalm,2791,8384,0.24975391498881433,0.33895802517441886,0.6117959666567292,1.4533283814263958e-70
phrase_function_1_2_3gram,2471,7399,0.250354609929078,0.33824925424169516,0.6102512349088048,5.217289111402685e-61
phrase_function_1_2gram_psalm,2791,8384,0.24975391498881433,0.3335361492904111,0.6058079951643915,1.9728023749925695e-63
phrase_full_signature_inventory_psalm,2791,8384,0.24975391498881433,0.332578471984468,0.6024652235511636,1.28032942123083e-59
phrase_signature_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.3291481610085206,0.6084616139390243,1.5215083693196207e-66
phrase_subphrase_rela_1gram,0,0,nan,nan,nan,nan
phrase_typ_1_2_3gram,2471,7399,0.250354609929078,0.3320016709019235,0.606586012558491,3.6966049722790453e-57
phrase_typ_1_2gram,2471,7399,0.250354609929078,0.32827023090800084,0.6035281874146096,4.8000544067228435e-54
phrase_function_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.32486535211577255,0.604088660115256,1.8666364529269057e-61
phrase_typ_1gram,2471,7399,0.250354609929078,0.3199532169630928,0.5998386801152047,2.0806837774485018e-50
phrase_typ_1_2_3gram_psalm,2791,8384,0.24975391498881433,0.3192509438164177,0.5992084357845966,5.066067463068021e-56
phrase_typ_1_2gram_psalm,2791,8384,0.24975391498881433,0.31749295730951216,0.5936176908602077,4.0855778726430465e-50
phrase_complexity_core,2471,7399,0.250354609929078,0.3112077087013088,0.6083549304381153,5.316961121501708e-59
phrase_typ_1gram_psalm,2791,8384,0.24975391498881433,0.3090953506510331,0.5817297830266861,1.1024812324299312e-38
phrase_complexity_core_psalm,2791,8384,0.24975391498881433,0.3047259191729176,0.5971393105839107,8.516804307026876e-54
phrase_det_1gram,2471,7399,0.250354609929078,0.30021125670836735,0.5818060114984859,1.6320241913016187e-34
phrase_det_1gram_psalm,2791,8384,0.24975391498881433,0.2802087154956199,0.5545894433716881,2.5104424452376432e-18
phrase_rela_1gram,2471,7399,0.250354609929078,0.276644271197076,0.5526802352073894,2.017471568361822e-15
phrase_signature_posmean,2791,8384,0.24975391498881433,0.275824296651701,0.5476913764526654,2.023224694567434e-14
phrase_rela_1gram_psalm,2791,8384,0.24975391498881433,0.26200682292632815,0.5307781144956116,5.341831926874638e-07
phrase_subphrase_rela_1gram_psalm,2733,8293,0.2478686740431707,0.24805521852959087,0.5062905781214889,0.16159278541627498
