model,genre,n_same_genre,n_different_genre,prevalence,average_precision,ap_ci_low,ap_ci_high,separation_auc,auc_ci_low,auc_ci_high,separation_p_naive,separation_p_perm,separation_p_maxT,n_permutations,naive_q,naive_q_by,perm_q,perm_q_by,maxT_q,maxT_q_by
phrase_function_1_2_3gram,Hymn,136,2108,0.06060606060606061,0.05004977181528748,0.029999028524137713,0.034800841278298494,0.4284169673919678,0.3298675539209328,0.506886794934964,0.9974626898765564,0.9445277361319341,1.0,2000,1.0,1.0,1.0,1.0,1.0,1.0
phrase_function_1_2_3gram,Lament,1596,4788,0.25,0.3830275728437823,0.27241021158528345,0.4645728061809695,0.6821026802062988,0.6148315559548712,0.7495037495300971,0.0,0.0004997501249375312,0.06996501749125437,2000,0.0,0.0,0.0005451819544773067,0.0036083742019672915,0.16774039758363496,1.0
phrase_function_1_2_3gram,Praise,630,3780,0.14285714285714285,0.13153327945133184,0.08718759252974824,0.14025914101475692,0.44876059889793396,0.3928541428790858,0.49994538629914803,0.9999814033508301,0.9340329835082459,1.0,2000,1.0,1.0,0.9980009995002499,1.0,1.0,1.0
phrase_function_1_2_3gram,Royal,45,1310,0.033210332103321034,0.04291979545790277,0.010323045806706862,0.06717142438871848,0.5648854970932007,0.3943566674799341,0.6621584853700773,0.0691949725151062,0.1519240379810095,0.6656671664167916,2000,0.11645610648322391,0.7707834179847428,0.2617610113861988,1.0,1.0,1.0
phrase_function_1_2_3gram,Thanksgiving,21,938,0.021897810218978103,0.03365259992360043,0.008368315439057578,0.12782467336548925,0.642806351184845,0.4486889088495389,0.727752238056466,0.01253066398203373,0.049475262368815595,0.16541729135432284,2000,0.01507988215602913,0.09980861856055323,0.0600566768638802,0.3974947477109345,0.2043390069671047,1.0
phrase_function_1_2_3gram,Trust,15,810,0.01818181818181818,0.014451244286814937,0.0059189255410607615,0.11876907845052023,0.38320988416671753,0.21746842790230786,0.42035103715342964,0.9396929144859314,0.9185407296351824,1.0,2000,0.9626190986724343,1.0,0.9485641794487372,1.0,1.0,1.0
phrase_function_1_2_3gram,Wisdom,28,1064,0.02564102564102564,0.04376776498321172,0.006373977706186742,0.0991698307703658,0.5905276536941528,0.2852450693265161,0.6772689677964963,0.05082214996218681,0.12193903048475763,0.4587706146926537,2000,0.052574637891917395,0.3479736728058988,0.12491315317950781,0.826757737884896,0.46881668654723735,1.0
phrase_full_signature_inventory,Hymn,136,2108,0.06060606060606061,0.05091115332111627,0.033708401901468496,0.03758350662456483,0.4212070405483246,0.3335351042518533,0.4920585022994372,0.9989805221557617,0.9695152423788106,1.0,2000,1.0,1.0,1.0,1.0,1.0,1.0
phrase_full_signature_inventory,Lament,1596,4788,0.25,0.4017420946805766,0.29926070893694107,0.48300542477009895,0.7054033279418945,0.6415668352606702,0.7651800851431603,0.0,0.0004997501249375312,0.038980509745127435,2000,0.0,0.0,0.0005451819544773067,0.0036083742019672915,0.16774039758363496,1.0
phrase_full_signature_inventory,Praise,630,3780,0.14285714285714285,0.12728915662954388,0.0879186974845504,0.13709871385342642,0.4443642497062683,0.38884338356156684,0.49341297324568845,0.9999962449073792,0.9505247376311844,1.0,2000,1.0,1.0,0.9980009995002499,1.0,1.0,1.0
