model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
gemini_embedding_2_cantillation,2791,8384,0.24975391498881433,0.40002775141516395,0.35905763724476825,-0.11952357550444102,0.4785812127492093,0.666250467300415,0.0
gemini_embedding_2_vocalized,2791,8384,0.24975391498881433,0.3963860301552009,0.35836518893622976,-0.11929666818902498,0.4776618571252548,0.6624061465263367,0.0
berel_consonantal,2791,8384,0.24975391498881433,0.39391850511200305,0.3659246359962827,-0.12181013886774768,0.4877347748640304,0.6640867590904236,0.0
kalm_embedding_gemma3_12b_2511_cantillation,2791,8384,0.24975391498881433,0.3875641910972748,0.30520027679725553,-0.10159952903153534,0.4067998058287909,0.6574938893318176,0.0
f2llm_v2_14b_vocalized,2791,8384,0.24975391498881433,0.38601420060303104,0.3752506089503012,-0.12491937265866884,0.5001699816089701,0.6517004370689392,0.0
f2llm_v2_14b_cantillation,2791,8384,0.24975391498881433,0.3856488801831126,0.375434932552025,-0.1249802045166214,0.5004151370686464,0.6515205502510071,0.0
harrier_oss_v1_27b_cantillation,2791,8384,0.24975391498881433,0.3844801585740286,0.30919154071168625,-0.10292561404622644,0.41211715475791266,0.653065025806427,0.0
harrier_oss_v1_27b_vocalized,2791,8384,0.24975391498881433,0.382811235480615,0.28844525372089747,-0.0960118851224717,0.3844571388433692,0.6497822999954224,0.0
kalm_embedding_gemma3_12b_2511_vocalized,2791,8384,0.24975391498881433,0.38190058985141806,0.29167420691490237,-0.09709503144730565,0.388769238362208,0.6533582806587219,0.0
gemini_embedding_2_consonantal,2791,8384,0.24975391498881433,0.37653490708807136,0.3182519946974891,-0.10594555508727162,0.4241975497847607,0.6481342911720276,0.0
bge_multilingual_gemma2_cantillation,2791,8384,0.24975391498881433,0.37592577777094666,0.3318136661765758,-0.11046018425874256,0.44227385043531836,0.6529811024665833,0.0
bge_multilingual_gemma2_vocalized,2791,8384,0.24975391498881433,0.37217848021932026,0.3162121198819667,-0.10526742397939985,0.42147954386136655,0.6484016180038452,0.0
neodictabert_consonantal,2791,8384,0.24975391498881433,0.3668685219879783,0.3284334808674089,-0.10933337277649577,0.43776685364390466,0.6421824097633362,0.0
harrier_oss_v1_27b_consonantal,2791,8384,0.24975391498881433,0.3654097872928639,0.24309079486246354,-0.08091067243225732,0.32400146729472085,0.6344091892242432,0.0
f2llm_v2_14b_consonantal,2791,8384,0.24975391498881433,0.36274314188914797,0.31990964420947493,-0.10649587003218107,0.426405514241656,0.6396697163581848,0.0
qwen3_embedding_8b_vocalized,2791,8384,0.24975391498881433,0.36210663334636467,0.28902857205529564,-0.09621518238186655,0.3852437544371622,0.6363664269447327,0.0
kalm_embedding_gemma3_12b_2511_consonantal,2791,8384,0.24975391498881433,0.36130752491759605,0.2409015819520911,-0.08018524382980578,0.3210868257818969,0.633229672908783,0.0
qwen3_embedding_8b_cantillation,2791,8384,0.24975391498881433,0.3609901970144962,0.2882429558448826,-0.09595653865208949,0.38419949449697205,0.6342535018920898,0.0
voyage_4_cantillation,2791,8384,0.24975391498881433,0.3588578278724094,0.2743538426559568,-0.09133208889273496,0.3656859315486918,0.6343651413917542,0.0
voyage_4_vocalized,2791,8384,0.24975391498881433,0.35790371289699763,0.2681387971360792,-0.08926201594359598,0.3574008130796752,0.6338463425636292,0.0
openai_text_embedding_3_large_cantillation,2791,8384,0.24975391498881433,0.3577842161197134,0.3012159035018266,-0.10027468825138933,0.4014905917532159,0.6326069235801697,0.0
openai_text_embedding_3_large_vocalized,2791,8384,0.24975391498881433,0.35776507618414877,0.2962653436089135,-0.09862317818277841,0.39488852179169187,0.6335868239402771,0.0
alephbert_consonantal,2791,8384,0.24975391498881433,0.35018650929124245,0.2919345845624485,-0.09718051476701392,0.3891150993294624,0.6293949484825134,0.0
llama_embed_nemotron_8b_vocalized,2791,8384,0.24975391498881433,0.3484786942726099,0.19918656098422222,-0.06630088926400413,0.26548745024822634,0.619215726852417,0.0
llama_embed_nemotron_8b_cantillation,2791,8384,0.24975391498881433,0.3452416333174685,0.1887195195889131,-0.06284130972236215,0.2515608293112752,0.6170899271965027,0.0
bge_multilingual_gemma2_consonantal,2791,8384,0.24975391498881433,0.3444665547909333,0.24652529825901154,-0.08206640934206406,0.3285917076010756,0.6244845986366272,0.0
voyage_4_consonantal,2791,8384,0.24975391498881433,0.3426869617022529,0.26720664305346825,-0.08895447632068292,0.3561611193741512,0.621433436870575,0.0
openai_text_embedding_3_large_consonantal,2791,8384,0.24975391498881433,0.3369940777826935,0.2501598105566654,-0.0832749504632135,0.3334347610198789,0.6180405020713806,0.0
llama_embed_nemotron_8b_consonantal,2791,8384,0.24975391498881433,0.33594328814389346,0.20106211901265686,-0.06692942539109926,0.2679915444037561,0.6126382350921631,0.0
bge_m3_vocalized,2791,8384,0.24975391498881433,0.332261088824606,0.2610850045449711,-0.08691462708033318,0.34799963162530423,0.6157965064048767,0.0
bge_m3_consonantal,2791,8384,0.24975391498881433,0.32917419977447204,0.25188433983263225,-0.08385214665971542,0.33573648649234766,0.6134638786315918,0.0
cohere_embed_v4_consonantal,2791,8384,0.24975391498881433,0.3279815050514262,0.24564378094329004,-0.08177381662900678,0.3274175975722968,0.6081793308258057,0.0
bge_m3_cantillation,2791,8384,0.24975391498881433,0.32759243237976704,0.22201732721389147,-0.07390958777738034,0.2959269149912718,0.6083663105964661,0.0
qwen3_embedding_8b_consonantal,2791,8384,0.24975391498881433,0.3275069101334438,0.21725923320231058,-0.07232465356603526,0.28958388676834584,0.6025128960609436,0.0
me5_large_instruct_cantillation,2791,8384,0.24975391498881433,0.32464444441036133,0.213975952625784,-0.07120854192509934,0.28518449455088335,0.6075556874275208,0.0
me5_large_instruct_consonantal,2791,8384,0.24975391498881433,0.32381924126120554,0.21688233036671664,-0.07220268028500647,0.2890850106517231,0.6060861945152283,0.0
me5_large_instruct_vocalized,2791,8384,0.24975391498881433,0.32215877304714263,0.20204031874666833,-0.06727901962288452,0.26931933836955285,0.6029365062713623,0.0
cohere_embed_v4_cantillation,2791,8384,0.24975391498881433,0.3182951422622885,0.20405367331219526,-0.06792894560850588,0.27198261892070114,0.5993174314498901,0.0
cohere_embed_v4_vocalized,2791,8384,0.24975391498881433,0.31520976319890176,0.18983513790951156,-0.06319412562738898,0.25302926353690053,0.5937886238098145,0.0
miqrabert_consonantal,2791,8384,0.24975391498881433,0.3017185601532547,0.08939159846108827,-0.02975851724453652,0.11915011570562478,0.5690627098083496,3.4328875516238823e-28
gte_multilingual_base_vocalized,2791,8384,0.24975391498881433,0.292463690740907,0.13005627887287355,-0.04329062503997816,0.1733469039128517,0.5696069002151489,1.320047670951945e-28
gte_multilingual_base_cantillation,2791,8384,0.24975391498881433,0.2841544817571418,0.1074321634143804,-0.035762417595486984,0.14319458100986737,0.5655978918075562,1.2682049619670896e-25
gte_multilingual_base_consonantal,2791,8384,0.24975391498881433,0.275199949792457,0.08695865754770057,-0.028959844096868435,0.11591850164456902,0.5574302077293396,4.386207593006258e-20
