model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
homograph_log_count,1110,2784,0.2850539291217257,0.344387131839122,0.7332470123077631,0.3571501928932802,0.3760968194144829,0.5607553124427795,3.684219596067351e-11
homograph_count,1110,2784,0.2850539291217257,0.3441843556705556,0.7204753487428782,0.3498601713413927,0.3706151774014855,0.5611588358879089,2.757904668526656e-11
word_consonantal_log_count,1110,2784,0.2850539291217257,0.3439975158024724,0.77254411552913,0.37000270715924083,0.4025414083698892,0.558447539806366,5.553741841413107e-11
word_consonantal_binary,1110,2784,0.2850539291217257,0.34390940073311405,0.791871040020383,0.37701407701329015,0.41485696300709285,0.5599919557571411,1.7690534800940405e-11
word_consonantal_count,1110,2784,0.2850539291217257,0.3433426764333871,0.7570030885853036,0.3634878872662541,0.39351520131904955,0.5585854053497314,5.0216747427000996e-11
homograph_binary,1110,2784,0.2850539291217257,0.3428615658244038,0.7462048597297085,0.3649737334111602,0.3812311263185483,0.5613254904747009,2.4323263889125535e-11
word_consonantal_tf_icf,1110,2784,0.2850539291217257,0.342646235626039,1.239165909491155,0.5458241065585306,0.6933418029326243,0.5616694688796997,5.051078912771123e-12
word_consonantal_icf,1110,2784,0.2850539291217257,0.34256687886622367,1.238346514159728,0.5501712047511473,0.6881753094085807,0.5625917315483093,2.4784020322132783e-12
word_consonantal_icf_position_mean,1110,2784,0.2850539291217257,0.34246570993496706,1.566544255225575,0.7552863072790208,0.8112579479465543,0.5625919103622437,2.478085662019347e-12
lexeme_log_count,1110,2784,0.2850539291217257,0.3424556828696641,0.7347779319923522,0.3603426667726352,0.374435265219717,0.5607925057411194,3.1607907263753177e-11
lexeme_binary,1110,2784,0.2850539291217257,0.342186695322478,0.7519904924540944,0.3679927845394128,0.3839977079146816,0.5618016719818115,1.5122814459034295e-11
lexeme_count,1110,2784,0.2850539291217257,0.34196016217576286,0.7201352525161885,0.3531002380125003,0.3670350145036882,0.5609573721885681,2.8059053344686724e-11
