model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
word_cantillation_icf_position_mean_psalm,1110,1.0,1.0,1.4582538428295067e-16,0.04618982598185539,0.12281080335378647,3416,7.766500568117463,48,1.0,7.766500568117463,26,1.0,7.766500568117463,27,1.0,7.766500568117463,495,1.0,7.766500568117463,514,1.0,7.766500568117463
word_cantillation_icf_position8_psalm,1110,1.0,1.0,1.3536011433213367e-16,0.038804393261671066,0.12401396036148071,3416,7.750704871746685,48,1.0,7.750704871746685,26,1.0,7.750704871746685,27,1.0,7.750704871746685,495,1.0,7.750704871746685,514,1.0,7.750704871746685
word_vocalized_icf_position_mean_psalm,1110,1.0,1.0,1.4722740151233005e-16,0.0625777393579483,0.1213872879743576,3416,7.722573560092034,48,1.0,7.722573560092034,26,1.0,7.722573560092034,27,1.0,7.722573560092034,495,1.0,7.722573560092034,514,1.0,7.722573560092034
word_vocalized_icf_position8_psalm,1110,1.0,1.0,1.3136335981433191e-16,0.05539803206920624,0.12286683917045593,3416,7.688013904389012,48,1.0,7.688013904389012,26,1.0,7.688013904389012,27,1.0,7.688013904389012,495,1.0,7.688013904389012,514,1.0,7.688013904389012
word_consonantal_icf_position_mean_psalm,1110,1.0,1.0,1.2944740846916225e-16,0.07335873693227768,0.12086880952119827,3416,7.666504425239712,48,1.0,7.666504425239712,26,1.0,7.666504425239712,27,1.0,7.666504425239712,495,1.0,7.666504425239712,514,1.0,7.666504425239712
word_cantillation_icf_position4_psalm,1110,1.0,1.0,1.58522538172346e-16,0.056984953582286835,0.1232243999838829,3416,7.652827252890292,48,1.0,7.652827252890292,26,1.0,7.652827252890292,27,1.0,7.652827252890292,495,1.0,7.652827252890292,514,1.0,7.652827252890292
word_vocalized_icf_position4_psalm,1110,1.0,1.0,1.2361123838179464e-16,0.08434389531612396,0.12217042595148087,3416,7.4949080151977405,48,1.0,7.4949080151977405,26,1.0,7.4949080151977405,27,1.0,7.4949080151977405,495,1.0,7.4949080151977405,514,1.0,7.4949080151977405
word_consonantal_icf_position8_psalm,1110,1.0,1.0,1.289747358556528e-16,0.09100838750600815,0.12214767187833786,3416,7.441743248282049,48,1.0,7.441743248282049,26,1.0,7.441743248282049,27,1.0,7.441743248282049,495,1.0,7.441743248282049,514,1.0,7.441743248282049
word_cantillation_icf_position2_psalm,1110,1.0,1.0,1.191280868733355e-16,0.08872571587562561,0.12302535027265549,3416,7.407207393474261,48,1.0,7.407207393474261,26,1.0,7.407207393474261,27,1.0,7.407207393474261,495,1.0,7.407207393474261,514,1.0,7.407207393474261
lexeme_icf_position_mean_psalm,1110,1.0,1.0,1.4043333874306804e-16,0.1359357684850692,0.1172399520874023,3416,7.370049340098426,48,1.0,7.370049340098426,26,1.0,7.370049340098426,27,1.0,7.370049340098426,495,1.0,7.370049340098426,514,1.0,7.370049340098426
homograph_icf_position_mean_psalm,1110,1.0,1.0,1.4043333874306804e-16,0.1528154760599136,0.1160852536559104,3416,7.297951266499661,48,1.0,7.297951266499661,26,1.0,7.297951266499661,27,1.0,7.297951266499661,495,1.0,7.297951266499661,514,1.0,7.297951266499661
lexeme_icf_position8_psalm,1110,1.0,1.0,1.2189244742205171e-16,0.1271625459194183,0.122414506971836,3416,7.130179875506058,48,1.0,7.130179875506058,26,1.0,7.130179875506058,27,1.0,7.130179875506058,495,1.0,7.130179875506058,514,1.0,7.130179875506058
word_vocalized_icf_position2_psalm,1110,1.0,1.0,1.4730280607630687e-16,0.13151311874389648,0.12276912480592728,3416,7.074147369128863,48,1.0,7.074147369128863,26,1.0,7.074147369128863,27,1.0,7.074147369128863,495,1.0,7.074147369128863,514,1.0,7.074147369128863
homograph_icf_position8_psalm,1110,1.0,1.0,1.4141829497643002e-16,0.1361548155546188,0.1224122419953346,3416,7.056852896120504,48,1.0,7.056852896120504,26,1.0,7.056852896120504,27,1.0,7.056852896120504,495,1.0,7.056852896120504,514,1.0,7.056852896120504
word_consonantal_icf_position4_psalm,1110,1.0,1.0,1.2910381819240377e-16,0.1411975473165512,0.12302476167678833,3416,6.980728440179398,48,1.0,6.980728440179398,26,1.0,6.980728440179398,27,1.0,6.980728440179398,495,1.0,6.980728440179398,514,1.0,6.980728440179398
lexeme_icf_position4_psalm,1110,1.0,1.0,1.232063233191193e-16,0.1938487738370895,0.1239895522594451,3416,6.501767378561527,48,1.0,6.501767378561527,26,1.0,6.501767378561527,27,1.0,6.501767378561527,495,1.0,6.501767378561527,514,1.0,6.501767378561527
homograph_icf_position4_psalm,1110,1.0,1.0,1.2974730357878891e-16,0.2070512175559997,0.124013103544712,3416,6.394072559905801,48,1.0,6.394072559905801,26,1.0,6.394072559905801,27,1.0,6.394072559905801,495,1.0,6.394072559905801,514,1.0,6.394072559905801
word_consonantal_icf_position2_psalm,1110,1.0,1.0,1.4200598955026418e-16,0.21501295268535614,0.12560239434242249,3416,6.249777732537323,48,1.0,6.249777732537323,26,1.0,6.249777732537323,27,1.0,6.249777732537323,495,1.0,6.249777732537323,514,1.0,6.249777732537323
lexeme_icf_position2_psalm,1110,1.0,1.0,1.397198709332151e-16,0.284987062215805,0.1260717213153839,3416,5.6714775551886225,48,1.0,5.6714775551886225,26,1.0,5.6714775551886225,27,1.0,5.6714775551886225,495,1.0,5.6714775551886225,514,1.0,5.6714775551886225
homograph_icf_position2_psalm,1110,1.0,1.0,1.3399967664501334e-16,0.3022784888744354,0.1257134824991226,3416,5.550092935580192,48,1.0,5.550092935580192,26,1.0,5.550092935580192,27,1.0,5.550092935580192,495,1.0,5.550092935580192,514,1.0,5.550092935580192
word_cantillation_icf_position8,1110,0.02590301816894443,0.0,0.10820330333215925,0.0005857128999195993,0.00977405346930027,3416,2.590256473278462,48,0.02449395979167802,2.4460933190976317,26,0.13145589780370157,13.389550744206337,27,0.013680900481768532,1.3397908680344497,495,0.020771012976968314,2.065192311506128,514,0.02627967124129274,2.628792488405794
word_consonantal_icf_position8,1110,0.05229638502206293,0.0,0.12556922427085682,0.0022110813297331333,0.019482629373669624,3416,2.570767155280337,48,0.060935044369741655,3.0141703110860774,26,0.13557839055353366,6.84544712450588,27,0.13605986228461256,6.8701599967699085,495,0.045426742163087855,2.2181636782435437,514,0.049492633147738045,2.4268568123512613
lexeme_icf_position8,1110,0.0652924226291228,0.0,0.1372215888181039,0.0033837668597698,0.0247759595513343,3416,2.4987389748147515,48,0.0876779795933817,3.4022582479180694,26,0.1316253884173295,5.176050650706397,27,0.1485239190091738,5.858104177506499,495,0.059727850920258,2.2741433664252853,514,0.0608333735023696,2.318764144071495
homograph_icf_position8,1110,0.0673541152159043,0.0,0.1385801593886736,0.0036731094587594,0.0261118225753307,3416,2.4387805781626226,48,0.086762384610092,3.1820557493306345,26,0.1308350289022701,4.869898264537365,27,0.1612017404778477,6.032847020334545,495,0.0616190644001288,2.219146318653149,514,0.0629238887275189,2.26911695259208
word_vocalized_icf_position8,1110,0.03803860296949604,0.0,0.11711205412642925,0.0011535645462572575,0.015147118829190731,3416,2.4351191034532502,48,0.032922404233073736,2.0973519812621553,26,0.1310902877588992,8.578312791884533,27,0.08777184487570039,5.718465756175157,495,0.031972253185591076,2.0346238110934776,514,0.03703914644496146,2.3691358273064704
word_consonantal_icf_position4,1110,0.05687404930299441,0.0,0.12595007206719314,0.004028407856822014,0.023516908288002014,3416,2.2471338833741794,48,0.060935044369741655,2.419817937630542,26,0.136876794758523,5.649058340269937,27,0.13802036068508483,5.697685732636189,495,0.05230283486472507,2.052753976700754,514,0.05258767108233149,2.064865952225689
word_cantillation_icf_position4,1110,0.027000790883716295,0.0,0.10849125198782975,0.0010333397658541799,0.011816472746431828,3416,2.1975636617706753,48,0.02449395979167802,1.985416505353355,26,0.13145589780370157,11.037351063770748,27,0.013680900481768532,1.070332999306708,495,0.022212841574507636,1.7923708930018007,514,0.027261816295018036,2.2196536218546234
word_vocalized_icf_position4,1110,0.040704632174199375,0.0,0.11767523603595702,0.002010517753660679,0.017822574824094772,3416,2.1710731924226336,48,0.032922404233073736,1.7344231562783243,26,0.1310902877588992,7.242487198355449,27,0.08777184487570039,4.8119493377633,495,0.0359364012308796,1.9035343552803434,514,0.03897891129866357,2.074245383165648
lexeme_icf_position4,1110,0.0725671707302085,0.0,0.1393208253590062,0.0063512013293802,0.0316438302397728,3416,2.092539648300923,48,0.0876779795933817,2.570067455417665,26,0.1332171657241,4.009184837405154,27,0.1507899581292948,4.564515600844395,495,0.0683819432824316,1.960279191331445,514,0.0680096875232061,1.9485152627423712
homograph_icf_position4,1110,0.0748513747138155,0.0,0.1410192163105177,0.0069180014543235,0.0335528217256069,3416,2.0246694544812742,48,0.086762384610092,2.3796622474476625,26,0.1324489179332716,3.7412923868380674,27,0.1637951686930606,4.675528291529987,495,0.0705107222146533,1.8953017209815453,514,0.0703336236455637,1.8900235190306656
word_consonantal_icf_position2,1110,0.060117741952971135,0.0,0.12808312539611036,0.007629730273038149,0.029468176886439323,3416,1.781176076219596,48,0.06150526755919106,1.8282616360615567,26,0.138407417599397,4.43792935784026,27,0.13802036068508483,4.424794615375405,495,0.05754813339475729,1.693976635001489,514,0.054410451553444185,1.5874996767083207
word_vocalized_icf_position2,1110,0.04272119946317469,0.0,0.11860217331985905,0.0037008433137089014,0.021989699453115463,3416,1.7744833772131183,48,0.03371515622552417,1.3649260180117146,26,0.1310902877588992,5.793141680576356,27,0.08777184487570039,3.8231992093043567,495,0.039220989359206336,1.615308391150612,514,0.04009655034847533,1.655125260459617
word_cantillation_icf_position2,1110,0.028027898247847214,0.0,0.10895784458063033,0.0019298047991469502,0.015011141076683998,3416,1.7385815851958806,48,0.025124350978121903,1.5451554322543675,26,0.13145589780370157,8.628664026463689,27,0.013680900481768532,0.7828249446588661,495,0.023832576175573907,1.4591010279989547,514,0.02786115825943089,1.727473836120408
word_vocalized_icf_position_mean,1110,0.04351264861650111,0.0,0.1191811889464675,0.005514373537153006,0.02393137663602829,3416,1.5878014732400447,48,0.03649794043721633,1.2946838525543942,26,0.13134398532733305,5.257934539409056,27,0.10475792576192476,4.1470055707268525,495,0.0398859099485912,1.4362540414700766,514,0.04000040035932796,1.441038154497841
lexeme_icf_position2,1110,0.0770013235761718,0.0176456410446986,0.1422451470558906,0.0122203296050429,0.0412153825163841,3416,1.5717673843103803,48,0.0928162126187028,1.9554806504979312,26,0.134788934616054,2.973855816145515,27,0.1507899581292948,3.3620852231364604,495,0.0747447808064781,1.5170173703126544,514,0.0708984110800348,1.4236937253139883
word_consonantal_icf_position_mean,1110,0.0614577591146835,0.0,0.1285783149698481,0.01153840497136116,0.03186590597033501,3416,1.5665443245139137,48,0.06372632189771171,1.6377352326004464,26,0.1450500080689959,4.189794673401879,27,0.154930476121393,4.499858603848267,495,0.05871520282374247,1.4804787880909365,514,0.05474863950074804,1.356002072233963
word_cantillation_icf_position_mean,1110,0.0281174599714235,0.0,0.108588287033861,0.0028878787998110056,0.016588551923632622,3416,1.5209031679051845,48,0.02764615798998603,1.4924918886321554,26,0.13170067573003044,7.765162234969304,27,0.013532998377379757,0.6417148179403983,495,0.02387721626166526,1.265290518333437,514,0.02777146772386461,1.500045877338069
homograph_icf_position2,1110,0.0791968540372845,0.0236197762135491,0.1437195529538675,0.0133319208398461,0.043878823518753,3416,1.5010642472966225,48,0.0922013908762494,1.7974381196135734,26,0.1341033820772128,2.7523860384668493,27,0.1637951686930606,3.4290629462503506,495,0.0769107066697784,1.4489628648033346,514,0.0729628092005161,1.3589901364421233
word_cantillation_icf_spacing8_psalm,1110,1.0,1.0,1.2601340859239486e-16,0.7043160200119019,0.19799992442131042,3416,1.4933540043123075,48,1.0,1.4933540043123075,26,1.0,1.4933540043123075,27,1.0,1.4933540043123075,495,1.0,1.4933540043123075,514,1.0,1.4933540043123075
lexeme_icf_position_mean,1110,0.0785845079596715,0.0262809766978129,0.1423275896901376,0.0186061300337314,0.0447412319481372,3416,1.3405616098248083,48,0.0980118327267137,1.7747768497976768,26,0.1412239747184979,2.7406005455303832,27,0.168991152269376,3.361217733341953,495,0.0759802246133186,1.2823539290579558,514,0.0713607786513741,1.1791058565127202
word_vocalized_icf_spacing8_psalm,1110,1.0,1.0,1.2202902163567268e-16,0.7825169563293457,0.16236035525798798,3416,1.3395083013034632,48,1.0,1.3395083013034632,26,1.0,1.3395083013034632,27,1.0,1.3395083013034632,495,1.0,1.3395083013034632,514,1.0,1.3395083013034632
