model,n_pairs,mean_true_similarity,median_true_similarity,std_true_similarity,background_mean,background_std,background_n_vectors,calibrated_effect_size,n_pairs_Antithetic,mean_true_similarity_Antithetic,calibrated_effect_size_Antithetic,n_pairs_Emblematic,mean_true_similarity_Emblematic,calibrated_effect_size_Emblematic,n_pairs_Staircase,mean_true_similarity_Staircase,calibrated_effect_size_Staircase,n_pairs_Synonymous,mean_true_similarity_Synonymous,calibrated_effect_size_Synonymous,n_pairs_Synthetic,mean_true_similarity_Synthetic,calibrated_effect_size_Synthetic
morph_signature_1_2gram_psalm,1110,1.0,1.0,1.911959346233379e-16,0.8355416655540466,0.0688194781541824,3416,2.3897062119172516,48,1.0,2.3897062119172516,26,1.0,2.3897062119172516,27,1.0,2.3897062119172516,495,1.0,2.3897062119172516,514,1.0,2.3897062119172516
morph_signature_1_2gram_psalm_shuffle30,1110,1.0,1.0,1.6787829480689562e-16,0.8415184020996094,0.0665155798196792,3416,2.382623715075883,48,1.0,2.382623715075883,26,1.0,2.382623715075883,27,1.0,2.382623715075883,495,1.0,2.382623715075883,514,1.0,2.382623715075883
morph_signature_1_2gram_psalm_shuffle03,1110,1.0,1.0,1.8941624349330347e-16,0.8426039218902588,0.0662182793021202,3416,2.37692793845674,48,1.0,2.37692793845674,26,1.0,2.37692793845674,27,1.0,2.37692793845674,495,1.0,2.37692793845674,514,1.0,2.37692793845674
morph_signature_1_2gram_psalm_shuffle10,1110,1.0,1.0,1.8735314524520704e-16,0.8419535756111145,0.0665754377841949,3416,2.3739449510072292,48,1.0,2.3739449510072292,26,1.0,2.3739449510072292,27,1.0,2.3739449510072292,495,1.0,2.3739449510072292,514,1.0,2.3739449510072292
morph_signature_1_2gram_psalm_shuffle07,1110,1.0,1.0,1.9624033872279995e-16,0.8429080843925476,0.0661792233586311,3416,2.3737346501659173,48,1.0,2.3737346501659173,26,1.0,2.3737346501659173,27,1.0,2.3737346501659173,495,1.0,2.3737346501659173,514,1.0,2.3737346501659173
morph_signature_1_2gram_psalm_shuffle17,1110,1.0,1.0,1.618843038093631e-16,0.8418699502944946,0.0666188448667526,3416,2.3736534312744157,48,1.0,2.3736534312744157,26,1.0,2.3736534312744157,27,1.0,2.3736534312744157,495,1.0,2.3736534312744157,514,1.0,2.3736534312744157
morph_signature_1_2gram_psalm_shuffle29,1110,1.0,1.0,1.8941624349330347e-16,0.8429547548294067,0.0661712735891342,3416,2.3733145314038686,48,1.0,2.3733145314038686,26,1.0,2.3733145314038686,27,1.0,2.3733145314038686,495,1.0,2.3733145314038686,514,1.0,2.3733145314038686
morph_signature_1_2gram_psalm_shuffle24,1110,1.0,1.0,1.5021406269494788e-16,0.8416607975959778,0.0667434260249137,3416,2.372356527591464,48,1.0,2.372356527591464,26,1.0,2.372356527591464,27,1.0,2.372356527591464,495,1.0,2.372356527591464,514,1.0,2.372356527591464
morph_signature_1_2gram_psalm_shuffle22,1110,1.0,1.0,1.3743612356283723e-16,0.8423030376434326,0.066548153758049,3416,2.369666977237425,48,1.0,2.369666977237425,26,1.0,2.369666977237425,27,1.0,2.369666977237425,495,1.0,2.369666977237425,514,1.0,2.369666977237425
morph_signature_1_2gram_psalm_shuffle18,1110,1.0,1.0,1.7283228844820583e-16,0.842538058757782,0.0665025934576988,3416,2.36775639949105,48,1.0,2.36775639949105,26,1.0,2.36775639949105,27,1.0,2.36775639949105,495,1.0,2.36775639949105,514,1.0,2.36775639949105
morph_signature_1_2gram_psalm_shuffle13,1110,1.0,1.0,1.8191012507010447e-16,0.8426918983459473,0.0664816945791244,3416,2.3661867022181498,48,1.0,2.3661867022181498,26,1.0,2.3661867022181498,27,1.0,2.3661867022181498,495,1.0,2.3661867022181498,514,1.0,2.3661867022181498
morph_signature_1_2gram_psalm_shuffle05,1110,1.0,1.0,2.0389973457964072e-16,0.8421362042427063,0.0667700096964836,3416,2.364291939972677,48,1.0,2.364291939972677,26,1.0,2.364291939972677,27,1.0,2.364291939972677,495,1.0,2.364291939972677,514,1.0,2.364291939972677
morph_signature_1_2gram_psalm_shuffle15,1110,1.0,1.0,1.7121850625213761e-16,0.8420992493629456,0.0667998567223548,3416,2.363788762202722,48,1.0,2.363788762202722,26,1.0,2.363788762202722,27,1.0,2.363788762202722,495,1.0,2.363788762202722,514,1.0,2.363788762202722
morph_signature_1_2gram_psalm_shuffle06,1110,1.0,1.0,1.8157407450590056e-16,0.8427603840827942,0.0665817111730575,3416,2.3616037068875033,48,1.0,2.3616037068875033,26,1.0,2.3616037068875033,27,1.0,2.3616037068875033,495,1.0,2.3616037068875033,514,1.0,2.3616037068875033
morph_signature_1_2gram_psalm_shuffle02,1110,1.0,1.0,1.8209316398114651e-16,0.8434126973152161,0.0663201361894607,3416,2.361082345148561,48,1.0,2.361082345148561,26,1.0,2.361082345148561,27,1.0,2.361082345148561,495,1.0,2.361082345148561,514,1.0,2.361082345148561
morph_signature_1_2gram_psalm_shuffle27,1110,1.0,1.0,1.7089392111426071e-16,0.8420412540435791,0.0669573098421096,3416,2.3590963604855,48,1.0,2.3590963604855,26,1.0,2.3590963604855,27,1.0,2.3590963604855,495,1.0,2.3590963604855,514,1.0,2.3590963604855
morph_signature_1_2gram_psalm_shuffle21,1110,1.0,1.0,1.7420818508523103e-16,0.842907190322876,0.0665912181138992,3416,2.359061962321048,48,1.0,2.359061962321048,26,1.0,2.359061962321048,27,1.0,2.359061962321048,495,1.0,2.359061962321048,514,1.0,2.359061962321048
morph_signature_1_2gram_psalm_shuffle11,1110,1.0,1.0,1.597437048572628e-16,0.8432900309562683,0.066472552716732,3416,2.3575139307728996,48,1.0,2.3575139307728996,26,1.0,2.3575139307728996,27,1.0,2.3575139307728996,495,1.0,2.3575139307728996,514,1.0,2.3575139307728996
morph_signature_1_2gram_psalm_shuffle12,1110,1.0,1.0,1.8013116018186746e-16,0.8420960903167725,0.0670180693268776,3416,2.356139340765822,48,1.0,2.356139340765822,26,1.0,2.356139340765822,27,1.0,2.356139340765822,495,1.0,2.356139340765822,514,1.0,2.356139340765822
morph_signature_1_2gram_psalm_shuffle25,1110,1.0,1.0,1.8924028781808264e-16,0.8418915867805481,0.0671207457780838,3416,2.3555818903173944,48,1.0,2.3555818903173944,26,1.0,2.3555818903173944,27,1.0,2.3555818903173944,495,1.0,2.3555818903173944,514,1.0,2.3555818903173944
morph_signature_1_2gram_psalm_shuffle26,1110,1.0,1.0,1.9567366026940632e-16,0.842816174030304,0.0667602941393852,3416,2.3544507704163258,48,1.0,2.3544507704163258,26,1.0,2.3544507704163258,27,1.0000000000000002,2.354450770416329,495,1.0,2.3544507704163258,514,1.0,2.3544507704163258
morph_signature_1_2gram_psalm_shuffle14,1110,1.0,1.0,2.0066084663096535e-16,0.843259334564209,0.0666442438960075,3416,2.351901023595841,48,1.0,2.351901023595841,26,1.0,2.351901023595841,27,1.0,2.351901023595841,495,1.0,2.351901023595841,514,1.0,2.351901023595841
morph_signature_1_2gram_psalm_shuffle16,1110,1.0,1.0,1.6219268777693915e-16,0.8431146740913391,0.0667297765612602,3416,2.351054266825467,48,1.0,2.351054266825467,26,1.0,2.351054266825467,27,1.0,2.351054266825467,495,1.0,2.351054266825467,514,1.0,2.351054266825467
morph_signature_1_2gram_psalm_shuffle20,1110,1.0,1.0,1.7547840376614595e-16,0.8426389694213867,0.0669425055384635,3416,2.350689286468331,48,1.0,2.350689286468331,26,1.0,2.350689286468331,27,1.0,2.350689286468331,495,1.0,2.350689286468331,514,1.0,2.350689286468331
