model,n_true,n_baseline,prevalence,average_precision,true_effect_size,baseline_effect_size,gap,separation_auc,separation_p
kalm_embedding_gemma3_12b_2511_cantillation,1110,2784,0.2850539291217257,0.3950708154221182,1.4956669665748519,0.9748909179207116,0.5207760486541403,0.624807596206665,2.0374214509654027e-34
f2llm_v2_14b_cantillation,1110,2784,0.2850539291217257,0.39381793828843825,1.7316533997652774,1.0814134324244657,0.6502399673408117,0.6192685961723328,1.3289857011752585e-31
kalm_embedding_gemma3_12b_2511_vocalized,1110,2784,0.2850539291217257,0.39163142922087735,1.326314144026365,0.8423234574989887,0.4839906865273763,0.6226404905319214,2.6621317707316648e-33
f2llm_v2_14b_vocalized,1110,2784,0.2850539291217257,0.3882550985325864,1.5795973151913842,0.9646008073701428,0.6149965078212415,0.615929365158081,5.745696768514202e-30
harrier_oss_v1_27b_vocalized,1110,2784,0.2850539291217257,0.38588190877560286,1.2709567815932175,0.7877045032797125,0.4832522783135049,0.613089919090271,1.301140455576031e-28
harrier_oss_v1_27b_cantillation,1110,2784,0.2850539291217257,0.38069657827612197,1.7557152806034386,1.2157353425354644,0.5399799380679742,0.6108145117759705,1.5006514866714907e-27
gemini_embedding_2_cantillation,1110,2784,0.2850539291217257,0.3742759369957543,1.7657759806578015,1.2282998128528206,0.5374761678049809,0.6022485494613647,9.633041626613403e-24
gemini_embedding_2_vocalized,1110,2784,0.2850539291217257,0.3742097370358308,1.2294023203222757,0.7847993210756086,0.44460299924666713,0.5909320712089539,3.5738431423172473e-19
harrier_oss_v1_27b_consonantal,1110,2784,0.2850539291217257,0.37160362392829205,0.8126836706683075,0.4587426460865906,0.3539410245817169,0.5902509093284607,6.478503372933689e-19
kalm_embedding_gemma3_12b_2511_consonantal,1110,2784,0.2850539291217257,0.366440478534046,0.8972327416618725,0.5808893364511252,0.31634340521074733,0.5826116800308228,3.7923642341111273e-16
me5_large_instruct_consonantal,1110,2784,0.2850539291217257,0.35680768286888676,0.6151455662785594,0.35857101464936536,0.25657455162919407,0.5573707818984985,1.085025580493948e-08
berel_consonantal,1110,2784,0.2850539291217257,0.35574199339353385,1.1542379137956686,0.8109534193330715,0.3432844944625971,0.5883365273475647,3.3679833236566347e-18
qwen3_embedding_8b_cantillation,1110,2784,0.2850539291217257,0.3551670917238924,1.1150093456840737,0.7426438774532704,0.3723654682308033,0.5769631266593933,2.966221628671224e-14
qwen3_embedding_8b_vocalized,1110,2784,0.2850539291217257,0.35437026626724605,0.8936184853942285,0.5626110093244332,0.3310074760697953,0.5754554867744446,9.027761177504701e-14
f2llm_v2_14b_consonantal,1110,2784,0.2850539291217257,0.35319731839144325,0.8691085234337538,0.5041749995291296,0.3649335239046242,0.5767058730125427,3.5920336258384034e-14
qwen3_embedding_8b_consonantal,1110,2784,0.2850539291217257,0.35179925831318815,0.35897589132798596,0.13949020912148946,0.2194856822064965,0.5570481419563293,1.3003751853091217e-08
bge_m3_consonantal,1110,2784,0.2850539291217257,0.3468407081857976,0.5679298285411822,0.31414695929979775,0.2537828692413845,0.5475325584411621,1.759718315952341e-06
bge_multilingual_gemma2_cantillation,1110,2784,0.2850539291217257,0.345359754551795,1.256922020685768,0.9047832395050687,0.3521387811806994,0.572659432888031,6.723313854435642e-13
llama_embed_nemotron_8b_cantillation,1110,2784,0.2850539291217257,0.34485103864263056,0.7218467040666283,0.43685394639851105,0.28499275766811727,0.5721158981323242,9.849019386512503e-13
me5_large_instruct_vocalized,1110,2784,0.2850539291217257,0.34430843962800006,0.6079346119257092,0.3829048317476308,0.2250297801780784,0.5480244159698486,1.3936115692558815e-06
llama_embed_nemotron_8b_vocalized,1110,2784,0.2850539291217257,0.34237465285347884,0.8089742341033849,0.5009630820376204,0.30801115206576446,0.574004590511322,2.5823928499063564e-13
openai_text_embedding_3_large_cantillation,1110,2784,0.2850539291217257,0.34190677819539517,1.0027434234345722,0.7095792386142911,0.29316418482028117,0.5513843297958374,2.6689855303629884e-07
bge_multilingual_gemma2_vocalized,1110,2784,0.2850539291217257,0.3407050233033134,1.1090533755393857,0.7883918892154111,0.3206614863239745,0.5666213631629944,4.00318944659972e-11
openai_text_embedding_3_large_vocalized,1110,2784,0.2850539291217257,0.3406754633789113,0.9307246521741707,0.6397273797694325,0.29099727240473816,0.5488790273666382,9.24351297726389e-07
bge_m3_cantillation,1110,2784,0.2850539291217257,0.3403916045309727,0.4960899840956774,0.28082035697545527,0.21526962712022213,0.5427295565605164,1.5279189028660767e-05
gemini_embedding_2_consonantal,1110,2784,0.2850539291217257,0.3400861078203824,0.6762539509359397,0.44963433763923827,0.22661961329670138,0.5445777773857117,6.819175723649096e-06
me5_large_instruct_cantillation,1110,2784,0.2850539291217257,0.3394325091560432,0.5707657763693698,0.3915015542077538,0.17926422216161597,0.5360847115516663,0.0002150363870896399
alephbert_consonantal,1110,2784,0.2850539291217257,0.33529163275856577,0.572751290943796,0.3767843804315579,0.19596691051223808,0.5544899702072144,5.2812008988212256e-08
bge_m3_vocalized,1110,2784,0.2850539291217257,0.33489362160122205,0.44092413049523954,0.24969911424466912,0.19122501625057042,0.5373899936676025,0.00013200892135500908
cohere_embed_v4_consonantal,1110,2784,0.2850539291217257,0.33408508710384993,0.32634075672159424,0.11180364239126948,0.21453711433032474,0.535835862159729,0.00023559063265565783
openai_text_embedding_3_large_consonantal,1110,2784,0.2850539291217257,0.3319729899316036,0.6257320980783072,0.3855396021894824,0.2401924958888248,0.5364530086517334,0.00018767151050269604
llama_embed_nemotron_8b_consonantal,1110,2784,0.2850539291217257,0.33165267580986235,0.6350144670143304,0.4103305882390951,0.22468387877523532,0.5524783134460449,1.5237326067563117e-07
cohere_embed_v4_cantillation,1110,2784,0.2850539291217257,0.33155186082577315,0.19383284355170172,-0.011255779362152026,0.20508862291385374,0.5272132754325867,0.00396208418533206
bge_multilingual_gemma2_consonantal,1110,2784,0.2850539291217257,0.32745864224844584,0.6754382132862363,0.480509638864644,0.19492857442159234,0.5335962772369385,0.0005225471104495227
cohere_embed_v4_vocalized,1110,2784,0.2850539291217257,0.32536494180059344,0.21068646489817366,0.023041651716616242,0.18764481318155743,0.5260911583900452,0.005451408214867115
miqrabert_consonantal,1110,2784,0.2850539291217257,0.32313494635352535,0.24502527614073472,0.17950669619225748,0.06551857994847723,0.5291035771369934,0.002257599961012602
neodictabert_consonantal,1110,2784,0.2850539291217257,0.32166888156001183,0.6651226676908762,0.4802181086827119,0.18490455900816433,0.5304312705993652,0.0014924934366717935
voyage_4_cantillation,1110,2784,0.2850539291217257,0.3186480327191263,0.516120169911109,0.38480970680777016,0.13131046310333883,0.5218088030815125,0.016670487821102142
voyage_4_vocalized,1110,2784,0.2850539291217257,0.31577620956483565,0.5025101626458595,0.37697599702908036,0.1255341656167791,0.521206259727478,0.01926550455391407
gte_multilingual_base_consonantal,1110,2784,0.2850539291217257,0.3153450404060463,0.028940486552337667,-0.006945806395869373,0.03588629294820704,0.49584531784057617,0.6574100255966187
voyage_4_consonantal,1110,2784,0.2850539291217257,0.31215590897194073,0.3973636613613113,0.3088899029422574,0.08847375841905392,0.5125527381896973,0.11032475531101227
gte_multilingual_base_vocalized,1110,2784,0.2850539291217257,0.3119008731941908,0.08896276403999401,0.027334910831886022,0.061627853208107986,0.5177885890007019,0.04130992293357849
