model,n_pairs,separation_auc,separation_p,discrimination_p,discrimination_rank_biserial,type_gap_z,type_gap_p,mrr_forward,mrr_backward,recall_at_1_forward,recall_at_5_forward,recall_at_10_forward,recall_at_1_backward,recall_at_5_backward,recall_at_10_backward,n_pairs_Antithetic,separation_auc_Antithetic,separation_p_Antithetic,discrimination_p_Antithetic,discrimination_rank_biserial_Antithetic,mrr_forward_Antithetic,mrr_backward_Antithetic,recall_at_1_forward_Antithetic,recall_at_5_forward_Antithetic,recall_at_1_backward_Antithetic,recall_at_5_backward_Antithetic,n_pairs_Emblematic,separation_auc_Emblematic,separation_p_Emblematic,discrimination_p_Emblematic,discrimination_rank_biserial_Emblematic,mrr_forward_Emblematic,mrr_backward_Emblematic,recall_at_1_forward_Emblematic,recall_at_5_forward_Emblematic,recall_at_1_backward_Emblematic,recall_at_5_backward_Emblematic,n_pairs_Staircase,separation_auc_Staircase,separation_p_Staircase,discrimination_p_Staircase,discrimination_rank_biserial_Staircase,mrr_forward_Staircase,mrr_backward_Staircase,recall_at_1_forward_Staircase,recall_at_5_forward_Staircase,recall_at_1_backward_Staircase,recall_at_5_backward_Staircase,n_pairs_Synonymous,separation_auc_Synonymous,separation_p_Synonymous,discrimination_p_Synonymous,discrimination_rank_biserial_Synonymous,mrr_forward_Synonymous,mrr_backward_Synonymous,recall_at_1_forward_Synonymous,recall_at_5_forward_Synonymous,recall_at_1_backward_Synonymous,recall_at_5_backward_Synonymous,n_pairs_Synthetic,separation_auc_Synthetic,separation_p_Synthetic,discrimination_p_Synthetic,discrimination_rank_biserial_Synthetic,mrr_forward_Synthetic,mrr_backward_Synthetic,recall_at_1_forward_Synthetic,recall_at_5_forward_Synthetic,recall_at_1_backward_Synthetic,recall_at_5_backward_Synthetic
gemini_embedding_2_cantillation,1110,0.8765443563461304,0.0,1.5170597060792422e-175,0.9779502274551779,40.84900390170395,0.0004997501249375312,0.19384873576706466,0.2320804732302371,0.07837837837837838,0.2855855855855856,0.36486486486486486,0.08738738738738738,0.3621621621621622,0.44504504504504505,48,0.8469934463500977,4.251893636979774e-17,5.2190155904265006e-09,0.9489795918367347,0.13915467456176944,0.16503224962649485,0.0625,0.14583333333333334,0.041666666666666664,0.2708333333333333,26,0.8988073468208313,9.540841424196533e-13,7.431657460082806e-06,0.9715099715099715,0.4148299706248639,0.4142943826756413,0.3076923076923077,0.5,0.2692307692307692,0.5,27,0.9005684852600098,2.862999822026563e-13,1.4901161193847656e-08,0.9947089947089947,0.3189412630297201,0.369822969635219,0.18518518518518517,0.4444444444444444,0.2222222222222222,0.5555555555555556,495,0.9077430963516235,0.0,1.136611121621123e-81,0.9910720104268491,0.1999714560283274,0.2533483061504886,0.03232323232323232,0.3373737373737374,0.04040404040404041,0.4444444444444444,514,0.8452004194259644,0.0,3.3136691499738287e-80,0.9635978995882286,0.17531091099300752,0.20140757126319445,0.10700389105058365,0.22957198443579765,0.12062256809338522,0.27431906614785995
harrier_oss_v1_27b_cantillation,1110,0.8620873093605042,0.0,6.39594320192539e-171,0.9648040479723649,35.32339919510709,0.0004997501249375312,0.16612600968747787,0.19262259025397435,0.06756756756756757,0.25225225225225223,0.35225225225225226,0.07207207207207207,0.2864864864864865,0.3846846846846847,48,0.7438580393791199,2.459388914743954e-09,1.3152492881295488e-06,0.7789115646258503,0.1109047632309641,0.1392649526058388,0.0625,0.16666666666666666,0.0625,0.20833333333333334,26,0.8726723790168762,2.358353269615865e-11,7.431657460082806e-06,0.9715099715099715,0.3702172249206749,0.3859892497004728,0.2692307692307692,0.5,0.2692307692307692,0.5,27,0.9200530648231506,2.055860263115456e-14,7.450580596923828e-08,0.9735449735449735,0.37888686821776507,0.36937013270499996,0.2962962962962963,0.48148148148148145,0.2962962962962963,0.48148148148148145,495,0.9041027426719666,0.0,1.6502193110998833e-81,0.9900619094167481,0.17782823791201693,0.22919180880075762,0.03434343434343434,0.30303030303030304,0.048484848484848485,0.36363636363636365,514,0.8315361142158508,0.0,1.5094679155514318e-76,0.9407351441199804,0.13851336782441354,0.1433223696988501,0.07782101167315175,0.1867704280155642,0.07392996108949416,0.19844357976653695
berel_consonantal,1110,0.8435816168785095,0.0,1.3491790908432915e-164,0.9465330316815466,29.39947689584004,0.0004997501249375312,0.1465177086663111,0.09996202090279742,0.05405405405405406,0.21711711711711712,0.2891891891891892,0.036936936936936934,0.13873873873873874,0.2045045045045045,48,0.7934526801109314,9.638246147372631e-13,9.411595261885816e-08,0.8639455782312925,0.09248263319371619,0.06432213742812339,0.041666666666666664,0.10416666666666667,0.020833333333333332,0.0625,26,0.8088220953941345,2.4858163527596844e-08,5.951779770203854e-05,0.8632478632478633,0.2647994204026857,0.24876194401817997,0.19230769230769232,0.3076923076923077,0.19230769230769232,0.3076923076923077,27,0.8424314856529236,3.6171859951750207e-10,1.043081283569336e-07,0.9682539682539683,0.2599949061242847,0.2365298920606143,0.14814814814814814,0.2962962962962963,0.14814814814814814,0.3333333333333333,495,0.8754957914352417,0.0,1.1623205756588536e-79,0.9784620397523623,0.15079223515733214,0.10336380263394356,0.03434343434343434,0.23636363636363636,0.020202020202020204,0.15757575757575756,514,0.8199774622917175,0.0,3.3754546643216045e-73,0.9193079218767708,0.13550328098755252,0.08531358107323712,0.0622568093385214,0.20038910505836577,0.04085603112840467,0.10894941634241245
kalm_embedding_gemma3_12b_2511_cantillation,1110,0.8359251022338867,0.0,1.6952058523971068e-165,0.9491570778699492,29.934991461013944,0.0004997501249375312,0.1438354308681243,0.16629473653455482,0.06396396396396396,0.18288288288288287,0.25675675675675674,0.055855855855855854,0.25495495495495496,0.345045045045045,48,0.7363691926002502,7.129586254706055e-09,1.2507841512483286e-06,0.7806122448979592,0.087323117293245,0.09267251859270358,0.0625,0.08333333333333333,0.041666666666666664,0.14583333333333334,26,0.8517768979072571,2.637462193089135e-10,1.6414113135505286e-05,0.9316239316239316,0.29993775239215015,0.18573892733729322,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.23076923076923078,27,0.8906539678573608,1.044016544222981e-12,1.043081283569336e-07,0.9682539682539683,0.2929936168229843,0.2063796462168822,0.2222222222222222,0.4074074074074074,0.1111111111111111,0.3333333333333333,495,0.8885854482650757,0.0,2.26899543191181e-81,0.9891984359726296,0.15322960673896652,0.21178832081890633,0.030303030303030304,0.2101010101010101,0.03838383838383838,0.3414141414141414,514,0.7951605319976807,0.0,2.333787818211033e-71,0.9073249971667108,0.12433454101427492,0.1262688624453735,0.07976653696498054,0.14591439688715954,0.06809338521400778,0.17898832684824903
harrier_oss_v1_27b_vocalized,1110,0.8289684057235718,0.0,1.184005198252199e-164,0.9466984536291467,28.4908679171452,0.0004997501249375312,0.11552335842064129,0.16581937163323504,0.054954954954954956,0.15315315315315314,0.22072072072072071,0.062162162162162166,0.23693693693693693,0.3342342342342342,48,0.711600661277771,1.9265506523424847e-07,1.0373780196515346e-05,0.70578231292517,0.08476528499530687,0.15135112684558147,0.020833333333333332,0.125,0.10416666666666667,0.22916666666666666,26,0.8421434760093689,7.676187463445672e-10,7.431657460082806e-06,0.9715099715099715,0.27823027604667516,0.23438749761792593,0.23076923076923078,0.38461538461538464,0.11538461538461539,0.2692307692307692,27,0.9083295464515686,1.0174269060711158e-13,2.2351741790771484e-08,0.9894179894179894,0.3104978171214991,0.2793629399072075,0.2222222222222222,0.37037037037037035,0.18518518518518517,0.37037037037037035,495,0.8657907247543335,0.0,6.6865702547905945e-80,0.9799771912675138,0.10389591902401599,0.18831314281859576,0.024242424242424242,0.15151515151515152,0.03838383838383838,0.2787878787878788,514,0.8020955920219421,0.0,3.5811020975697025e-73,0.9191417022401873,0.11112117900925125,0.13607542492906105,0.07003891050583658,0.13424124513618677,0.07198443579766536,0.188715953307393
f2llm_v2_14b_cantillation,1110,0.8271348476409912,0.0,1.1396874296338363e-153,0.9141070863843141,31.700352452375874,0.0004997501249375312,0.14328531640913725,0.15024320752640336,0.054954954954954956,0.2099099099099099,0.290990990990991,0.05675675675675676,0.21981981981981982,0.3,48,0.7216154336929321,5.2943867956400936e-08,3.043073131536012e-06,0.75,0.11782880825914517,0.11561995511436374,0.10416666666666667,0.125,0.08333333333333333,0.10416666666666667,26,0.8527306318283081,2.369107687805183e-10,1.4684535199485696e-05,0.9373219373219374,0.3259088274076793,0.30197120861243293,0.2692307692307692,0.38461538461538464,0.23076923076923078,0.38461538461538464,27,0.840876042842865,4.314809065597558e-10,2.2873282432556152e-06,0.8994708994708994,0.21186830485397318,0.19888891248305812,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.25925925925925924,495,0.8842623829841614,0.0,9.620851838359522e-78,0.966275659824047,0.17546529606006486,0.18641201275716993,0.03434343434343434,0.29494949494949496,0.04040404040404041,0.30303030303030304,514,0.7839598655700684,0.0,1.9808821891504677e-63,0.8537720524347399,0.10183175705119517,0.10841440492811934,0.05642023346303502,0.12062256809338522,0.058365758754863814,0.14007782101167315
gemini_embedding_2_vocalized,1110,0.8231784701347351,0.0,8.494355405412452e-166,0.95002959755435,34.14342537601985,0.0004997501249375312,0.15401497152041865,0.19760700194530895,0.06126126126126126,0.21981981981981982,0.2972972972972973,0.07747747747747748,0.290990990990991,0.3801801801801802,48,0.7904356122016907,1.6160474651180645e-12,4.0596938666374124e-08,0.8894557823129252,0.1311587317286,0.14128299337859343,0.0625,0.14583333333333334,0.041666666666666664,0.20833333333333334,26,0.8526799082756042,2.382667951827955e-10,1.312910201271638e-05,0.9430199430199431,0.3216612878168963,0.3693190491403878,0.2692307692307692,0.4230769230769231,0.2692307692307692,0.38461538461538464,27,0.8390775918960571,5.285751836225927e-10,1.259148120880127e-06,0.9153439153439153,0.25362752051782356,0.22583636261968823,0.18518518518518517,0.2962962962962963,0.1111111111111111,0.37037037037037035,495,0.8619101047515869,0.0,1.891219877308415e-79,0.9771260997067449,0.16315134175914786,0.21982024139892012,0.028282828282828285,0.2606060606060606,0.046464646464646465,0.3515151515151515,514,0.7834088206291199,0.0,3.0312581427107625e-73,0.9196101393978315,0.13363803221146536,0.1713060154013099,0.07587548638132295,0.17315175097276264,0.09922178988326848,0.23151750972762647
f2llm_v2_14b_vocalized,1110,0.8192946314811707,0.0,4.569909563721293e-150,0.9031600457343032,29.760936239307227,0.0004997501249375312,0.1340529125015836,0.14297628122911626,0.054954954954954956,0.2009009009009009,0.26126126126126126,0.05855855855855856,0.2,0.27837837837837837,48,0.7137497067451477,1.4670786185888574e-07,4.9167286917484585e-06,0.7329931972789115,0.10032007462571291,0.11803273427974614,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.10416666666666667,26,0.8221270442008972,6.4560556900516985e-09,3.1603859278974786e-05,0.8974358974358975,0.2586345893826501,0.23366510755585107,0.23076923076923078,0.23076923076923078,0.19230769230769232,0.2692307692307692,27,0.8496179580688477,1.5855709800671747e-10,1.0207295417785645e-06,0.9206349206349206,0.22640697320754233,0.20547105846645639,0.14814814814814814,0.2962962962962963,0.14814814814814814,0.2222222222222222,495,0.8758302330970764,0.0,9.467450053851777e-77,0.9599055066797002,0.16279948070313055,0.1727608201202633,0.03636363636363636,0.27474747474747474,0.04040404040404041,0.2727272727272727,514,0.7763060927391052,0.0,2.4905195459561412e-61,0.8390238374069736,0.09836602868895218,0.10875191358816039,0.05642023346303502,0.13229571984435798,0.0622568093385214,0.13424124513618677
kalm_embedding_gemma3_12b_2511_vocalized,1110,0.8106099367141724,0.0,1.4828887509968568e-159,0.9317131713171317,26.15401047688257,0.0004997501249375312,0.12686715776453128,0.1536774001403832,0.05675675675675676,0.17297297297297298,0.22432432432432434,0.05405405405405406,0.23333333333333334,0.3081081081081081,48,0.6970611214637756,1.1376961310816114e-06,5.747253554725785e-05,0.6394557823129252,0.09465308598949607,0.1168524245463378,0.08333333333333333,0.08333333333333333,0.0625,0.16666666666666666,26,0.8314436674118042,2.4327104775068165e-09,1.6414113135505286e-05,0.9316239316239316,0.2728121935990099,0.18838449945012847,0.23076923076923078,0.34615384615384615,0.15384615384615385,0.19230769230769232,27,0.8758715391159058,6.780805951456248e-12,5.21540641784668e-07,0.9365079365079365,0.2763114593084607,0.17540086191391782,0.18518518518518517,0.4074074074074074,0.07407407407407407,0.3333333333333333,495,0.8595073819160461,0.0,1.0273795316527901e-80,0.9850928641251222,0.12649102313663715,0.18828452165149498,0.024242424242424242,0.18383838383838383,0.03232323232323232,0.301010101010101,514,0.7742933034896851,0.0,1.425042076608547e-68,0.8888746175059499,0.11500508580466116,0.12089171070570427,0.07003891050583658,0.14980544747081712,0.06809338521400778,0.17120622568093385
bge_multilingual_gemma2_cantillation,1110,0.7923195362091064,0.0,4.626537501699121e-149,0.9000819000819,27.65501294002894,0.0004997501249375312,0.10921747054307024,0.11899346387361467,0.04954954954954955,0.14324324324324325,0.21351351351351353,0.04684684684684685,0.16396396396396395,0.24774774774774774,48,0.7349847555160522,8.650129501575066e-09,5.155505481485454e-06,0.7312925170068028,0.07396259881637597,0.08563695820016075,0.041666666666666664,0.10416666666666667,0.041666666666666664,0.125,26,0.757631242275238,2.701053062992287e-06,8.965816333840876e-05,0.8404558404558404,0.25251822936019097,0.24928293208376434,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,27,0.8727656602859497,9.958147154098818e-12,1.4156103134155273e-07,0.9629629629629629,0.28040615411478403,0.23675615769183345,0.18518518518518517,0.3333333333333333,0.14814814814814814,0.3333333333333333,495,0.8306325078010559,0.0,4.871581747281154e-75,0.9488269794721408,0.1118076690716302,0.13797081978940837,0.03232323232323232,0.15353535353535352,0.030303030303030304,0.20404040404040405,514,0.7585408091545105,0.0,2.2109659515284438e-63,0.853439613161573,0.09377422421148021,0.09105611404375495,0.05058365758754864,0.122568093385214,0.048638132295719845,0.11673151750972763
bge_multilingual_gemma2_vocalized,1110,0.7742820382118225,0.0,6.21492218890135e-144,0.8842143673826842,25.52883397480234,0.0004997501249375312,0.09906042565512072,0.11256973564671603,0.04684684684684685,0.13333333333333333,0.17927927927927928,0.043243243243243246,0.16846846846846847,0.22702702702702704,48,0.7181650996208191,8.314289345889847e-08,9.908301315523157e-06,0.7074829931972789,0.07717812423611749,0.10195798661190869,0.041666666666666664,0.10416666666666667,0.041666666666666664,0.14583333333333334,26,0.7044827938079834,0.00015298939251806587,0.00045870218692533867,0.7435897435897436,0.24153625118931968,0.2602597481895806,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.3076923076923077,27,0.8134183287620544,8.557832664735088e-09,2.4586915969848633e-07,0.9523809523809523,0.3108089620335877,0.2201409571581968,0.25925925925925924,0.3333333333333333,0.14814814814814814,0.3333333333333333,495,0.8123084902763367,0.0,4.734017250125535e-74,0.942375366568915,0.09328120554011274,0.1247311201548691,0.022222222222222223,0.1414141414141414,0.024242424242424242,0.20202020202020202,514,0.744915783405304,0.0,7.724481467839961e-61,0.8355332250387216,0.08833957444681978,0.08872754754401277,0.05058365758754864,0.11284046692607004,0.04669260700389105,0.122568093385214
qwen3_embedding_8b_cantillation,1110,0.7626177668571472,0.0,1.0036709092926304e-131,0.8452461462362453,23.148167674694903,0.0004997501249375312,0.0813875042897321,0.10014644543398997,0.03333333333333333,0.11081081081081082,0.15405405405405406,0.03783783783783784,0.14144144144144144,0.20540540540540542,48,0.7166684865951538,1.0091315516547184e-07,3.601304919235789e-05,0.6581632653061225,0.07663035312061897,0.12426673842255055,0.041666666666666664,0.08333333333333333,0.0625,0.20833333333333334,26,0.7347449064254761,1.703004636510741e-05,0.00034831326335825865,0.7606837606837606,0.21163471848213977,0.21295389300640766,0.19230769230769232,0.23076923076923078,0.19230769230769232,0.23076923076923078,27,0.7195294499397278,3.912906686309725e-05,0.00045996904373168945,0.6984126984126984,0.16380683487659306,0.135331873278456,0.07407407407407407,0.2962962962962963,0.07407407407407407,0.18518518518518517,495,0.8089632391929626,0.0,6.741850470009571e-73,0.9347833170413815,0.08391447564643496,0.11212247856307182,0.022222222222222223,0.1191919191919192,0.028282828282828285,0.16363636363636364,514,0.7276719808578491,0.0,4.949408752702779e-52,0.7703449057459106,0.06848038938642795,0.07880615233860114,0.033073929961089495,0.08949416342412451,0.03501945525291829,0.10700389105058365
qwen3_embedding_8b_vocalized,1110,0.7484156489372253,0.0,1.4669378517970852e-123,0.8181526260734181,20.59668926814958,0.0004997501249375312,0.07346345427556883,0.10297652650087931,0.03333333333333333,0.0963963963963964,0.14144144144144144,0.03963963963963964,0.14954954954954955,0.2072072072072072,48,0.7200941443443298,6.465359092544531e-08,1.6327140608182705e-05,0.6887755102040817,0.041838209831247024,0.11930964875907128,0.020833333333333332,0.041666666666666664,0.0625,0.1875,26,0.7011667490005493,0.000191419807379134,0.0011040898468166504,0.6866096866096866,0.20078629743539272,0.2058335707879622,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,27,0.7025713324546814,0.00013392030086833984,0.0011241510510444641,0.6507936507936508,0.18132740853224547,0.13711523345338691,0.1111111111111111,0.25925925925925924,0.07407407407407407,0.25925925925925924,495,0.7955155372619629,0.0,9.069496419937834e-71,0.9206093189964157,0.07326111340865525,0.11626988458987089,0.01818181818181818,0.10303030303030303,0.028282828282828285,0.1797979797979798,514,0.7125093340873718,0.0,1.2310450145304245e-46,0.7275509047637037,0.06450518535604349,0.08165312112806626,0.03696498054474708,0.08171206225680934,0.038910505836575876,0.10894941634241245
openai_text_embedding_3_large_cantillation,1110,0.7394253611564636,0.0,3.980419074304627e-114,0.7856910015325856,22.061048887366407,0.0004997501249375312,0.07313424404172998,0.08067695880825715,0.036036036036036036,0.0918918918918919,0.12072072072072072,0.036036036036036036,0.10990990990990991,0.16396396396396395,48,0.684684693813324,4.703164449892938e-06,3.0292571696721146e-05,0.6649659863945578,0.0343607806519573,0.049640501511183356,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.041666666666666664,26,0.7190316319465637,5.5080425227060914e-05,0.0014201971523812964,0.6695156695156695,0.20710809204928807,0.20947225173137787,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,27,0.7753880620002747,3.622889153120923e-07,2.3730099201202393e-05,0.8253968253968254,0.20542484254546153,0.14574301606144213,0.14814814814814814,0.2962962962962963,0.07407407407407407,0.2222222222222222,495,0.7645123600959778,0.0,8.134105933813502e-61,0.8512381883349626,0.07087326004923628,0.07863340070758973,0.024242424242424242,0.09696969696969697,0.01818181818181818,0.12525252525252525,514,0.7196860313415527,0.0,1.2258097541638729e-46,0.7275660156397568,0.06520651468608057,0.07561051921341821,0.03501945525291829,0.07782101167315175,0.04474708171206226,0.0914396887159533
harrier_oss_v1_27b_consonantal,1110,0.7344790697097778,0.0,2.1898882200795162e-121,0.8107864840538108,18.44123320781685,0.0004997501249375312,0.08183102409239577,0.09937835007037658,0.04234234234234234,0.10720720720720721,0.15225225225225225,0.03873873873873874,0.14324324324324325,0.1864864864864865,48,0.5988841652870178,0.00884308386594057,0.012342350100627411,0.37244897959183676,0.04998746928515882,0.10217928319177005,0.020833333333333332,0.0625,0.0625,0.14583333333333334,26,0.7807789444923401,3.5755795124714496e-07,8.337817400551726e-06,0.9658119658119658,0.21912852429317092,0.15458974138989895,0.19230769230769232,0.2692307692307692,0.11538461538461539,0.15384615384615385,27,0.8182250261306763,5.160661675773781e-09,3.330409526824951e-06,0.8888888888888888,0.2707310115170568,0.2316778628932154,0.18518518518518517,0.3333333333333333,0.14814814814814814,0.3333333333333333,495,0.7528374791145325,0.0,1.5758565186166074e-60,0.8491528185076572,0.06484651421699146,0.09625946604889724,0.01818181818181818,0.09494949494949495,0.022222222222222223,0.15151515151515152,514,0.7231135964393616,0.0,5.509203791619873e-55,0.7927996675607268,0.08429364734801156,0.09237799944835545,0.05252918287937743,0.10311284046692606,0.042801556420233464,0.1245136186770428
kalm_embedding_gemma3_12b_2511_consonantal,1110,0.7325335144996643,0.0,7.665984949222085e-118,0.7986328362565986,20.522938435726754,0.0004997501249375312,0.08595473079012704,0.08966335439718515,0.03963963963963964,0.11981981981981982,0.15135135135135136,0.03423423423423423,0.12882882882882882,0.17297297297297298,48,0.6582606434822083,7.33754932298325e-05,0.0005739972943649521,0.5391156462585034,0.07083107143968392,0.10312918145893457,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125,26,0.79408860206604,1.0391301685785947e-07,1.4684535199485696e-05,0.9373219373219374,0.20905193854268592,0.14735066090853086,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.15384615384615385,27,0.8149088025093079,7.321318662434351e-09,3.330409526824951e-06,0.8888888888888888,0.2291385866241962,0.17115152986409943,0.1111111111111111,0.37037037037037035,0.07407407407407407,0.25925925925925924,495,0.7613988518714905,0.0,5.8627621416983624e-62,0.8594819159335289,0.07916460225980945,0.09633204014580175,0.022222222222222223,0.12525252525252525,0.026262626262626262,0.15757575757575756,514,0.7057451605796814,0.0,3.9812673896362645e-49,0.7476030372860867,0.08015815056102601,0.07478512511424572,0.04474708171206226,0.10116731517509728,0.03501945525291829,0.0933852140077821
openai_text_embedding_3_large_vocalized,1110,0.7307425737380981,0.0,2.860233459060412e-110,0.772029094801372,22.44377914295594,0.0004997501249375312,0.07579661630847602,0.0791985529634888,0.03783783783783784,0.0990990990990991,0.11801801801801802,0.036936936936936934,0.1045045045045045,0.15225225225225225,48,0.6929997205734253,1.8295869494977524e-06,1.951982509640819e-05,0.6819727891156463,0.052876923759972376,0.05602565163378361,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.08333333333333333,26,0.7558084726333618,3.1457000204682117e-06,0.00010963929554346047,0.8290598290598291,0.20831349488182654,0.20179422241487277,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,27,0.7416486144065857,6.880764431116404e-06,0.00013343989849090576,0.7566137566137566,0.24516388927585697,0.13555568222765954,0.18518518518518517,0.2962962962962963,0.07407407407407407,0.18518518518518517,495,0.7519151568412781,0.0,1.4675533021227102e-57,0.827289019224503,0.07252117379512396,0.07816497068502508,0.022222222222222223,0.10707070707070707,0.024242424242424242,0.10303030303030303,514,0.712060272693634,0.0,2.568707960029309e-45,0.7167012957576215,0.06549142968087106,0.07319620392807402,0.03696498054474708,0.08171206225680934,0.04085603112840467,0.09922178988326848
