model,metric,n_pairs_total,n_pairs_valid,raw_gap,raw_p,raw_effect_size,length_controlled_gap,length_controlled_p,length_controlled_effect_size,length_and_content_controlled_gap,length_and_content_controlled_p,length_and_content_controlled_effect_size,raw_q,raw_q_by,length_controlled_q,length_controlled_q_by,length_and_content_controlled_q,length_and_content_controlled_q_by
morph_gn_sp_plus_psalm,content_distance,11026,11026,0.007466112716458275,9.999000099990002e-05,4.248080914298807,0.007562046085231049,9.999000099990002e-05,4.3057816291729205,,,,0.00014169706024050002,0.0008726882609173813,0.00012099246696334935,0.0007451721679979465,,
morph_gn_sp_plus_psalm,structural_distance,11026,11026,-1.2734369586630166e-09,0.6365363463653635,-0.381094874547259,-1.6490873955775398e-09,0.6821317868213179,-0.49679536312349365,-1.41027384251982e-09,0.6551344865513449,-0.4235617334505073,0.7914535649238814,1.0,0.9131599402873783,1.0,0.764851775691996,1.0
morph_gn_sp_plus_psalm,adjacent_similarity_distance,11026,11026,1.6372728204242384e-09,0.26647335266473354,0.5953953876643084,8.855263968765547e-10,0.3605639436056394,0.32512437650582215,1.0799878825946838e-09,0.33126687331266874,0.395636811733762,0.45146118299562454,1.0,0.5620555591499673,1.0,0.5806754850830707,1.0
morph_gn_sp_plus_psalm,step_magnitude_distance,11026,11026,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
morph_gn_sp_plus_psalm,turning_angle_distance,11026,0,,,,,,,,,,,,,,,
morph_gn_atomic,content_distance,11026,11026,0.003941204713849067,0.021597840215978402,2.08157163100603,0.0039030932175495303,0.0225977402259774,2.061422207443101,,,,0.02192884159859876,0.13505603155162782,0.022944065746682035,0.14130862560494392,,
morph_gn_atomic,structural_distance,11026,11026,0.007036724471661454,0.015898410158984102,2.2192926297560884,0.0037097994053713747,0.10548945105489452,1.2631861477348378,0.0026697796155342743,0.1777822217778222,0.9200488606957348,0.03937456721617558,0.24250130898931305,0.2518441849508743,1.0,0.5767795313491907,1.0
morph_gn_atomic,adjacent_similarity_distance,11026,11026,0.0045322918375228505,0.0110988901109889,2.266469148283101,0.002388040353536566,0.10358964103589641,1.2758828193705107,0.0018810891892251241,0.1553844615538446,1.0161186368052995,0.02673823526738235,0.1646762748351098,0.22138108769768186,1.0,0.429308030735388,1.0
morph_gn_atomic,step_magnitude_distance,11026,11026,0.00508672840345431,0.011898810118988102,2.269149609449343,0.002970315701188528,0.0851914808519148,1.3762549988098938,0.0022346448435192944,0.145985401459854,1.0557737480175466,0.03503538535035386,0.2157770207799387,0.19295506346801217,1.0,0.604470802919708,1.0
morph_gn_atomic,turning_angle_distance,11026,1035,0.028678890178958638,0.0017998200179982,3.1009383616294968,0.027489977294992002,0.0014998500149985001,3.0210279839421466,0.023229147142321535,0.0045995400459954,2.6180008858296473,0.050844915508449155,0.2699367616097963,0.16383361663833615,0.869796231853788,0.5197480251974802,1.0
morph_full_all_psalm,content_distance,11026,11026,0.002961265375967897,9.999000099990002e-05,5.257305527203012,0.002873669319183912,9.999000099990002e-05,5.106324602859424,,,,0.00014169706024050002,0.0008726882609173813,0.00012099246696334935,0.0007451721679979465,,
morph_full_all_psalm,structural_distance,11026,11026,-5.549285673853879e-09,0.8489151084891511,-1.0302721182710213,-4.611029530562685e-09,0.8029197080291971,-0.8621799047424441,-4.97023984044976e-09,0.8215178482151785,-0.9277532623099629,0.9118521346245942,1.0,0.9578257420894682,1.0,0.8813855456559607,1.0
morph_full_all_psalm,adjacent_similarity_distance,11026,11026,-3.0096823653710066e-09,0.8776122387761224,-1.1599531819332907,-2.7434843270457143e-09,0.851014898510149,-1.05864044993506,-3.105736923820832e-09,0.885011498850115,-1.1977071607547611,0.9302689731026897,1.0,0.9276218127175138,1.0,0.9379852528581133,1.0
morph_full_all_psalm,step_magnitude_distance,11026,11026,0.0,1.0,,0.0,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
morph_full_all_psalm,turning_angle_distance,11026,0,,,,,,,,,,,,,,,
morph_gn_atomic_psalm,content_distance,11026,11026,0.004521432021080993,0.0091990800919908,2.3438536725137302,0.004539194275539046,0.009099090090990901,2.3531388029403644,,,,0.00948543277967923,0.05841917836895963,0.0094189799770023,0.058009906781371384,,
morph_gn_atomic_psalm,structural_distance,11026,11026,-2.8146695332684445e-10,0.5226477352264773,-0.11365168485519969,4.096762476178201e-11,0.4674532546745325,0.02718690525611555,-2.0304499003010514e-10,0.51004899510049,-0.07976247004105623,0.7328129620900343,1.0,0.7502850905385652,1.0,0.6997463518954227,1.0
morph_gn_atomic_psalm,adjacent_similarity_distance,11026,11026,2.457087471348561e-09,0.19568043195680432,0.8544606491310823,2.8757280783800082e-09,0.15998400159984003,0.9999446433818986,2.6496858149932778e-09,0.17688231176882313,0.9233185587311343,0.3601063504760635,1.0,0.31638627182057916,1.0,0.43805711172002065,1.0
