model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
word_cantillation_icf_spacing2,1,0,1.0,1.0,nan,nan
word_cantillation_icf_spacing4,1,0,1.0,1.0,nan,nan
word_cantillation_icf_spacing8,1,0,1.0,1.0,nan,nan
word_consonantal_icf_position_mean_psalm,2791,8384,0.24975391498881433,0.4595490813680911,0.692561686038971,0.0
word_vocalized_icf_position_mean_psalm,2791,8384,0.24975391498881433,0.45313442487880873,0.6768572330474854,0.0
lexeme_icf_position_mean_psalm,2791,8384,0.24975391498881433,0.43070288607000723,0.6795133948326111,0.0
homograph_icf_position_mean_psalm,2791,8384,0.2497539149888143,0.4202250513333024,0.6741719245910645,0.0
word_vocalized_icf_spacing8,7,14,0.3333333333333333,0.41479490581657763,0.4897959232330322,0.5434382557868958
word_vocalized_icf_spacing4,7,14,0.3333333333333333,0.38511904761904764,0.4591836631298065,0.6283367872238159
word_cantillation_icf_position_mean_psalm,2791,8384,0.24975391498881433,0.3816029871056177,0.6235047578811646,0.0
word_consonantal_icf_spacing4,151,314,0.3247311827956989,0.36709703487309264,0.5037963390350342,0.4473796486854553
word_consonantal_icf_spacing8,151,314,0.3247311827956989,0.35515870685359396,0.5016239881515503,0.47752052545547485
word_vocalized_icf_position8,2791,8384,0.24975391498881433,0.3449319940618155,0.6164664030075073,0.0
word_vocalized_icf_position8_psalm,2791,8384,0.24975391498881433,0.34493194521770965,0.6164664030075073,0.0
word_cantillation_icf_position8,2791,8384,0.24975391498881433,0.3245992181885853,0.5871792435646057,9.80908925027372e-44
word_cantillation_icf_position8_psalm,2791,8384,0.24975391498881433,0.32459920235506046,0.5871792435646057,9.80908925027372e-44
homograph_icf,2791,8384,0.2497539149888143,0.3241050193366361,0.6014048457145691,0.0
word_vocalized_icf_spacing2,7,14,0.3333333333333333,0.3237628384687208,0.3571428656578064,0.8564155697822571
word_vocalized_icf_position4_psalm,2791,8384,0.24975391498881433,0.32371034040628754,0.611122727394104,0.0
word_vocalized_icf_position4,2791,8384,0.24975391498881433,0.32371028543850255,0.6111226677894592,0.0
homograph_tf_icf,2791,8384,0.2497539149888143,0.3233415063598104,0.59986811876297,0.0
homograph_icf_position_mean,2791,8384,0.2497539149888143,0.3215972974805831,0.6029787063598633,0.0
lexeme_icf,2791,8384,0.24975391498881433,0.32142566290966035,0.597781240940094,0.0
lexeme_tf_icf,2791,8384,0.24975391498881433,0.32064702588316973,0.5964720249176025,0.0
lexeme_icf_position_mean,2791,8384,0.24975391498881433,0.3189945421309338,0.5995479226112366,0.0
word_vocalized_icf_position_mean,2791,8384,0.24975391498881433,0.31777048072344527,0.6042206883430481,0.0
word_consonantal_icf_spacing2,151,314,0.3247311827956989,0.31505455228922064,0.4839920699596405,0.712165355682373
word_consonantal_icf_position8,2791,8384,0.24975391498881433,0.3131675663855655,0.6009637713432312,0.0
word_consonantal_icf_position8_psalm,2791,8384,0.24975391498881433,0.31316749406225924,0.6009637713432312,0.0
word_vocalized_icf_position2_psalm,2791,8384,0.24975391498881433,0.3125331662032765,0.6004306674003601,0.0
word_vocalized_icf_position2,2791,8384,0.24975391498881433,0.3125330991614792,0.6004304885864258,0.0
homograph_icf_position2,2791,8384,0.2497539149888143,0.3124503118471234,0.5951728224754333,0.0
homograph_icf_position2_psalm,2791,8384,0.2497539149888143,0.3124502915298411,0.595172643661499,0.0
word_vocalized_icf,2791,8384,0.24975391498881433,0.31159505386086406,0.5935138463973999,0.0
word_vocalized_tf_icf,2791,8384,0.24975391498881433,0.3110132566191602,0.5915075540542603,0.0
word_consonantal_icf,2791,8384,0.24975391498881433,0.3104434653171927,0.5895941257476807,0.0
word_consonantal_tf_icf,2791,8384,0.24975391498881433,0.3100013587540733,0.5885191559791565,5.605193857299268e-45
lexeme_icf_position2,2791,8384,0.24975391498881433,0.3097440920696868,0.5914950370788574,0.0
lexeme_icf_position2_psalm,2791,8384,0.24975391498881433,0.30974408027164324,0.5914950370788574,0.0
word_consonantal_icf_position_mean,2791,8384,0.24975391498881433,0.30970293849328195,0.5937966108322144,0.0
lexeme_icf_position8_psalm,2791,8384,0.24975391498881433,0.30836795570174386,0.5974696278572083,0.0
lexeme_icf_position8,2791,8384,0.24975391498881433,0.30836788096717416,0.5974696278572083,0.0
homograph_icf_position8,2791,8384,0.2497539149888143,0.3068671949284623,0.5970660448074341,0.0
homograph_icf_position8_psalm,2791,8384,0.2497539149888143,0.3068671679011958,0.5970659255981445,0.0
word_cantillation_icf_position4,2791,8384,0.24975391498881433,0.30663564828224965,0.5812593698501587,2.9048323014904584e-38
word_cantillation_icf_position4_psalm,2791,8384,0.24975391498881433,0.30663564101207896,0.5812593698501587,2.9048323014904584e-38
homograph_icf_position4,2791,8384,0.2497539149888143,0.3055566248924869,0.5950912833213806,0.0
homograph_icf_position4_psalm,2791,8384,0.2497539149888143,0.305556606211975,0.5950912833213806,0.0
lexeme_icf_position4,2791,8384,0.24975391498881433,0.30469196463622955,0.5934382081031799,0.0
lexeme_icf_position4_psalm,2791,8384,0.24975391498881433,0.30469196463622955,0.5934380888938904,0.0
word_consonantal_icf_position4,2791,8384,0.24975391498881433,0.3033424234692572,0.5948830842971802,0.0
word_consonantal_icf_position4_psalm,2791,8384,0.24975391498881433,0.30334237103427275,0.5948829054832458,0.0
word_consonantal_icf_position2,2791,8384,0.24975391498881433,0.3028358532257817,0.5881238579750061,1.2611686178923354e-44
word_consonantal_icf_position2_psalm,2791,8384,0.24975391498881433,0.3028356340042697,0.5881236791610718,1.2611686178923354e-44
homograph_log_count,2791,8384,0.2497539149888143,0.3004136261727907,0.5694959163665771,1.6052190344817682e-28
homograph_binary,2791,8384,0.2497539149888143,0.2999908785732044,0.569934070110321,7.404566282993485e-29
homograph_count,2791,8384,0.2497539149888143,0.2997372243463262,0.568537175655365,8.579749235017894e-28
lexeme_log_count,2791,8384,0.24975391498881433,0.29716398414070316,0.5653290152549744,1.981592955935762e-25
lexeme_count,2791,8384,0.24975391498881433,0.29706957915427856,0.5650730133056641,3.0255909529088466e-25
word_cantillation_icf_position_mean,2791,8384,0.24975391498881433,0.29689007423411157,0.5772831439971924,8.39505635947697e-35
lexeme_binary,2791,8384,0.2497539149888143,0.2963520355855153,0.5653420090675354,1.9393880346898228e-25
word_cantillation_icf_position2_psalm,2791,8384,0.24975391498881433,0.29570485404891456,0.5777987241744995,3.0546414567567195e-35
word_cantillation_icf_position2,2791,8384,0.24975391498881433,0.29570476590457295,0.57779860496521,3.0551476999292904e-35
word_consonantal_count,2791,8384,0.24975391498881433,0.2908977776491906,0.557833731174469,2.428673525848294e-20
word_consonantal_log_count,2791,8384,0.24975391498881433,0.29089591725717767,0.5580155253410339,1.858369651997061e-20
word_cantillation_tf_icf,2791,8384,0.24975391498881433,0.2901083957059234,0.5657248497009277,1.026659450573909e-25
word_consonantal_binary,2791,8384,0.24975391498881433,0.29003292122253677,0.5580279231071472,1.824713094588956e-20
word_cantillation_icf,2791,8384,0.24975391498881433,0.2892431439481045,0.5654389262199402,1.6514978079315228e-25
word_vocalized_count,2791,8384,0.24975391498881433,0.2890933664116139,0.5547630190849304,1.9718157734110438e-18
word_vocalized_log_count,2791,8384,0.24975391498881433,0.2881117693838111,0.5554417371749878,7.6130663690629535e-19
word_vocalized_binary,2791,8384,0.24975391498881433,0.28675833485726754,0.5565150380134583,1.651256842116538e-19
word_cantillation_count,2791,8384,0.24975391498881433,0.2809608469725716,0.5443204045295715,1.0690774437591144e-12
word_cantillation_log_count,2791,8384,0.24975391498881433,0.2793855335115633,0.5437242984771729,2.094207186137398e-12
word_cantillation_binary,2791,8384,0.24975391498881433,0.27704406656262903,0.5426209568977356,7.1029180800930014e-12
word_consonantal_icf_spacing8_psalm,2791,8384,0.24975391498881433,0.27494968045711876,0.5488277077674866,4.986028950826338e-15
homograph_icf_spacing8,509,1636,0.2372960372960373,0.2711413678647104,0.5522394180297852,0.0001821564073907
homograph_icf_spacing8_psalm,2791,8384,0.2497539149888143,0.270649430229595,0.5394319891929626,2.0482572582469771e-10
word_vocalized_icf_spacing8_psalm,2791,8384,0.24975391498881433,0.2704858086707483,0.5324869155883789,1.3062050641110545e-07
lexeme_icf_spacing8_psalm,2791,8384,0.24975391498881433,0.26720608054251505,0.5325707793235779,1.2167541285634798e-07
word_cantillation_icf_spacing2_psalm,2791,8384,0.24975391498881433,0.26410356808512914,0.5302273631095886,8.285549597530917e-07
word_cantillation_icf_spacing8_psalm,2791,8384,0.24975391498881433,0.2628061407364826,0.5204262733459473,0.0006024011527188122
word_vocalized_icf_spacing4_psalm,2791,8384,0.24975391498881433,0.26161739766865855,0.5286411643028259,2.814449089783011e-06
homograph_icf_spacing4,509,1636,0.2372960372960373,0.2595295696811858,0.5384028553962708,0.004390113055706
word_consonantal_icf_spacing2_psalm,2791,8384,0.24975391498881433,0.2588292316990746,0.5154858231544495,0.007051452528685331
word_cantillation_icf_spacing4_psalm,2791,8384,0.24975391498881433,0.2577106000343904,0.5142236948013306,0.012079956009984016
word_vocalized_icf_spacing2_psalm,2791,8384,0.24975391498881433,0.2567072116270353,0.5208336710929871,0.0004794487322214991
word_consonantal_icf_spacing4_psalm,2791,8384,0.24975391498881433,0.25639595145653205,0.5225045680999756,0.00018043236923404038
lexeme_icf_spacing4_psalm,2791,8384,0.24975391498881433,0.25590827214532264,0.5189307928085327,0.001346829580143094
homograph_icf_spacing2,509,1636,0.2372960372960373,0.2541965908193317,0.516812264919281,0.1256502568721771
homograph_icf_spacing4_psalm,2791,8384,0.2497539149888143,0.253531622694423,0.5161159038543701,0.005316917784512
homograph_icf_spacing2_psalm,2791,8384,0.2497539149888143,0.2518049827557565,0.5044015645980835,0.2426867336034774
lexeme_icf_spacing2_psalm,2791,8384,0.24975391498881433,0.251056093577707,0.5033734440803528,0.29642224311828613
lexeme_icf_spacing8,408,1422,0.22295081967213115,0.24988532704595676,0.5434575080871582,0.0036846587900072336
lexeme_icf_spacing4,408,1422,0.22295081967213115,0.24129108865479926,0.5373903512954712,0.010567652061581612
lexeme_icf_spacing2,408,1422,0.22295081967213115,0.24106030740245882,0.5243236422538757,0.06683024019002914
