model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
gemini_embedding_2_cantillation,2791,8384,0.24975391498881433,0.40002775141516395,0.666250467300415,0.0
gemini_embedding_2_vocalized,2791,8384,0.24975391498881433,0.3963860301552009,0.6624061465263367,0.0
berel_consonantal,2791,8384,0.24975391498881433,0.39391850511200305,0.6640867590904236,0.0
kalm_embedding_gemma3_12b_2511_cantillation,2791,8384,0.24975391498881433,0.3875641910972748,0.6574938893318176,0.0
f2llm_v2_14b_vocalized,2791,8384,0.24975391498881433,0.38601420060303104,0.6517004370689392,0.0
f2llm_v2_14b_cantillation,2791,8384,0.24975391498881433,0.3856488801831126,0.6515205502510071,0.0
harrier_oss_v1_27b_cantillation,2791,8384,0.24975391498881433,0.3844801585740286,0.653065025806427,0.0
harrier_oss_v1_27b_vocalized,2791,8384,0.24975391498881433,0.382811235480615,0.6497822999954224,0.0
kalm_embedding_gemma3_12b_2511_vocalized,2791,8384,0.24975391498881433,0.38190058985141806,0.6533582806587219,0.0
gemini_embedding_2_consonantal,2791,8384,0.24975391498881433,0.37653490708807136,0.6481342911720276,0.0
bge_multilingual_gemma2_cantillation,2791,8384,0.24975391498881433,0.37592577777094666,0.6529811024665833,0.0
bge_multilingual_gemma2_vocalized,2791,8384,0.24975391498881433,0.37217848021932026,0.6484016180038452,0.0
neodictabert_consonantal,2791,8384,0.24975391498881433,0.3668685219879783,0.6421824097633362,0.0
harrier_oss_v1_27b_consonantal,2791,8384,0.24975391498881433,0.3654097872928639,0.6344091892242432,0.0
f2llm_v2_14b_consonantal,2791,8384,0.24975391498881433,0.36274314188914797,0.6396697163581848,0.0
qwen3_embedding_8b_vocalized,2791,8384,0.24975391498881433,0.36210663334636467,0.6363664269447327,0.0
kalm_embedding_gemma3_12b_2511_consonantal,2791,8384,0.24975391498881433,0.36130752491759605,0.633229672908783,0.0
qwen3_embedding_8b_cantillation,2791,8384,0.24975391498881433,0.3609901970144962,0.6342535018920898,0.0
voyage_4_cantillation,2791,8384,0.24975391498881433,0.3588578278724094,0.6343651413917542,0.0
voyage_4_vocalized,2791,8384,0.24975391498881433,0.35790371289699763,0.6338463425636292,0.0
openai_text_embedding_3_large_cantillation,2791,8384,0.24975391498881433,0.3577842161197134,0.6326069235801697,0.0
openai_text_embedding_3_large_vocalized,2791,8384,0.24975391498881433,0.35776507618414877,0.6335868239402771,0.0
alephbert_consonantal,2791,8384,0.24975391498881433,0.35018650929124245,0.6293949484825134,0.0
llama_embed_nemotron_8b_vocalized,2791,8384,0.24975391498881433,0.3484786942726099,0.619215726852417,0.0
llama_embed_nemotron_8b_cantillation,2791,8384,0.24975391498881433,0.3452416333174685,0.6170899271965027,0.0
bge_multilingual_gemma2_consonantal,2791,8384,0.24975391498881433,0.3444665547909333,0.6244845986366272,0.0
voyage_4_consonantal,2791,8384,0.24975391498881433,0.3426869617022529,0.621433436870575,0.0
openai_text_embedding_3_large_consonantal,2791,8384,0.24975391498881433,0.3369940777826935,0.6180405020713806,0.0
llama_embed_nemotron_8b_consonantal,2791,8384,0.24975391498881433,0.33594328814389346,0.6126382350921631,0.0
bge_m3_vocalized,2791,8384,0.24975391498881433,0.332261088824606,0.6157965064048767,0.0
bge_m3_consonantal,2791,8384,0.24975391498881433,0.32917419977447204,0.6134638786315918,0.0
cohere_embed_v4_consonantal,2791,8384,0.24975391498881433,0.3279815050514262,0.6081793308258057,0.0
bge_m3_cantillation,2791,8384,0.24975391498881433,0.32759243237976704,0.6083663105964661,0.0
qwen3_embedding_8b_consonantal,2791,8384,0.24975391498881433,0.3275069101334438,0.6025128960609436,0.0
me5_large_instruct_cantillation,2791,8384,0.24975391498881433,0.32464444441036133,0.6075556874275208,0.0
me5_large_instruct_consonantal,2791,8384,0.24975391498881433,0.32381924126120554,0.6060861945152283,0.0
me5_large_instruct_vocalized,2791,8384,0.24975391498881433,0.32215877304714263,0.6029365062713623,0.0
cohere_embed_v4_cantillation,2791,8384,0.24975391498881433,0.3182951422622885,0.5993174314498901,0.0
cohere_embed_v4_vocalized,2791,8384,0.24975391498881433,0.31520976319890176,0.5937886238098145,0.0
miqrabert_consonantal,2791,8384,0.24975391498881433,0.3017185601532547,0.5690627098083496,3.4328875516238823e-28
gte_multilingual_base_vocalized,2791,8384,0.24975391498881433,0.292463690740907,0.5696069002151489,1.320047670951945e-28
gte_multilingual_base_cantillation,2791,8384,0.24975391498881433,0.2841544817571418,0.5655978918075562,1.2682049619670896e-25
gte_multilingual_base_consonantal,2791,8384,0.24975391498881433,0.275199949792457,0.5574302077293396,4.386207593006258e-20
