model,n_pairs,separation_auc,separation_p,discrimination_p,discrimination_rank_biserial,type_gap_z,type_gap_p,mrr_forward,mrr_backward,recall_at_1_forward,recall_at_5_forward,recall_at_10_forward,recall_at_1_backward,recall_at_5_backward,recall_at_10_backward,n_pairs_Antithetic,separation_auc_Antithetic,separation_p_Antithetic,discrimination_p_Antithetic,discrimination_rank_biserial_Antithetic,mrr_forward_Antithetic,mrr_backward_Antithetic,recall_at_1_forward_Antithetic,recall_at_5_forward_Antithetic,recall_at_1_backward_Antithetic,recall_at_5_backward_Antithetic,n_pairs_Emblematic,separation_auc_Emblematic,separation_p_Emblematic,discrimination_p_Emblematic,discrimination_rank_biserial_Emblematic,mrr_forward_Emblematic,mrr_backward_Emblematic,recall_at_1_forward_Emblematic,recall_at_5_forward_Emblematic,recall_at_1_backward_Emblematic,recall_at_5_backward_Emblematic,n_pairs_Staircase,separation_auc_Staircase,separation_p_Staircase,discrimination_p_Staircase,discrimination_rank_biserial_Staircase,mrr_forward_Staircase,mrr_backward_Staircase,recall_at_1_forward_Staircase,recall_at_5_forward_Staircase,recall_at_1_backward_Staircase,recall_at_5_backward_Staircase,n_pairs_Synonymous,separation_auc_Synonymous,separation_p_Synonymous,discrimination_p_Synonymous,discrimination_rank_biserial_Synonymous,mrr_forward_Synonymous,mrr_backward_Synonymous,recall_at_1_forward_Synonymous,recall_at_5_forward_Synonymous,recall_at_1_backward_Synonymous,recall_at_5_backward_Synonymous,n_pairs_Synthetic,separation_auc_Synthetic,separation_p_Synthetic,discrimination_p_Synthetic,discrimination_rank_biserial_Synthetic,mrr_forward_Synthetic,mrr_backward_Synthetic,recall_at_1_forward_Synthetic,recall_at_5_forward_Synthetic,recall_at_1_backward_Synthetic,recall_at_5_backward_Synthetic
word_vocalized_icf_spacing4_psalm,1110,0.9954518018127796,0.0,1.8790541985051479e-183,1.0,19.463087546946785,0.0004997501249375312,0.21372502979924954,0.21372502979924954,0.008108108108108109,0.4648648648648649,0.7981981981981981,0.008108108108108109,0.4648648648648649,0.7981981981981981,48,0.9951732510519988,7.636341749281993e-33,7.978677075755528e-10,1.0,0.19323141198141194,0.19323141198141194,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9959943122702365,1.0034402908769602e-18,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.11538461538461539,0.5384615384615384,0.11538461538461539,0.5384615384615384,27,0.9977754028951303,1.6868614205700655e-19,2.740475255438314e-06,1.0,0.31216931216931215,0.31216931216931215,0.0,0.9259259259259259,0.0,0.9259259259259259,495,0.9954446819020418,0.0,4.053620686232121e-83,1.0,0.20047273705600002,0.20047273705600002,0.00404040404040404,0.42424242424242425,0.00404040404040404,0.42424242424242425,514,0.9952625633528001,0.0,3.22038009647825e-86,1.0,0.21882670925674264,0.21882670925674264,0.007782101167315175,0.48638132295719844,0.007782101167315175,0.48638132295719844
lexeme_icf_spacing8_psalm,1110,0.995426494415357,0.0,1.8790541985051479e-183,1.0,24.67812713339836,0.0004997501249375,0.2137250297992495,0.2137250297992495,0.0081081081081081,0.4648648648648649,0.7981981981981981,0.0081081081081081,0.4648648648648649,0.7981981981981981,48,0.995011420135758,7.999242628404857e-33,7.978677075755527e-10,1.0,0.1932314119814119,0.1932314119814119,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.996472513752461,9.31019033238806e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.1153846153846153,0.5384615384615384,0.1153846153846153,0.5384615384615384,27,0.9977914828297222,1.6824469490776306e-19,2.740475255438314e-06,1.0,0.3121693121693121,0.3121693121693121,0.0,0.925925925925926,0.0,0.925925925925926,495,0.99525587689153,0.0,4.053620686232121e-83,1.0,0.200472737056,0.200472737056,0.004040404040404,0.4242424242424242,0.004040404040404,0.4242424242424242,514,0.9954277462748268,0.0,3.22038009647825e-86,1.0,0.2188267092567426,0.2188267092567426,0.0077821011673151,0.4863813229571984,0.0077821011673151,0.4863813229571984
lexeme_icf_spacing2_psalm,1110,0.9947958835446956,0.0,1.8790541985051479e-183,1.0,11.62010384712986,0.0004997501249375,0.2137250297992495,0.2137250297992495,0.0081081081081081,0.4648648648648649,0.7981981981981981,0.0081081081081081,0.4648648648648649,0.7981981981981981,48,0.993975271766356,1.0764399129800758e-32,7.978677075755527e-10,1.0,0.1932314119814119,0.1932314119814119,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9965698881128582,9.1691019807963e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.1153846153846153,0.5384615384615384,0.1153846153846153,0.5384615384615384,27,0.9978038520101774,1.6790560534732264e-19,2.740475255438314e-06,1.0,0.3121693121693121,0.3121693121693121,0.0,0.925925925925926,0.0,0.925925925925926,495,0.9943994599840708,0.0,4.053620686232121e-83,1.0,0.200472737056,0.200472737056,0.004040404040404,0.4242424242424242,0.004040404040404,0.4242424242424242,514,0.9949918148999444,0.0,3.22038009647825e-86,1.0,0.2188267092567426,0.2188267092567426,0.0077821011673151,0.4863813229571984,0.0077821011673151,0.4863813229571984
word_vocalized_icf_position8_psalm,1110,0.9947428851121002,0.0,1.8790541985051479e-183,1.0,171.5027679710781,0.0004997501249375312,0.21372502979924954,0.21372502979924954,0.008108108108108109,0.4648648648648649,0.7981981981981981,0.008108108108108109,0.4648648648648649,0.7981981981981981,48,0.9946349235422303,8.911269527184132e-33,7.978677075755528e-10,1.0,0.19323141198141194,0.19323141198141194,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9961570475026811,9.781498587491608e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.11538461538461539,0.5384615384615384,0.11538461538461539,0.5384615384615384,27,0.9978545656500437,1.6652182123315804e-19,2.740475255438314e-06,1.0,0.31216931216931215,0.31216931216931215,0.0,0.9259259259259259,0.0,0.9259259259259259,495,0.9944650722506831,0.0,4.053620686232121e-83,1.0,0.20047273705600002,0.20047273705600002,0.00404040404040404,0.42424242424242425,0.00404040404040404,0.42424242424242425,514,0.9947771035524204,0.0,3.22038009647825e-86,1.0,0.21882670925674264,0.21882670925674264,0.007782101167315175,0.48638132295719844,0.007782101167315175,0.48638132295719844
lexeme_icf_position8_psalm,1110,0.9947250374689264,0.0,1.8790541985051479e-183,1.0,160.1428485264032,0.0004997501249375,0.2137250297992495,0.2137250297992495,0.0081081081081081,0.4648648648648649,0.7981981981981981,0.0081081081081081,0.4648648648648649,0.7981981981981981,48,0.9948210193116922,8.448281387073833e-33,7.978677075755527e-10,1.0,0.1932314119814119,0.1932314119814119,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9961497110782676,9.79317946067599e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.1153846153846153,0.5384615384615384,0.1153846153846153,0.5384615384615384,27,0.997874356338772,1.6598577304248731e-19,2.740475255438314e-06,1.0,0.3121693121693121,0.3121693121693121,0.0,0.925925925925926,0.0,0.925925925925926,495,0.9944024298140756,0.0,4.053620686232121e-83,1.0,0.200472737056,0.200472737056,0.004040404040404,0.4242424242424242,0.004040404040404,0.4242424242424242,514,0.9948498065642196,0.0,3.22038009647825e-86,1.0,0.2188267092567426,0.2188267092567426,0.0077821011673151,0.4863813229571984,0.0077821011673151,0.4863813229571984
word_consonantal_icf_spacing8_psalm,1110,0.9947116167906751,0.0,1.8790541985051479e-183,1.0,24.668059408714058,0.0004997501249375312,0.21372502979924954,0.21372502979924954,0.008108108108108109,0.4648648648648649,0.7981981981981981,0.008108108108108109,0.4648648648648649,0.7981981981981981,48,0.9940852463430518,1.043102003987847e-32,7.978677075755528e-10,1.0,0.19323141198141194,0.19323141198141194,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9962250761654243,9.6782357466782e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.11538461538461539,0.5384615384615384,0.11538461538461539,0.5384615384615384,27,0.997737676894742,1.6972751156692278e-19,2.740475255438314e-06,1.0,0.31216931216931215,0.31216931216931215,0.0,0.9259259259259259,0.0,0.9259259259259259,495,0.9943841324227695,0.0,4.053620686232121e-83,1.0,0.20047273705600002,0.20047273705600002,0.00404040404040404,0.42424242424242425,0.00404040404040404,0.42424242424242425,514,0.9948544807315158,0.0,3.22038009647825e-86,1.0,0.21882670925674264,0.21882670925674264,0.007782101167315175,0.48638132295719844,0.007782101167315175,0.48638132295719844
word_consonantal_icf_spacing2_psalm,1110,0.9947059508025072,0.0,1.8790541985051479e-183,1.0,11.445653443153306,0.0004997501249375312,0.21372502979924954,0.21372502979924954,0.008108108108108109,0.4648648648648649,0.7981981981981981,0.008108108108108109,0.4648648648648649,0.7981981981981981,48,0.9940738966536419,1.0464746308126986e-32,7.978677075755528e-10,1.0,0.19323141198141194,0.19323141198141194,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9962891031421239,9.581592345429767e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.11538461538461539,0.5384615384615384,0.11538461538461539,0.5384615384615384,27,0.9977413876488785,1.6962489718146618e-19,2.740475255438314e-06,1.0,0.31216931216931215,0.31216931216931215,0.0,0.9259259259259259,0.0,0.9259259259259259,495,0.9942392382073231,0.0,4.053620686232121e-83,1.0,0.20047273705600002,0.20047273705600002,0.00404040404040404,0.42424242424242425,0.00404040404040404,0.42424242424242425,514,0.9949529044623686,0.0,3.22038009647825e-86,1.0,0.21882670925674264,0.21882670925674264,0.007782101167315175,0.48638132295719844,0.007782101167315175,0.48638132295719844
lexeme_icf_spacing4_psalm,1110,0.9946894468372304,0.0,1.8790541985051479e-183,1.0,19.497418830982273,0.0004997501249375,0.2137250297992495,0.2137250297992495,0.0081081081081081,0.4648648648648649,0.7981981981981981,0.0081081081081081,0.4648648648648649,0.7981981981981981,48,0.9947118274721972,8.716392703077092e-33,7.978677075755527e-10,1.0,0.1932314119814119,0.1932314119814119,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9962931048281676,9.575654509292413e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.1153846153846153,0.5384615384615384,0.1153846153846153,0.5384615384615384,27,0.9975898651883022,1.7386746799049854e-19,2.740475255438314e-06,1.0,0.3121693121693121,0.3121693121693121,0.0,0.925925925925926,0.0,0.925925925925926,495,0.994209462625453,0.0,4.053620686232121e-83,1.0,0.200472737056,0.200472737056,0.004040404040404,0.4242424242424242,0.004040404040404,0.4242424242424242,514,0.9948734094878682,0.0,3.22038009647825e-86,1.0,0.2188267092567426,0.2188267092567426,0.0077821011673151,0.4863813229571984,0.0077821011673151,0.4863813229571984
word_cantillation_icf_position8_psalm,1110,0.994617022159488,0.0,1.8790541985051479e-183,1.0,173.63293106265056,0.0004997501249375312,0.21372502979924954,0.21372502979924954,0.008108108108108109,0.4648648648648649,0.7981981981981981,0.008108108108108109,0.4648648648648649,0.7981981981981981,48,0.9945942212077948,9.015872936326548e-33,7.978677075755528e-10,1.0,0.19323141198141194,0.19323141198141194,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9964898543919838,9.27307553425809e-19,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.11538461538461539,0.5384615384615384,0.11538461538461539,0.5384615384615384,27,0.9976486187954645,1.7215659997406554e-19,2.740475255438314e-06,1.0,0.31216931216931215,0.31216931216931215,0.0,0.9259259259259259,0.0,0.9259259259259259,495,0.9943081699121812,0.0,4.053620686232121e-83,1.0,0.20047273705600002,0.20047273705600002,0.00404040404040404,0.42424242424242425,0.00404040404040404,0.42424242424242425,514,0.9947360514281136,0.0,3.22038009647825e-86,1.0,0.21882670925674264,0.21882670925674264,0.007782101167315175,0.48638132295719844,0.007782101167315175,0.48638132295719844
word_vocalized_icf_position4_psalm,1110,0.9946032516565989,0.0,1.8790541985051479e-183,1.0,168.00052657431502,0.0004997501249375312,0.21372502979924954,0.21372502979924954,0.008108108108108109,0.4648648648648649,0.7981981981981981,0.008108108108108109,0.4648648648648649,0.7981981981981981,48,0.9939562903892396,1.0823339000558176e-32,7.978677075755528e-10,1.0,0.19323141198141194,0.19323141198141194,0.0,0.3541666666666667,0.0,0.3541666666666667,26,0.9958389134622054,1.0281511693008627e-18,4.093720148226269e-06,1.0,0.3007757874154635,0.3007757874154635,0.11538461538461539,0.5384615384615384,0.11538461538461539,0.5384615384615384,27,0.9977562306654248,1.6921466084149788e-19,2.740475255438314e-06,1.0,0.31216931216931215,0.31216931216931215,0.0,0.9259259259259259,0.0,0.9259259259259259,495,0.9944476304795457,0.0,4.053620686232121e-83,1.0,0.20047273705600002,0.20047273705600002,0.00404040404040404,0.42424242424242425,0.00404040404040404,0.42424242424242425,514,0.9946023060781677,0.0,3.22038009647825e-86,1.0,0.21882670925674264,0.21882670925674264,0.007782101167315175,0.48638132295719844,0.007782101167315175,0.48638132295719844
